genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI
Kunpania,-0.297424559,1,0,0,0,255.88582286586586,255.77409616416418,0.1117267017016843,2.728133197777778,3.5617367099999995,-0.5583983187478894,-0.0119614923970951,-0.6401867300417945,-0.034830512703112604
Kwazulusaurus,-0.297424559,0,0,1,0,255.70687639939942,255.52999943443444,0.1768769649649755,1.2931933144444443,1.4645629511111111,-0.5583983187478894,-0.0119614923970951,-0.7419272976737761,-0.06327839511472413
Lalieudorhynchus,-0.297424559,0,1,0,0,263.0045940520521,262.6196438318318,0.3849502202202757,1.328143248888889,1.6276688055555555,-0.3092546824495496,0.4051870233954642,-0.3092546824495496,0.4051870233954642
Langbergia,-0.05492919,0,0,1,0,249.78293227127125,246.69811790590592,3.0848143653653324,0.11201476,0.6428575377777778,1.6467766614388815,-0.5041066522777632,1.6467766614388815,-0.5041066522777632
Lanthanostegus,-0.297424559,0,0,1,0,263.513558996997,260.82646385385385,2.6870951431431536,1.4100989277777778,1.1112601877777777,-0.5753778902196263,1.4744569071719458,-0.5753778902196263,1.4744569071719458
Lemurosaurus,-0.297424559,0,0,1,0,258.0938358718719,255.29325033933935,2.800585532532523,1.2261332455555556,1.457728421111111,-0.14420272376760102,-0.5855907693748781,-0.14420272376760102,-0.5855907693748781
Lende,-0.297424559,0,0,1,0,257.57271706106104,257.39491784984983,0.17779921121120879,1.440827397777778,1.2708668333333333,-0.0166731716554773,-0.8592163467668951,0.06031984037221808,-0.8719785427263673
Leogorgon,-0.264824227,1,0,0,0,262.3739132872873,258.0281946646647,4.345718622622599,0.8736265833333333,2.28481351,-0.5217590343653081,1.2037687604606797,-0.5217590343653081,1.2037687604606797
Leontosaurus,-0.297424559,0,0,1,0,259.3287555145145,252.95569030730732,6.3730652072071905,1.8112974611111112,2.0665222077777776,-0.5274013517164857,-0.3363390419630069,-0.5274013517164857,-0.3363390419630069
Lepagia,-0.082661278,1,0,0,0,207.61890703003002,201.51165038338337,6.107256646646647,0.3028893666666666,1.1422245655555556,0.0047016427851864955,-0.5620578378073618,0.0047016427851864955,-0.5620578378073618
Leucocephalus,-0.297424559,0,0,1,0,256.3816392522522,256.1946681231231,0.18697112912911962,0.9403895922222223,1.2513635877777778,-0.5583983187478894,-0.0119614923970951,-0.4022982199000665,-0.2561011030950311
Lobalopex,-0.297424559,0,0,1,0,256.8123863003003,256.60520030930934,0.207185990990979,1.0443785633333333,1.214076461111111,-0.0166731716554773,-0.8592163467668951,-0.1744271614443768,-0.6124900606377993
Lophorhinus,-0.297424559,0,0,1,0,256.4326468338338,256.2500845075075,0.18256232632631963,1.0745334755555556,1.2398670066666666,-0.5583983187478894,-0.0119614923970951,-0.37347195059152904,-0.30118521398800974
Luangwa,-0.141271243,0,0,1,0,246.68042524924925,234.40738003803804,12.273045211211212,1.2271057744444445,0.22212818888888888,1.0663390812578406,-0.048900922783536915,1.0663390812578406,-0.048900922783536915
Lumkuia,-0.297424559,0,0,1,0,244.8967757857858,244.71203010410412,0.18474568168167593,1.5266287733333335,1.0282127777777776,0.8147716463490362,-0.7965389385741263,1.0378842675563449,-0.38363931911617477
Lupeosaurus,-0.297424559,0,1,0,0,297.31018747547546,296.7173027287287,0.5928847467467335,0.8359384266666666,0.8939641988888889,-0.5957931819835485,-0.4497476998590346,-0.5957931819835485,-0.4497476998590346
Lycaenodon,-0.152345603,0,0,1,0,260.61011726026027,253.7996513843844,6.810465875875877,0.6358509777777777,0.4703329244444444,-0.42399463037817453,-0.263566842326783,-0.42399463037817453,-0.263566842326783
Lycaenops,0.668769528,0,0,1,0,259.952423977978,253.0786326846847,6.873791293293323,1.1157226666666666,0.6030327366666666,-0.38376117627922723,-0.39841570765791473,-0.38376117627922723,-0.39841570765791473
Lycedops,-0.297424559,0,0,1,0,262.5069525875876,261.92440749949947,0.5825450880881249,0.8972110266666666,0.6772248633333333,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397
Lycideops,-0.297424559,0,0,1,0,254.572477033033,254.41189975975976,0.16057727327324756,1.2792752733333332,1.9476076955555552,-0.8258050188212285,-0.7386338194010482,-0.9309300886420304,-0.44716934688673854
Lycosaurus,-0.271795739,0,0,1,0,263.16370336136134,256.1241211851852,7.039582176176168,1.153235888888889,1.0699096144444444,-0.3243572389236708,0.4964930356443777,-0.3243572389236708,0.4964930356443777
Lycosuchus,-0.297424559,0,0,1,0,261.3606943343343,260.6538650970971,0.7068292372372298,0.5686143533333333,1.1112993777777778,0.1280704915530584,2.493327156929834,0.1280704915530584,2.493327156929834
Lystrosaurus,8.424945178,1,0,1,1,262.73990699599597,246.659792011011,16.08011498498496,0.8799978566666666,0.21332788444444442,0.2561195650113247,0.3067518593368558,0.2561195650113247,0.3067518593368558
Malasaurus,-0.297424559,1,0,0,0,258.6776677897898,258.5313957917918,0.14627199799798518,1.7918718655555554,2.541923427777778,-0.004761794280045,0.2513649940623379,0.0534610576592034,-0.19826632872279656
Mandagomphodon,-0.297424559,0,0,1,0,245.16399688188187,243.8218268318318,1.342170050050072,1.5515298877777777,0.9388520722222222,1.3851090196406104,0.25894632765797726,1.3851090196406104,0.25894632765797726
Martensius,-0.297424559,0,1,0,0,288.19156047047045,287.7411875895896,0.45037288088087735,1.048568278888889,1.0939966544444444,-0.5716772167290223,-0.6924326478003656,-0.5716772167290223,-0.6924326478003656
Massetognathus,-0.238528042,0,0,1,0,242.06419073573574,230.8478762962963,11.21631443943943,0.45649621111111116,0.3164215366666667,0.921587597768658,-0.0883605178747523,0.921587597768658,-0.0883605178747523
Maubeugia,-0.297424559,1,0,0,0,206.33890927627627,205.75908846546548,0.5798208108107872,1.0285777688888889,0.8078124566666667,0.1381788430036888,-0.5220302755285571,0.1381788430036888,-0.5220302755285571
Megawhaitsia,-0.088928349,1,0,0,0,261.0785844654655,257.5098429239239,3.5687415415416126,0.24143373444444444,0.9593749333333335,-0.09990583464957027,0.6011560079228838,-0.09990583464957027,0.6011560079228838
Menadon,-0.297424559,0,0,1,0,232.12710216116116,230.6451762852853,1.4819258758758735,0.39707782555555554,0.43887545222222224,1.5439716968567578,0.036032371414726594,1.5439716968567578,0.036032371414726594
Mesenosaurus,2.430953999,1,1,0,0,287.1823316826827,264.2038657697698,22.978465912912895,0.18592549777777775,0.3668770144444444,-0.8519453762492503,0.12011689834923625,-0.8519453762492503,0.12011689834923625
Meurthodon,-0.297424559,1,0,0,0,205.50829354954956,205.00356767367367,0.5047258758758915,1.2311848733333333,1.0872718600000002,-0.2261302860853477,-0.4048549564327162,-0.13289242786188965,-0.4348437075147029
Microconodon,-0.258189477,0,1,0,0,234.10111737337337,213.46431656656657,20.636800806806804,1.090191331111111,0.7128664577777777,0.5115428325130004,0.026502435834339755,0.5115428325130004,0.026502435834339755
Microgomphodon,0.710273085,0,0,1,0,249.4990551831832,236.8414817977978,12.657573385385405,0.16631236888888887,0.2542772422222222,1.3166153869612955,-0.0032902337707776653,1.3166153869612955,-0.0032902337707776653
Microhelodon,-0.297424559,0,0,1,0,244.65575265065064,244.43514666666667,0.22060598398397246,1.3379220622222223,1.0123912044444445,0.8147716463490362,-0.7965389385741263,1.3332657417678755,0.1630034375190313
Microscalenodon,-0.291850617,1,0,0,0,207.04250625025026,202.81405707407407,4.228449176176184,1.4611669966666667,1.3105251144444443,0.10426287941565815,-0.7055326400099919,0.10426287941565815,-0.7055326400099919
Microsyodon,-0.297424559,1,0,0,0,273.83429638038035,268.9677398368368,4.866556543543538,1.085816671111111,0.5380020799999999,-0.6423534918597191,-0.2362089620642885,-0.6423534918597191,-0.2362089620642885
Microurania,-0.124658132,1,0,0,0,266.1670882822823,257.9295944894895,8.237493792792804,0.3250153766666667,1.1682034766666667,-0.6986616939934348,0.47763328679270234,-0.6986616939934348,0.47763328679270234
Microvaranops,-0.297424559,0,0,1,0,263.8942703033033,259.951034019019,3.9432362842842963,1.6757344033333335,1.6163593088888888,-0.5978822564076842,1.2422242677939612,-0.5978822564076842,1.2422242677939612
Microwhaitsia,-0.297424559,0,0,1,0,258.24137713213213,255.57827838338338,2.6630987487487516,1.2695724488888889,1.18525877,-0.14420272376760102,-0.5855907693748781,-0.14420272376760102,-0.5855907693748781
Minicynodon,-0.297424559,0,0,1,0,218.11307664964966,216.99237323623623,1.1207034134134233,0.2210900811111111,0.33105356444444445,0.0395662262926427,0.7642394012632303,0.0395662262926427,0.7642394012632303
Mirotenthes,-0.297424559,0,0,1,0,258.03669320720724,255.39916514514516,2.6375280620620742,1.198380611111111,1.4459609200000003,-0.14420272376760102,-0.5855907693748781,-0.14420272376760102,-0.5855907693748781
Mitredon,-0.297424559,1,0,0,0,205.4456842032032,204.89042309709708,0.5552611061061157,1.11938036,0.8523741155555555,-0.2261302860853477,-0.4048549564327162,-0.2261302860853477,-0.4048549564327162
Moghreberia,-0.297424559,0,1,0,0,235.78699672272273,227.9006127317317,7.886383990991021,1.654315691111111,0.7538277233333334,0.8020789099508168,-0.25806336190727003,0.8020789099508168,-0.25806336190727003
Mojo,-0.297424559,1,0,0,0,203.45602045445446,202.95372536736735,0.5022950870871057,0.807219988888889,1.4749723933333334,0.1241569587565,-1.0153684060211892,0.1241569587565,-1.0153684060211892
Molybdopygus,-0.297424559,1,0,0,0,265.43000859259257,265.06159007907905,0.36841851351351806,0.8055097966666667,1.1151098933333332,-1.2755595913869848,-0.2291298336273129,-1.3846109332226482,0.04390993830750892
Morganucodon,-0.297424559,1,0,0,0,207.58677162062062,202.25505815815816,5.33171346246246,1.8387968888888888,1.8817911722222223,0.10426287941565815,-0.7055326400099919,0.10426287941565815,-0.7055326400099919
Mormosaurus,-0.297424559,0,0,1,0,262.2659002952953,261.44460668268266,0.8212936126126351,0.5187162122222223,0.8057412133333334,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397
Moschops,-0.177974424,0,0,1,0,264.37898622322325,256.74321443443444,7.635771788788816,1.48106094,0.2025102788888889,-0.41373115003081473,0.34836487770263946,-0.41373115003081473,0.34836487770263946
Moschorhinus,0.042990575,0,0,1,0,260.4957875235235,246.9136484804805,13.582139043043014,0.7670784311111111,0.5762639077777779,0.3939137163136089,0.06356043223352284,0.3939137163136089,0.06356043223352284
Moschowhaitsia,-0.088928349,1,0,0,0,261.16821865365364,256.860293028028,4.307925625625614,0.2700043788888889,1.20134209,-0.08325930205075169,0.309081536984928,-0.08325930205075169,0.309081536984928
Muchia,-0.297424559,1,0,0,0,261.75834001001,261.313688009009,0.4446520010009749,1.2792079333333333,1.3127417622222222,-1.5449494797623875,1.5248565411905397,-0.7686916512611557,1.9742133390953076
Mucrotherium,-0.297424559,1,0,0,0,205.0624901901902,204.49537170170169,0.5671184884885179,0.8875057177777778,0.8930541055555555,-0.2261302860853477,-0.4048549564327162,-0.2261302860853477,-0.4048549564327162
Mupashi,-0.297424559,0,0,1,0,256.3284067877878,256.1236386296296,0.20476815815817417,0.76628151,0.9857067255555555,-0.5583983187478894,-0.0119614923970951,-0.4359561336264525,-0.20346032954833823
Mycterosaurus,-0.15598139,0,1,0,0,290.2041201091091,276.95044690490494,13.253673204204176,0.42074669222222216,0.36989657333333337,-0.7184054518364879,0.25965193982144863,-0.7184054518364879,0.25965193982144863
Myosauroides,-0.297424559,0,0,1,0,256.95814844844847,256.78746587687687,0.1706825715716036,0.9424976488888889,1.0624732677777777,-0.0166731716554773,-0.8592163467668951,-0.08557673017116055,-0.7514515978917474
Myosaurus,0.752244174,0,0,1,1,251.98837813413417,246.66064237137135,5.3277357627628135,1.2122846766666664,0.6808529133333334,1.8324273014176824,-0.1476416253197089,1.8324273014176824,-0.1476416253197089
Nanictidops,-0.297424559,0,0,1,0,256.4908010820821,256.29279462762764,0.19800645445445753,0.8545966255555557,1.10720002,-0.5583983187478894,-0.0119614923970951,-0.3461515681961425,-0.34391412685455947
Nanictocephalus,-0.297424559,0,0,1,0,256.9482793353353,256.75203354654656,0.1962457887887581,0.8294454066666668,0.9299569177777778,-0.0166731716554773,-0.8592163467668951,-0.09784719572758419,-0.732260663958079
Nanictosaurus,-0.152345603,0,0,1,0,260.76931893293295,252.36382906306306,8.405489869869882,0.6305614644444444,0.8014316722222222,-0.5446506021234072,-0.2261058680101301,-0.5446506021234072,-0.2261058680101301
