id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
3141,146084,146084,6.739012,Icarosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3142,146085,146085,6.739012,Rutiodon,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3143,149845,149845,-1.470099,Trilophosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3144,149917,149917,-1.470099,Postosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3145,149917,149917,-1.470099,Postosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3146,149918,149918,-1.470099,Desmatosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3147,149919,149919,-1.470099,Trilophosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3148,149988,149988,32.59323,Efraasia,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3149,220070,220070,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3150,220071,220071,30.98263,Aetosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3151,220072,220072,30.98263,Saltoposuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3152,220073,220073,30.98263,Liliensternus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3153,220082,220082,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3154,220082,220082,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3155,220083,220083,30.98263,Proganochelys,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3156,220083,220083,30.98263,Proganochelys,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3157,220083,220083,30.98263,Proganochelys,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3158,220084,220084,30.98263,Liliensternus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3159,283819,283819,40.08932,Arcticodactylus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3160,283826,283826,40.08932,Aetosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3161,283826,283826,40.08932,Aetosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3162,283828,283828,40.08932,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3163,283860,283860,40.08932,Issi,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3164,360364,360364,-50.49719,Zupaysaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3165,385301,385301,-56.03159,Melanorosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3166,385607,385607,-56.03159,Plateosauravus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3167,385607,385607,-56.03159,Plateosauravus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3168,385607,385607,-56.03159,Plateosauravus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3169,385607,385607,-56.03159,Plateosauravus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3170,404182,404182,34.92545,Placochelys,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3171,406864,406864,1.353064,Desmatosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3172,406867,406867,1.353064,Smilosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3173,406869,406869,1.353064,Postosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3174,406872,406872,1.353064,Camposaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3175,406876,406876,1.353064,Calyptosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3176,407766,407766,1.353064,Tanytrachelos,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3177,407767,407767,1.353064,Smilosuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3178,407768,407768,1.353064,Parasuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3179,407776,407776,1.353064,Acaenasuchus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3180,423245,423245,1.353064,Poposaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3181,423280,423280,1.353064,Shuvosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3182,423281,423281,1.353064,Poposaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3183,423285,423285,1.353064,Trilophosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3184,423286,423286,1.353064,Trilophosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3185,423288,423288,1.353064,Tanytrachelos,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3186,461293,461293,-46.11636,Unaysaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3187,475078,475078,3.836582,Machaeroprosopus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3188,475079,475079,3.836582,Machaeroprosopus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3189,475081,475081,3.836582,Typothorax,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3190,479381,479381,32.59323,Teratosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3191,479563,479563,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3192,483859,483859,1.353064,Typothorax,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3193,483884,483884,-1.470099,Trilophosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3194,484673,484673,1.357201,Revueltosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3195,484986,484986,1.353064,Chindesaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3196,484986,484986,1.353064,Chindesaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3197,484987,484987,1.353064,Shuvosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3198,486103,486103,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3199,486104,486104,30.98263,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3200,486145,486145,29.0864,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3201,486146,486146,29.0864,Gresslyosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3202,486393,486393,34.47747,Plateosaurus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
3203,486395,486395,34.47747,Liliensternus,227.0,208.5,Late Triassic,"(227.0, 208.5)"
