Species	Status
Litorosuchus	extinct
Lophostropheus	extinct
Lotosaurus	extinct
Lucasuchus	extinct
Lucianosaurus	extinct
Lucianovenator	extinct
Lufengosaurus	extinct
Lukousaurus	extinct
Luperosuchus	extinct
Machaeroprosopus	extinct
Macrocnemus	extinct
Macrocollum	extinct
Macroleter	extinct
Maehary	extinct
Malerisaurus	extinct
Malutinisuchus	extinct
Mambawakale	extinct
Mandaphon	extinct
Mandasuchus	extinct
Marasuchus	extinct
Marcianosuchus	extinct
Massospondylus	extinct
Mbiresaurus	extinct
Megachirella	extinct
Megalancosaurus	extinct
Megalosaurus	extinct
Megapnosaurus	extinct
Melanorosaurus	extinct
Mesodapedon	extinct
Mesosuchus	extinct
Metamosaurus	extinct
Microcnemus	extinct
Microleter	extinct
Micromenodon	extinct
Microsphenodon	extinct
Milleretta	extinct
Millerinoides	extinct
Milleropsis	extinct
Millerosaurus	extinct
Moradisaurus	extinct
Mystriosuchus	extinct
Nambalia	extinct
Nanchangosaurus	extinct
Nanoparia	extinct
Neoaetosauroides	extinct
Neoprocolophon	extinct
new_Neotheropoda	extinct
new_Rhynchocephalia	extinct
Nhandumirim	extinct
Nicrosaurus	extinct
Nochelesaurus	extinct
Notatesseraeraptor	extinct
Noteosuchus	extinct
Nundasuchus	extinct
Nyasasaurus	extinct
Nycteroleter	extinct
Nyctiboetus	extinct
Nyctiphruretus	extinct
Obirkovia	extinct
Odontochelys	extinct
Opisthodontosaurus	extinct
Orenburgia	extinct
Orovenator	extinct
Oryctorhynchus	extinct
Oryporan	extinct
Osmolskina	extinct
Owenetta	extinct
Ozimek	extinct
Pachagnathus	extinct
Pachystropheus	extinct
Palacrodon	extinct
Palaeagama	extinct
Palaeochersis	extinct
Palaeosaurus	extinct
Paleollanosaurus	extinct
Paliguana	extinct
Pamelaria	extinct
Pamelina	extinct
Pampadromaeus	extinct
Panguraptor	extinct
Panphagia	extinct
Pantydraco	extinct
Pappochelys	extinct
Parahupehsuchus	extinct
Parasaurus	extinct
Parasuchus	extinct
Paratypothorax	extinct
Pareiasaurus	extinct
Pareiasuchus	extinct
Parringtonia	extinct
Parvosuchus	extinct
Pectodens	extinct
Pelecymala	extinct
Pendraig	extinct
Pentaedrusaurus	extinct
Permotriturus	extinct
Peteinosaurus	extinct
Phaanthosaurus	extinct
Phonodus	extinct
Pinheirochampsa	extinct
Pintosaurus	extinct
Pisanosaurus	extinct
Planocephalosaurus	extinct
Plateosauravus	extinct
Plateosaurus	extinct
Polesinesuchus	extinct
Polonosuchus	extinct
Polymorphodon	extinct
Poposaurus	extinct
Postosuchus	extinct
