Species	Status
Hypsognathus	extinct
Hypuronector	extinct
Icarosaurus	extinct
Ichthyosaurus	extinct
Ichthyotitan	extinct
Idiosaura	extinct
Ignotosaurus	extinct
Incertovenator	extinct
Indosauriscus	extinct
Ingentia	extinct
Isfjordosaurus	extinct
Issi	extinct
Ixalerpeton	extinct
Jaklapallisaurus	extinct
Jaxtasuchus	extinct
Jesairosaurus	extinct
Jingshanosaurus	extinct
Jupijkam	extinct
Jushatyria	extinct
Kadimakara	extinct
Kahneria	extinct
Kalisuchus	extinct
Kapes	extinct
Keichousaurus	extinct
Kholumolumo	extinct
Kinelia	extinct
Kitchingnathus	extinct
Kocurypelta	extinct
Koilamasuchus	extinct
Koiloskiosaurus	extinct
Kranosaura	extinct
Krzyzanowskisaurus	extinct
Kudnu	extinct
Kuehneosaurus	extinct
Kuehneosuchus	extinct
Kuruxuchampsa	extinct
Kwangsisaurus	extinct
Labidosaurikos	extinct
Labidosauriscus	extinct
Labidosaurus	extinct
Lagerpeton	extinct
Lanceirosphenodon	extinct
Langeronyx	extinct
Langobardisaurus	extinct
Lanthaniscus	extinct
Lanthanolania	extinct
Lanthanosuchus	extinct
Laquintasaura	extinct
Largocephalosaurus	extinct
Lariosaurus	extinct
Lasasaurus	extinct
Lepidus	extinct
Leptonectes	extinct
Leptopleuron	extinct
Leptosuchus	extinct
Lessemsaurus	extinct
Lewisuchus	extinct
Leyesaurus	extinct
Libognathus	extinct
Liliensternus	extinct
Lindwurmia	extinct
Litorosuchus	extinct
Lophostropheus	extinct
Lotosaurus	extinct
Lucasuchus	extinct
Lucianosaurus	extinct
Lucianovenator	extinct
Lufengosaurus	extinct
Lukousaurus	extinct
Luopingosaurus	extinct
Luperosuchus	extinct
Macgowania	extinct
Machaeroprosopus	extinct
Macrocnemus	extinct
Macrocollum	extinct
Macroleter	extinct
Macroplacus	extinct
Macroplata	extinct
Maehary	extinct
Majiashanosaurus	extinct
Malerisaurus	extinct
Malutinisuchus	extinct
Mambawakale	extinct
Mandaphon	extinct
Mandasuchus	extinct
Marasuchus	extinct
Marcianosuchus	extinct
Massospondylus	extinct
Mbiresaurus	extinct
Megachirella	extinct
Megalancosaurus	extinct
Megalosaurus	extinct
Megapnosaurus	extinct
Melanorosaurus	extinct
Merriamosaurus	extinct
Mesodapedon	extinct
Mesosaurus	extinct
Mesosuchus	extinct
Metamosaurus	extinct
Metashastasaurus	extinct
Microcnemus	extinct
Microleter	extinct
Micromenodon	extinct
Microsphenodon	extinct
