feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
rotated_lat_scaled,none,none,none,0.98,-3.248645546033451,-9.471080674868846,-1.2143686350821061,0.16092622473835946,0.10104090720415115,0.22057108581066132,-203.30585522990563,-318.14113388922465,-92.36603924825863,3.0
mean_scaled,none,none,none,0.99,-11.408893724477053,-40.0,-2.9313605026405805,0.21357326723635198,0.12604080140590668,0.32407376170158386,-287.20487013236175,-470.9087805532911,-128.8830543555116,1.0
Mod_R_deltaTMyr_scaled,none,none,none,0.86,-4.5703089691309815,-26.281916451158807,3.299995049625568,0.26092669755220416,0.14770962297916412,0.4099281132221222,-257.5586854970811,-423.65004351207654,-130.2943311775348,2.0
time,none,none,none,0.97,-2.5168664754399854,-6.875614585207142,-1.0810326961944983,0.12306550584733486,0.08284396678209305,0.18301354348659515,-190.17550350890505,-408.5957114770963,-38.31200030234561,4.0
