occurrence_no,common_body_parts,pres_mode,preservation_quality,abund_value,abund_unit,class,order,family,genus,life_habit,diet,collection_no,early_interval,late_interval,time_bins,museum,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,lithology2,lithification2,environment,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,preservation_comments,collection_type,collection_methods,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N245,-,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Massetognathus,NA,NA,0255 T (Holotype lost),Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,-53.29,-29.65,UFRGS-PV-0255 T (Holotype lost),BR,RS,Vila Melos,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ochagaviae,General C�mara,Vila Melos,Vila Mellos,Literature,Liu
N244,-,NA,NA,NA,NA,Synapsida,Therapsida,Stahleckeriidae,Jachaleria,NA,NA,654,Norian,NA,Norian,UNIPAMPA,227,208.5,217.75,18.5,-51.8,-29.9,UNIPAMPA0654,BR,RS,Botucara�,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,candelariensis,Candel�ria,-,-,Literature,Langer
N243,skull,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0229 T,Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,-53.29,-29.65,UFRGS-PV-0229 T,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedroanum,Candel�ria,Sanga Pinheiro,Pinheiro Area,Literature,Kischlat
N242,-,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0230 T,Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,-53.29,-29.65,UFRGS-PV-0230 T,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedroanum,Candel�ria,Sanga Pinheiro,Pinheiro Area,Literature,Kischlat
N241,skull (cranium and lower jaw),NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Paratraversodon,NA,NA,49,Ladinian,NA,Ladinian,ULBRA PVT-,242,237,239.5,5,-53.29,-29.65,ULBRA PVT-049,BR,RS,-,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,franciscaensis,Dona Francisca,Bortolin,Bertolin,Literature,Kerber
N240,skull,NA,NA,NA,NA,Synapsida,Therapsida,Prozostrodontia,Prozostrodon,NA,NA,0543 T,Norian,NA,Norian,UFRGS-PV-,227,208.5,217.75,18.5,-52.75,-29.77,UFRGS-PV-0543 T,BR,RS,Cerrito,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brasiliensis,Santa Maria,Faixa Nova,Faixa Nova Area,Literature,Kerber
N239,Snout and anterior orbital region,NA,NA,NA,NA,Synapsida,Therapsida,Stahleckeriidae,Sangusaurus,NA,NA,CF 120,Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,-52.81,-29.84,UFRGS-PV-CF 120,BR,RS,Bom Retiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,Candel�ria,Sanga Pascual,Bom Retiro Area,Literature,Kammer
N238,fragmentary traversodontid left maxillar without teeth associated to rhynchosaur bones,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Exaeretodon,NA,NA,1264-T,Norian,NA,Norian,UFRGS-PV-,227,208.5,217.75,18.5,-53.36,"-29,62",UFRGS-PV-1264-T,BR,RS,vicinity of Santana da Boa Vista and Amaral Ferrador,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riograndensis,Santana da Boa Vista,Moir?o River graben,Moir?o River graben,Literature,Horn
N237,maxilla,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Exaeretodon,NA,NA,0263e,Norian,NA,Norian,CAPPA/UFSM,227,208.5,217.75,18.5,-52.75,-29.77,CAPPA/UFSM0263e,BR,RS,V�rzea do Agudo,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riograndensis,Agudo,Janner,V�rzea do Agudo,Literature,Figueiredo
N236,maxilla,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Exaeretodon,NA,NA,0263d,Norian,NA,Norian,CAPPA/UFSM,227,208.5,217.75,18.5,-53.36,"-29,62",CAPPA/UFSM0263d,BR,RS,V�rzea do Agudo,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riograndensis,Agudo,Janner,V�rzea do Agudo,Literature,Figueiredo
N235,mandible,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Exaeretodon,NA,NA,0263c,Norian,NA,Norian,CAPPA/UFSM,227,208.5,217.75,18.5,-52.81,-29.84,CAPPA/UFSM0263c,BR,RS,V�rzea do Agudo,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riograndensis,Agudo,Janner,V�rzea do Agudo,Literature,Figueiredo
N234,mandible,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Exaeretodon,NA,NA,0263b,Norian,NA,Norian,CAPPA/UFSM,227,208.5,217.75,18.5,-52.84,-29.83,CAPPA/UFSM0263b,BR,RS,V�rzea do Agudo,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riograndensis,Agudo,Janner,V�rzea do Agudo,Literature,Figueiredo
