occurrence_no,common_body_parts,pres_mode,preservation_quality,abund_value,abund_unit,class,order,family,genus,life_habit,diet,collection_no,early_interval,late_interval,time_bins,museum,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,lithology2,lithification2,environment,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,preservation_comments,collection_type,collection_methods,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
N510,cr�nio parcial,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Massetognathus,NA,NA,87,Ladinian,NA,Ladinian,MMACR,242,237,239.5,5,24.455,-32.9112,MMACR087,BR,RS,Rinc?o do Semi?o ,Abrahamkraal,Beaufort,-,Tapinocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,Candel�ria,Sanga Becker,Pinheiro Area,Museum,
N509,skull,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0227 T,Ladinian,NA,Ladinian,UFRGS-PV-,242,237,239.5,5,26.23771,-30.407,UFRGS-PV-0227 T,BR,RS,Porto Mariante 2,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pedroanum,Bom Retiro do Sul,Porto Mariante 2,Porto Mariante,Museum,
N508,-,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,0000213 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,26.531389,-30.2125,MCT0000213 R,BR,RS,Pinheiro,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oliveirai? pedroanum?,Candel�ria,Sanga do Janguta,Pinheiro Area,Museum,
N507,-,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Santacruzodon,NA,NA,2751,Carnian,NA,Carnian,MCN-PV,237,227,232,10,-53.45,-29.56,MCN-PV2751,BR,RS,Schoenstatt,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hopsoni,Santa Cruz do Sul,Schoenstatt,Schoenstatt,Museum,
N506,-,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Santacruzodon,NA,NA,0932 T,Carnian,NA,Carnian,UFRGS-PV-,237,227,232,10,-53.45,-29.56,UFRGS-PV-0932 T,BR,RS,Schoenstatt,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hopsoni,Santa Cruz do Sul,Schoenstatt,Schoenstatt,Museum,
N505,esquelto parcial,NA,NA,NA,NA,Synapsida,Therapsida,Traversodontidae,Protuberum,NA,NA,MCT/s_n� 125,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,21.94666667,-32.11058333,MCTMCT/s_n� 125,BR,RS,Pinheiro,Teekloof,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabralensis,Candel�ria,Sanga Delfim Moreira (Buraco do Cinodonte),Pinheiro Area,Museum,
N504,completo,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,sem numero (exposi�?o 4.B),Ladinian,NA,Ladinian,ULVG,242,237,239.5,5,21.967501,-32.816113,ULVGsem numero (exposi�?o 4.B),BR,RS,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Ven�ncio Aires,-,Ven�ncio Aires,Museum,
N503,cr�nio (exposi�?o),NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,sem numero,Ladinian,NA,Ladinian,ULVG,242,237,239.5,5,26.302,-30.44319444,ULVGsem numero,BR,RS,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Ven�ncio Aires,-,Ven�ncio Aires,Museum,
N502,dente,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 208,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,21.55,-32.53333333,MCTMCT/s_n� 208,BR,RS,Pinheiro,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Pinheiros area,Pinheiro Area,Museum,
N501,dente,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 202,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,26.23771,-30.407,MCTMCT/s_n� 202,BR,RS,-,-,-,-,Lystrosaurus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,prov. Rinc?o dos Bois,Pinheiro Area,Museum,
N500,cranio ruim com mandibula,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000406 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.84,-29.68,MCT000406 R,BR,RS,Pinheiro,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Ribeiro,Bom Retiro Area,Museum,
N499,esqueletos,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 190,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.84,-29.68,MCTMCT/s_n� 190,BR,RS,Pinheiro,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N498,esqueletos,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 189,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.75,-29.77,MCTMCT/s_n� 189,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N497,fragmento de cr�nio,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 188,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCTMCT/s_n� 188,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N496,esqueleto com cranio,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 187,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-54.1,-29.78,MCTMCT/s_n� 187,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N495,dente,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,002621 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.37,"-29,63",MCT002621 R,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,-,-,Museum,
N494,"Esqueleto parcial, muito grande- v�rias pe�as (atlas, ilio direito...)",NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000212 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-54.1,-29.78,MCT000212 R,BR,RS,-,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Moreira,Pinheiro Area,Museum,
N493,parte anterior do corpo com cr�nio (baby),NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000288 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.38,"-29,62",MCT000288 R,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Pinheiro,Pinheiro Area,Museum,
N492,"pelvis com sacrum, humerus, radius, ulna e parte da m?o ",NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000429 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.38,"-29,62",MCT000429 R,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Ribeiro oeste de Pinheiro,Pinheiro Area,Museum,
N491,dente de dinodontosauro,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 174,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCTMCT/s_n� 174,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,-,-,Museum,
N490,sacro (filhote),NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 161,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.37,"-29,63",MCTMCT/s_n� 161,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N489,"cr�nio, fragmento posterior, pr�maxila",NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 160,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.18,-29.73,MCTMCT/s_n� 160,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Pinheiro,Pinheiro Area,Museum,
N488,esc�pula esquerda,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 159,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCTMCT/s_n� 159,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga Albino,Pinheiro Area,Museum,
N487,v�rtebra,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 158,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.75,-29.77,MCTMCT/s_n� 158,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Janguta,Pinheiro Area,Museum,
N486,�lio esquerdo,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 157,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.75,-29.77,MCTMCT/s_n� 157,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Janguta,Pinheiro Area,Museum,
N485,v�rtebra,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 156,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCTMCT/s_n� 156,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa (n�2),Pinheiro Area,Museum,
N484,occiput juvenil,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 155,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53,-29.75,MCTMCT/s_n� 155,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Pinheiro,Pinheiro Area,Museum,
N483,occiput juvenil,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 154,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-51.94,-29.69,MCTMCT/s_n� 154,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Pinheiro,Pinheiro Area,Museum,
N482,cr�nio juvenil,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 152,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.81,-29.84,MCTMCT/s_n� 152,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N481,maxila sem dentes,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 151,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-53.19,-29.75,MCTMCT/s_n� 151,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N480,cr�nio (juvenil-adulto),NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000289 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.75,-29.77,MCT000289 R,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Dinodontosaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga da Divisa,Pinheiro Area,Museum,
N479,Metade esquerda de pelve e centrum de axis e outros fragmentos.,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000425 R,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.69,-29.6,MCT000425 R,BR,RS,Pinheiro,Santa Maria,Ros�rio do Sul,Alemoa,Exaeretodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Forno/Sanga Pinheiros,Pinheiro Area,Museum,
N478,costela e outras coisas,NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,MCT/s_n� 150,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCTMCT/s_n� 150,BR,RS,Pinheiro,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,-,-,Museum,
N477,"esc�pula, cr�nio, dent�rio (juvenil)",NA,NA,NA,NA,Synapsida,Therapsida,Kannemeyeriidae,Dinodontosaurus,NA,NA,000270 R b,Ladinian,NA,Ladinian,MCT,242,237,239.5,5,-52.79,-29.67,MCT000270 R b,BR,RS,Pinheiro,Caturrita,Ros�rio do Sul,Alemoa,Riograndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tener,Candel�ria,Sanga do Pinheiro,Pinheiro Area,Museum,
