clade	species	ts	te
0.0	Abajudon	91.19426947447448	84.87117556456457
0.0	Abdalodon	82.02906690190191	81.83377317417418
0.0	Acratophorus	58.35552446346346	53.59782297797798
0.0	Adelobasileus	41.76385614714714	41.11342377577578
0.0	Aelurognathus	85.11230032032032	77.03434334934934
0.0	Aelurosaurus	88.27353379179179	78.4881884064064
0.0	Aelurosuchus	69.68013993093093	69.50406954854856
0.0	Agudotherium	56.30585451651652	55.01286442942943
0.0	Akidnognathus	85.83494553253253	79.12413123023023
0.0	Aleodon	71.3329053903904	59.01180618818819
0.0	Alepognathus	87.18786665765765	86.49270834534535
0.0	Alopecideops	87.40052778678678	86.82877855255256
0.0	Alopecodon	89.00780328428428	84.9672420950951
0.0	Alopecognathus	88.62694431531531	85.06956641641641
0.0	Alopecorhinus	84.97103521521521	84.46526157957958
0.0	Aloposaurus	85.88598861161161	77.76705155255256
0.0	Alrausuchus	98.26447013313313	90.51202402902902
0.0	Andescynodon	70.15596763463464	68.00819089289288
0.0	Angelosaurus	95.75212794794797	91.67334437437437
0.0	Angonisaurus	71.67852594994996	66.45847896296297
0.0	Annatherapsidus	90.04774382882883	82.3827801921922
0.0	Anningia	87.41171736736736	86.66164106506507
0.0	Anomocephalus	90.99136974774775	90.54779305605607
0.0	Antecosuchus	71.08570899599599	67.61565526226227
0.0	Anteosaurus	89.80916792392392	84.57597206206205
0.0	Apsisaurus	117.82263240740741	117.26267344244243
0.0	Archaeosyodon	91.05090340440442	90.66796032132132
0.0	Arctognathus	85.20386734434435	77.9114404974975
0.0	Arctops	85.95415796796797	78.39476880280282
0.0	Arctotraversodon	59.491103199199195	53.86029302202202
0.0	Arisierpeton	112.7027739039039	112.26122473673674
0.0	Ascendonanus	117.85210627227227	109.44420845445445
0.0	Aulacephalodon	84.99742120520521	77.56607521421422
0.0	Aulacocephalus	81.9364536816817	81.75110928028028
0.0	Australobarbarus	88.63600643343344	85.81943057257259
0.0	Australosyodon	90.380366990991	90.00090747647647
0.0	Avenantia	86.37434181281283	85.76294644244246
0.0	Baldwinonus	119.20746362262263	118.67577786286286
0.0	Basilodon	86.28181133733733	77.31775171171171
0.0	Bauria	72.46287118518518	67.23114812512513
0.0	Beishanodon	73.37622943643643	73.29680296996999
0.0	Biarmosuchoides	90.94359526126125	90.56585966866866
0.0	Biarmosuchus	98.38306372972973	88.74242293393394
0.0	Biseridens	97.20943587887889	92.80632327927928
0.0	Blattoidealestes	84.77913398098099	84.17313145345346
0.0	Bolodon	31.042591771771775	30.560273722722723
0.0	Bolotridon	69.46893515815816	69.25180805505505
0.0	Bonacynodon	66.53327003203204	56.9611591011011
0.0	Boreogomphodon	61.09849321721722	39.699989030030025
0.0	Botucaraitherium	43.62044580880881	42.39695395795796
0.0	Brachyprosopus	90.13582865265265	84.83444822622623
0.0	Brachyzostrodon	33.19659281781782	26.66441390790791
0.0	Brasilitherium	52.10616178378378	35.38689658558558
0.0	Brasilodon	51.988183939939944	33.833494998999
0.0	Bulbasaurus	84.19428208108108	79.72264995395396
0.0	Bullacephalus	89.1353524044044	88.46492133833834
0.0	Burnetia	82.47170274374373	82.28506693093092
0.0	Cabarzia	121.08656422922923	120.36906192392392
0.0	Callibrachion	112.97737536736737	112.6060591001001
0.0	Candelariodon	65.40979095295295	65.20124493493493
0.0	Caodeyao	81.08410292192191	80.94839923523524
0.0	Casea	109.35544546846846	100.16096123023023
0.0	Cerdorhinus	81.28138196396397	81.09174936236235
0.0	Cerdosuchus	80.39621210510509	80.23198628428429
0.0	Chalepotherium	29.70303553953954	29.111197117117115
0.0	Chaliminia	50.96802112412412	37.912023710710706
0.0	Charassognathus	81.70750479979979	81.52080882382383
0.0	Chiniquodon	68.80183515915917	53.847137347347356
0.0	Choerosaurus	80.88394906706706	80.68608988588588
0.0	Chthomaloporus	90.94519422822823	90.56318098698698
0.0	Chthonosaurus	87.6165173083083	83.80807353753754
