genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lambda,avg_mu,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans
Brachyprosopus,-0.140777318,0,0,1,0,265.1358287,259.8344482,5.301380426,1.073611953,0.120273762,-0.784406191,0.675205835
Brachyzostrodon,0.283596334,1,0,0,0,208.1965928,201.6644139,6.53217891,0.222924867,0.747115344,0.051586824,-0.563312408
Brasilitherium,-0.297424559,0,0,1,0,227.1061618,210.3868966,16.7192652,0.531488141,0.469802888,0.29830531,0.043090148
Brasilodon,-0.297424559,0,0,1,0,226.9881839,208.833495,18.15468894,0.495088349,0.542819871,0.249943705,-0.053445084
Bulbasaurus,-0.297424559,0,0,1,0,259.1942821,254.72265,4.471632127,1.463969622,1.719963089,-0.295352408,-0.330372085
Bullacephalus,-0.297424559,0,0,1,0,264.1353524,263.4649213,0.670431066,1.34106685,0.522045462,-1.039348528,-0.688532228
Burnetia,-0.297424559,0,0,1,0,257.4717027,257.2850669,0.186635813,1.171863943,0.895271824,-0.016673172,-0.859216347
Cabarzia,-0.297424559,0,1,0,0,296.0865642,295.3690619,0.717502305,0.88067738,0.909134032,-0.107576255,-0.130457163
Callibrachion,-0.297424559,0,1,0,0,287.9773754,287.6060591,0.371316267,1.38356489,1.319079989,-0.571677217,-0.692432648
Candelariodon,-0.297424559,0,0,1,0,240.409791,240.2012449,0.208546018,0.870101556,0.635992514,1.528109483,0.438044897
Caodeyao,-0.297424559,1,0,0,0,256.0841029,255.9483992,0.135703687,2.280115601,2.864683162,-0.558398319,-0.011961492
Casea,-0.158928152,0,1,0,0,284.3554455,275.1609612,9.194484238,0.196237986,0.387766478,-1.037027817,-0.016301359
Cerdorhinus,-0.297424559,0,0,1,0,256.281382,256.0917494,0.189632602,0.830115038,1.006534226,-0.558398319,-0.011961492
Cerdosuchus,-0.297424559,0,0,1,0,255.3962121,255.2319863,0.164225821,1.375094243,1.58683359,-1.039392073,-0.146453112
Chalepotherium,-0.297424559,1,0,0,0,204.7030355,204.1111971,0.591838422,0.717936739,0.883698308,0.035532909,-0.632167669
Chaliminia,-0.297424559,0,0,1,0,225.9680211,212.9120237,13.05599741,0.391966523,0.355752643,0.457924386,0.264159778
Charassognathus,-0.297424559,0,0,1,0,256.7075048,256.5208088,0.186695976,1.001890533,0.960333858,-0.016673172,-0.859216347
Chiniquodon,-0.001945952,0,0,1,0,243.8018352,228.8471373,14.95469781,0.210172409,0.211559064,0.969363679,-0.06123588
Choerosaurus,-0.297424559,0,0,1,0,255.8839491,255.6860899,0.197859181,0.77232823,1.226809846,-0.558398319,-0.011961492
Chthomaloporus,-0.297424559,1,0,0,0,265.9451942,265.563181,0.382013241,0.669368857,1.070034441,-1.719219626,0.881694046
Chthonosaurus,-0.297424559,1,0,0,0,262.6165173,258.8080735,3.808443771,1.371585959,2.965359822,-0.521759034,1.20376876
Cistecephaloides,-0.297424559,0,0,1,0,256.8624466,256.686472,0.17597463,0.97407786,1.177813636,-0.016673172,-0.859216347
Cistecephalus,0.668769528,0,0,1,0,259.6698083,254.1058802,5.563928134,1.174906417,0.233681288,-0.295352408,-0.330372085
Cistecynodon,-0.297424559,0,0,1,0,244.5357627,244.3172371,0.218525638,1.111514544,1.020494317,1.955446393,1.314431594
Clelandina,-0.152345603,0,0,1,0,261.0831465,253.3025178,7.780628764,0.709710113,0.61456841,-0.35498649,0.081044908
Clepsydrops,-0.297424559,0,1,0,0,281.3886352,281.0195284,0.369106817,1.907488008,1.53627677,-0.573634826,1.147213535
Colobodectes,-0.028702758,0,0,1,0,263.826222,252.1465504,11.67967158,1.112422422,0.632798396,-0.553030772,0.23768398
Compsodon,0.668769528,0,0,1,0,260.8027799,252.7370335,8.0657464,1.087569439,0.815001826,-0.544650602,-0.226105868
Cotylorhynchus,-0.194988016,0,1,0,0,281.1701412,265.263627,15.90651423,0.392002557,0.880183897,-0.855732574,-0.042173351
Counillonia,-0.297424559,0,1,0,0,249.336597,249.2440712,0.09252581,4.364739684,3.399717856,1.909248818,-0.670343207
Cricodon,0.7568089,0,0,1,0,246.5753932,242.080247,4.495146217,0.812469321,0.355468746,1.459847768,-0.307756931
Criocephalosaurus,-0.297424559,0,0,1,0,263.2618004,259.9789941,3.282806274,1.151429369,1.438774568,-0.597882256,1.242224268
Cromptodon,-0.297424559,0,0,1,0,245.3875249,245.1954226,0.192102304,1.750924244,1.069930827,0.814771646,-0.796538939
Cryptocynodon,-0.080714483,0,0,1,0,261.1242264,254.0857754,7.03845097,0.680206479,0.303796732,-0.2877267,0.198141869
Ctenorhachis,-0.297424559,0,1,0,0,286.6121226,286.1809502,0.431172393,1.188663289,1.242132114,0.425296576,0.996201225
Ctenospondylus,-0.142015644,0,1,0,0,294.414538,281.9004807,12.51405728,0.478264999,0.237112379,-0.880055497,0.51464345
Cutleria,-0.297424559,0,1,0,0,294.7473952,290.0807795,4.666615753,1.17597345,0.841309417,-1.116820327,0.601529455
Cynariognathus,-0.297424559,0,0,1,0,263.3244322,259.9060649,3.418367362,1.192515183,1.515093943,-0.597882256,1.242224268
Cyniscops,-0.297424559,0,0,1,0,256.9233649,256.7248835,0.198481475,1.122529881,0.985161992,-0.016673172,-0.859216347
Cynognathus,1.437747253,0,0,1,1,246.8018835,230.3726114,16.42927217,1.346352512,0.407706523,1.05615264,-0.143209621
Cynosaurus,-0.152345603,0,0,1,0,261.3242398,252.4347364,8.889503382,0.772807567,0.786472016,-0.469903814,0.076053357
Cyonosaurus,-0.129234168,0,0,1,0,260.262788,251.9577625,8.305025504,0.616752014,0.892886833,-0.405260498,0.180894909
Dalongkoua,-0.297424559,1,0,0,0,253.0233387,252.8924316,0.130907121,2.776486698,3.160168637,-1.389242404,0.036120952
Daptocephalus,0.690269107,0,0,1,0,263.2800879,251.9588326,11.32125528,1.217243453,1.026054862,-0.447789846,0.504285408
Daqingshanodon,-0.297424559,1,0,0,0,255.5669955,255.4564262,0.11056929,2.768765568,3.594614843,-0.558398319,-0.011961492
Davletkulia,-0.297424559,1,0,0,0,270.6779717,269.878694,0.799277684,0.406431249,0.369175177,-0.906076974,-0.525905242
Delectosaurus,-0.110059055,1,0,0,0,260.4688995,257.0175779,3.451321651,0.269315621,1.151563164,-0.175897943,-0.029567708
Delphinognathus,-0.297424559,0,0,1,0,261.9562913,261.1705181,0.78577316,0.482636146,0.777915027,-1.54494948,1.524856541
Deuterosaurus,-0.174175094,1,0,0,0,266.8938315,259.7413159,7.152515631,0.255609283,1.178638267,-0.917950967,0.704704151
Diademodon,1.437747253,0,0,1,1,246.811847,230.9550941,15.85675292,1.333619163,0.40202229,1.05615264,-0.143209621
Dicynodon,6.526876649,1,0,1,0,264.742307,239.1909143,25.55139271,1.36940318,0.325586844,0.52919615,0.291954869
Dicynodontipus,-0.297424559,0,0,1,0,251.6082032,251.4852591,0.122944109,2.69479048,2.251599291,0.709860338,3.436901122
Dicynodontoides,1.017341343,0,0,1,0,260.7509282,247.541339,13.20958927,1.1231875,0.261817632,0.332276228,0.052513151
Diegocanis,-0.297424559,0,0,1,0,232.8611558,231.6545032,1.206652581,0.457145556,0.361877672,1.568449877,1.175278511
Digalodon,-0.152345603,0,0,1,0,261.0798046,252.8118766,8.267927961,0.713840961,0.769256716,-0.469903814,0.076053357
Diictodon,7.378515237,1,0,1,0,264.2917313,252.3339759,11.95775543,1.225937082,0.198155632,-0.593557251,0.160499296
Diictodontoides,-0.297424559,0,0,1,0,256.5079022,256.3129231,0.194979087,0.853154247,1.18221209,-0.558398319,-0.011961492
Dimetrodon,0.867616849,0,1,0,0,298.6134752,274.2405298,24.37294538,0.122707354,0.63972227,-0.779750253,0.194908819
Dinanomodon,-0.149684313,0,0,1,0,261.5676139,248.5937648,12.97384907,0.759383057,0.638708923,0.200906258,0.325011535
Dinodontosaurus,-0.238528042,0,0,1,0,242.0476401,236.4971099,5.550530183,0.427669461,0.326001682,1.056046496,0.450095773
Dinogorgon,0.668769528,0,0,1,0,260.3177392,252.3018236,8.015915559,1.105062951,0.869240912,-0.544650602,-0.226105868
