Time	map_scaled	mat_scaled	wmmcmm_scaled
201.3	-0.2924601853946494	0.8789841085669369	0.23332989970762666
208.5	0.20147468701307014	0.9737210048816964	0.22920941874872391
227.0	1.561040899509124	1.3002438804136036	0.3083253129644882
237.0	1.8631824271102173	1.0290320677006595	0.6429088101282628
242.0	-0.6853218197606472	-0.9851092389559007	0.7402377178132633
247.2	-0.4457024073272588	-0.33586836430713574	0.298359910925095
251.2	-0.01570606007174132	-0.14497814215874014	0.45701948463100023
251.902	0.19183134863207052	0.2880023737375194	-0.06232513748776544
254.14	-0.08562780587594598	-0.17576352300654716	0.06366095057252631
259.1	-1.838514556869745	-1.7577578548971304	0.4764338432749158
265.1	-1.9482942701861288	-1.93931005477595	0.863772352435927
268.8	0.7099261738583168	1.499417093270022	-3.436919248685371
272.95	0.3553488945665653	-0.1091441034110757	0.07393666317364363
283.5	0.6355313036972415	-0.08067453204821692	-0.028253037810376466
290.1	-0.20670862890047656	-0.4407947150097397	-0.8596969403919379
