Time	map_minmax	mat_minmax	wmmcmm_minmax
201.3	0.4344337421677109	0.8195748141705164	0.8534090534266796
208.5	0.5640252133048924	0.847124803522999	0.852450956138832
227.0	0.9207284862018397	0.9420793787115105	0.8708470425252954
237.0	1.0	0.863209552454124	0.9486446453751578
242.0	0.3313604019464069	0.27748663233204357	0.9712756351582021
247.2	0.394228269564058	0.4662893045701392	0.8685298798538788
251.2	0.5070444774030127	0.5218011884533567	0.9054215215760004
251.902	0.5614951339821355	0.6477142072115611	0.7846631249536156
254.14	0.4886994234102118	0.5128486372556553	0.8139575035664517
259.1	0.028802409678709395	0.05279633773269432	0.9099357626433802
265.1	0.0	0.0	1.0000000000000002
268.8	0.6974253432875615	1.0	0.0
272.95	0.6043964971337155	0.5322219160089079	0.8163468198797716
283.5	0.6779066957738964	0.5405010175884084	0.7925855948346239
290.1	0.4569319924010129	0.43577616811433534	0.5992576421014442
