,occurrence_no_x,locality,county_original,state,cc,notes,id,genus,age_max,age_min,Rotated Lat,Rotated Lon
65,287732,Oklahoma,Blaine,Oklahoma,US,,2183,Fayella,273.01,264.28,2.6894,-35.9903
66,294219,New Mexico,Sandoval,New Mexico,US,,2181,Eryops,298.9,286.1,2.4804,-43.1405
67,295886,Texas,Archer,Texas,US,,2180,Eryops,293.52,290.1,-2.9673,-38.9083
68,295887,Texas,Archer,Texas,US,,2179,Eryops,293.52,290.1,-2.9673,-38.9083
69,295891,Texas,Archer,Texas,US,,2178,Eryops,293.52,290.1,-2.9673,-38.9083
70,295893,Texas,Archer,Texas,US,,2177,Eryops,293.52,290.1,-2.9673,-38.9083
71,295894,Texas,Archer,Texas,US,,2176,Zatrachys,293.52,290.1,-2.9673,-38.9083
72,295897,Texas,Archer,Texas,US,,2175,Eryops,293.52,290.1,-2.9673,-38.9083
73,295901,Texas,Archer,Texas,US,,2174,Eryops,293.52,290.1,-2.9673,-38.9083
74,295906,Texas,Archer,Texas,US,,2173,Eryops,290.1,283.5,-2.9808,-38.7628
75,295907,Texas,Archer,Texas,US,,2172,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
76,295911,Texas,Archer,Texas,US,,2171,Eryops,290.1,283.5,-0.73,-37.6741
77,295915,Texas,Wichita,Texas,US,,2170,Eryops,290.1,283.5,-0.73,-37.6741
78,295916,Texas,Wichita,Texas,US,,2169,Trimerorhachis,290.1,283.5,-0.73,-37.6741
79,295917,Texas,Wichita,Texas,US,,2168,Parioxys,290.1,283.5,-0.73,-37.6741
80,295931,Texas,Archer,Texas,US,,2167,Eryops,290.1,283.5,-2.9808,-38.7628
81,295932,Texas,Archer,Texas,US,,2166,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
82,295938,Texas,Archer,Texas,US,,2165,Eryops,290.1,283.5,-2.9808,-38.7628
83,295939,Texas,Archer,Texas,US,,2164,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
84,295942,Texas,Baylor,Texas,US,,2163,Eryops,290.1,283.5,-2.9808,-38.7628
85,295943,Texas,Baylor,Texas,US,,2162,Aspidosaurus,290.1,283.5,-2.9808,-38.7628
86,295944,Texas,Baylor,Texas,US,,2161,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
87,295947,Texas,Baylor,Texas,US,,2160,Eryops,290.1,283.5,-2.9808,-38.7628
88,295949,Texas,Baylor,Texas,US,,2159,Eryops,290.1,283.5,-2.9808,-38.7628
89,295950,Texas,Baylor,Texas,US,,2158,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
90,295957,Texas,Baylor,Texas,US,,2157,Tersomius,290.1,283.5,-2.9808,-38.7628
91,295959,Texas,Archer,Texas,US,,2156,Eryops,290.1,283.5,-2.9808,-38.7628
92,295960,Texas,Archer,Texas,US,,2155,Zatrachys,290.1,283.5,-2.9808,-38.7628
93,295961,Texas,Archer,Texas,US,,2154,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
94,295964,Texas,Archer,Texas,US,,2153,Eryops,290.1,283.5,-2.9808,-38.7628
95,295965,Texas,Archer,Texas,US,,2152,Aspidosaurus,290.1,283.5,-2.9808,-38.7628
96,295966,Texas,Archer,Texas,US,,2151,Trimerorhachis,290.1,283.5,-2.9808,-38.7628
97,295969,Texas,Archer,Texas,US,,2150,Eryops,290.1,283.5,-0.73,-37.6741
98,295970,Texas,Archer,Texas,US,,2149,Trimerorhachis,290.1,283.5,-0.73,-37.6741
99,295974,Texas,Baylor,Texas,US,,2148,Eryops,290.1,283.5,-2.9808,-38.7628
100,295979,Texas,Wichita,Texas,US,,2147,Eryops,290.1,283.5,-0.73,-37.6741
101,295987,Texas,Baylor,Texas,US,,2146,Eryops,290.1,273.01,-0.73,-37.6741
102,295988,Texas,Baylor,Texas,US,,2145,Trimerorhachis,290.1,273.01,-0.73,-37.6741
103,295993,Texas,Baylor,Texas,US,,2144,Broiliellus,290.1,273.01,-2.9808,-38.7628
104,295995,Texas,Baylor,Texas,US,,2143,Eryops,290.1,273.01,-2.9808,-38.7628
105,295996,Texas,Baylor,Texas,US,,2142,Broiliellus,290.1,273.01,-2.9808,-38.7628
106,295997,Texas,Baylor,Texas,US,,2141,Trimerorhachis,290.1,273.01,-2.9808,-38.7628
107,296006,Texas,Baylor/Wilbarger,Texas,US,,2140,Eryops,283.5,273.01,1.0593,-36.5887
108,296007,Texas,Baylor/Wilbarger,Texas,US,,2139,Trimerorhachis,283.5,273.01,1.0593,-36.5887
109,296011,Texas,Baylor,Texas,US,,2138,Eryops,290.1,273.01,-0.73,-37.6741
110,296015,Texas,Baylor,Texas,US,,2137,Eryops,290.1,273.01,-0.73,-37.6741
111,296021,Texas,Baylor,Texas,US,,2136,Eryops,290.1,273.01,-0.73,-37.6741
112,296024,Texas,Baylor/Willbarger,Texas,US,,2135,Eryops,283.5,273.01,1.0593,-36.5887
113,296025,Texas,Baylor/Willbarger,Texas,US,,2134,Dissorophus,283.5,273.01,1.0593,-36.5887
114,296026,Texas,Baylor/Willbarger,Texas,US,,2133,Aspidosaurus,283.5,273.01,1.0593,-36.5887
115,296027,Texas,Baylor/Willbarger,Texas,US,,2132,Dasyceps,283.5,273.01,1.0593,-36.5887
116,296028,Texas,Baylor/Willbarger,Texas,US,,2131,Trimerorhachis,283.5,273.01,1.0593,-36.5887
117,296055,Texas,Baylor,Texas,US,,2130,Eryops,283.5,273.01,1.0593,-36.5887
118,296056,Texas,Baylor,Texas,US,,2129,Cacops,283.5,273.01,1.0593,-36.5887
119,296057,Texas,Baylor,Texas,US,,2128,Trimerorhachis,283.5,273.01,1.0593,-36.5887
120,296061,Texas,Baylor,Texas,US,,2127,Isodectes,283.5,273.01,1.0593,-36.5887
121,296071,Texas,Baylor,Texas,US,,2126,Eryops,283.5,273.01,1.0593,-36.5887
122,296077,Texas,Baylor,Texas,US,,2125,Dissorophus,283.5,273.01,1.0593,-36.5887
123,296079,Texas,Baylor,Texas,US,,2124,Dissorophus,283.5,273.01,1.0593,-36.5887
124,296082,Texas,Baylor,Texas,US,,2123,Eryops,283.5,273.01,-1.1855,-37.6892
125,296086,Texas,Baylor,Texas,US,,2122,Zatrachys,283.5,273.01,-1.1855,-37.6892
126,296087,Texas,Baylor,Texas,US,,2121,Trimerorhachis,283.5,273.01,-1.1855,-37.6892
127,296097,Texas,Baylor,Texas,US,,2120,Eryops,283.5,273.01,-1.1855,-37.6892
128,296101,Texas,Baylor,Texas,US,,2119,Acheloma,283.5,273.01,-1.1855,-37.6892
129,296102,Texas,Baylor,Texas,US,,2118,Eryops,283.5,273.01,-1.1855,-37.6892
130,296103,Texas,Baylor,Texas,US,,2117,Dissorophus,283.5,273.01,-1.1855,-37.6892
131,296104,Texas,Baylor,Texas,US,,2116,Trimerorhachis,283.5,273.01,-1.1855,-37.6892
132,296111,Texas,Baylor,Texas,US,,2115,Eryops,283.5,273.01,-1.1855,-37.6892
133,296112,Texas,Baylor,Texas,US,,2114,Trimerorhachis,283.5,273.01,-1.1855,-37.6892
134,296120,Texas,Baylor,Texas,US,,2113,Trimerorhachis,283.5,273.01,-1.1855,-37.6892
135,296128,Texas,Wilbarger,Texas,US,,2112,Zatrachys,283.5,273.01,1.0593,-36.5887
136,296135,Texas,Baylor,Texas,US,,2111,Eryops,283.5,273.01,-1.1855,-37.6892
137,296140,Texas,Archer,Texas,US,,2110,Eryops,293.52,283.5,-2.9673,-38.9083
138,296141,Texas,Archer,Texas,US,,2109,Trimerorhachis,293.52,283.5,-2.9673,-38.9083
139,296147,Texas,Baylor/Willbarger,Texas,US,,2108,Anisodexis,283.5,273.01,1.0593,-36.5887
140,296148,Texas,Baylor/Willbarger,Texas,US,,2107,Acheloma,283.5,273.01,1.0593,-36.5887
141,296150,Texas,Baylor,Texas,US,,2106,Isodectes,283.5,273.01,1.0593,-36.5887
142,296595,Oklahoma,McClain,Oklahoma,US,,2105,Zatrachys,298.9,286.1,-0.5219,-37.7808
143,297321,Sardinia,Ogliastra region,Sardinia,IT,,2104,Apateon,298.9,251.902,5.7584,20.0193
144,297323,Sardinia,Ogliastra region,Sardinia,IT,,2103,Apateon,298.9,251.902,5.7584,20.0193
145,297325,Sardinia,Ogliastra region,Sardinia,IT,,2102,Apateon,298.9,251.902,5.7584,20.0193
146,297327,Pennsylvania,Greene,Pennsylvania,US,,2101,Eryops,293.52,290.1,-1.2905,-22.1478
147,297332,Ivanovo,,Ivanovo,RU,,2100,Volgosuchus,251.902,247.2,43.5776,31.6825
148,297333,Ivanovo,,Ivanovo,RU,,2099,Thoosuchus,251.902,247.2,43.5776,31.6825
149,297334,Volgograd,Nikolsk,Volgograd,RU,,1849,Benthosuchus,251.2,247.2,47.012,29.6875
150,297334,Volgograd,Nikolsk,Volgograd,RU,,1850,Benthosuchus,251.2,247.2,47.012,29.6875
151,297334,Volgograd,Nikolsk,Volgograd,RU,,1851,Benthosuchus,251.2,247.2,47.012,29.6875
152,297334,Volgograd,Nikolsk,Volgograd,RU,,1852,Benthosuchus,251.2,247.2,47.012,29.6875
153,297334,Volgograd,Nikolsk,Volgograd,RU,,1853,Benthosuchus,251.2,247.2,47.012,29.6875
154,297334,Volgograd,Nikolsk,Volgograd,RU,,1854,Benthosuchus,251.2,247.2,47.012,29.6875
155,297334,Volgograd,Nikolsk,Volgograd,RU,,1855,Benthosuchus,251.2,247.2,47.012,29.6875
156,297334,Volgograd,Nikolsk,Volgograd,RU,,1856,Benthosuchus,251.2,247.2,47.012,29.6875
157,297334,Volgograd,Nikolsk,Volgograd,RU,,1857,Benthosuchus,251.2,247.2,47.012,29.6875
158,297334,Volgograd,Nikolsk,Volgograd,RU,,1858,Benthosuchus,251.2,247.2,47.012,29.6875
159,297334,Volgograd,Nikolsk,Volgograd,RU,,1859,Benthosuchus,251.2,247.2,47.012,29.6875
160,297334,Volgograd,Nikolsk,Volgograd,RU,,1860,Benthosuchus,251.2,247.2,47.012,29.6875
161,297334,Volgograd,Nikolsk,Volgograd,RU,,1861,Benthosuchus,251.2,247.2,47.012,29.6875
162,297334,Volgograd,Nikolsk,Volgograd,RU,,1862,Benthosuchus,251.2,247.2,47.012,29.6875
163,297334,Volgograd,Nikolsk,Volgograd,RU,,1863,Benthosuchus,251.2,247.2,47.012,29.6875
164,297334,Volgograd,Nikolsk,Volgograd,RU,,1864,Benthosuchus,251.2,247.2,47.012,29.6875
165,297334,Volgograd,Nikolsk,Volgograd,RU,,1865,Benthosuchus,251.2,247.2,47.012,29.6875
166,297334,Volgograd,Nikolsk,Volgograd,RU,,1866,Benthosuchus,251.2,247.2,47.012,29.6875
167,297334,Volgograd,Nikolsk,Volgograd,RU,,1867,Benthosuchus,251.2,247.2,47.012,29.6875
168,297334,Volgograd,Nikolsk,Volgograd,RU,,1868,Benthosuchus,251.2,247.2,47.012,29.6875
169,297334,Volgograd,Nikolsk,Volgograd,RU,,1869,Benthosuchus,251.2,247.2,47.012,29.6875
170,297334,Volgograd,Nikolsk,Volgograd,RU,,1870,Benthosuchus,251.2,247.2,47.012,29.6875
171,297334,Volgograd,Nikolsk,Volgograd,RU,,1871,Benthosuchus,251.2,247.2,47.012,29.6875
172,297334,Volgograd,Nikolsk,Volgograd,RU,,1872,Benthosuchus,251.2,247.2,47.012,29.6875
173,297334,Volgograd,Nikolsk,Volgograd,RU,,1873,Benthosuchus,251.2,247.2,47.012,29.6875
174,297334,Volgograd,Nikolsk,Volgograd,RU,,1874,Benthosuchus,251.2,247.2,47.012,29.6875
175,297334,Volgograd,Nikolsk,Volgograd,RU,,1875,Benthosuchus,251.2,247.2,47.012,29.6875
176,297334,Volgograd,Nikolsk,Volgograd,RU,,1876,Benthosuchus,251.2,247.2,47.012,29.6875
177,297334,Volgograd,Nikolsk,Volgograd,RU,,1877,Benthosuchus,251.2,247.2,47.012,29.6875
178,297334,Volgograd,Nikolsk,Volgograd,RU,,1878,Benthosuchus,251.2,247.2,47.012,29.6875
179,297334,Volgograd,Nikolsk,Volgograd,RU,,1879,Benthosuchus,251.2,247.2,47.012,29.6875
180,297334,Volgograd,Nikolsk,Volgograd,RU,,1880,Benthosuchus,251.2,247.2,47.012,29.6875
181,297334,Volgograd,Nikolsk,Volgograd,RU,,1881,Benthosuchus,251.2,247.2,47.012,29.6875
182,297334,Volgograd,Nikolsk,Volgograd,RU,,1882,Benthosuchus,251.2,247.2,47.012,29.6875
183,297334,Volgograd,Nikolsk,Volgograd,RU,,1883,Benthosuchus,251.2,247.2,47.012,29.6875
184,297334,Volgograd,Nikolsk,Volgograd,RU,,1884,Benthosuchus,251.2,247.2,47.012,29.6875
185,297334,Volgograd,Nikolsk,Volgograd,RU,,1885,Benthosuchus,251.2,247.2,47.012,29.6875
186,297334,Volgograd,Nikolsk,Volgograd,RU,,1886,Benthosuchus,251.2,247.2,47.012,29.6875
187,297334,Volgograd,Nikolsk,Volgograd,RU,,1887,Benthosuchus,251.2,247.2,47.012,29.6875
188,297334,Volgograd,Nikolsk,Volgograd,RU,,1888,Benthosuchus,251.2,247.2,47.012,29.6875
189,297334,Volgograd,Nikolsk,Volgograd,RU,,1889,Benthosuchus,251.2,247.2,47.012,29.6875
190,297334,Volgograd,Nikolsk,Volgograd,RU,,1890,Benthosuchus,251.2,247.2,47.012,29.6875
191,297334,Volgograd,Nikolsk,Volgograd,RU,,1891,Benthosuchus,251.2,247.2,47.012,29.6875
192,297334,Volgograd,Nikolsk,Volgograd,RU,,1892,Benthosuchus,251.2,247.2,47.012,29.6875
193,297334,Volgograd,Nikolsk,Volgograd,RU,,1893,Benthosuchus,251.2,247.2,47.012,29.6875
194,297334,Volgograd,Nikolsk,Volgograd,RU,,1894,Benthosuchus,251.2,247.2,47.012,29.6875
195,297334,Volgograd,Nikolsk,Volgograd,RU,,1895,Benthosuchus,251.2,247.2,47.012,29.6875
196,297334,Volgograd,Nikolsk,Volgograd,RU,,1896,Benthosuchus,251.2,247.2,47.012,29.6875
197,297334,Volgograd,Nikolsk,Volgograd,RU,,1897,Benthosuchus,251.2,247.2,47.012,29.6875
198,297334,Volgograd,Nikolsk,Volgograd,RU,,1898,Benthosuchus,251.2,247.2,47.012,29.6875
199,297334,Volgograd,Nikolsk,Volgograd,RU,,1899,Benthosuchus,251.2,247.2,47.012,29.6875
200,297334,Volgograd,Nikolsk,Volgograd,RU,,1900,Benthosuchus,251.2,247.2,47.012,29.6875
201,297334,Volgograd,Nikolsk,Volgograd,RU,,1901,Benthosuchus,251.2,247.2,47.012,29.6875
202,297334,Volgograd,Nikolsk,Volgograd,RU,,1902,Benthosuchus,251.2,247.2,47.012,29.6875
203,297334,Volgograd,Nikolsk,Volgograd,RU,,1903,Benthosuchus,251.2,247.2,47.012,29.6875
204,297334,Volgograd,Nikolsk,Volgograd,RU,,1904,Benthosuchus,251.2,247.2,47.012,29.6875
205,297334,Volgograd,Nikolsk,Volgograd,RU,,1905,Benthosuchus,251.2,247.2,47.012,29.6875
206,297334,Volgograd,Nikolsk,Volgograd,RU,,1906,Benthosuchus,251.2,247.2,47.012,29.6875
207,297334,Volgograd,Nikolsk,Volgograd,RU,,1907,Benthosuchus,251.2,247.2,47.012,29.6875
208,297334,Volgograd,Nikolsk,Volgograd,RU,,1908,Benthosuchus,251.2,247.2,47.012,29.6875
209,297334,Volgograd,Nikolsk,Volgograd,RU,,1909,Benthosuchus,251.2,247.2,47.012,29.6875
210,297334,Volgograd,Nikolsk,Volgograd,RU,,1910,Benthosuchus,251.2,247.2,47.012,29.6875
211,297334,Volgograd,Nikolsk,Volgograd,RU,,1911,Benthosuchus,251.2,247.2,47.012,29.6875
212,297334,Volgograd,Nikolsk,Volgograd,RU,,1912,Benthosuchus,251.2,247.2,47.012,29.6875
213,297334,Volgograd,Nikolsk,Volgograd,RU,,1913,Benthosuchus,251.2,247.2,47.012,29.6875
214,297334,Volgograd,Nikolsk,Volgograd,RU,,1914,Benthosuchus,251.2,247.2,47.012,29.6875
215,297334,Volgograd,Nikolsk,Volgograd,RU,,1915,Benthosuchus,251.2,247.2,47.012,29.6875
216,297334,Volgograd,Nikolsk,Volgograd,RU,,1916,Benthosuchus,251.2,247.2,47.012,29.6875
217,297334,Volgograd,Nikolsk,Volgograd,RU,,1917,Benthosuchus,251.2,247.2,47.012,29.6875
218,297334,Volgograd,Nikolsk,Volgograd,RU,,1918,Benthosuchus,251.2,247.2,47.012,29.6875
219,297334,Volgograd,Nikolsk,Volgograd,RU,,1919,Benthosuchus,251.2,247.2,47.012,29.6875
220,297334,Volgograd,Nikolsk,Volgograd,RU,,1920,Benthosuchus,251.2,247.2,47.012,29.6875
221,297334,Volgograd,Nikolsk,Volgograd,RU,,1921,Benthosuchus,251.2,247.2,47.012,29.6875
222,297334,Volgograd,Nikolsk,Volgograd,RU,,1922,Benthosuchus,251.2,247.2,47.012,29.6875
223,297334,Volgograd,Nikolsk,Volgograd,RU,,1923,Benthosuchus,251.2,247.2,47.012,29.6875
224,297334,Volgograd,Nikolsk,Volgograd,RU,,1924,Benthosuchus,251.2,247.2,47.012,29.6875
225,297334,Volgograd,Nikolsk,Volgograd,RU,,1925,Benthosuchus,251.2,247.2,47.012,29.6875
226,297334,Volgograd,Nikolsk,Volgograd,RU,,1926,Benthosuchus,251.2,247.2,47.012,29.6875
227,297334,Volgograd,Nikolsk,Volgograd,RU,,1927,Benthosuchus,251.2,247.2,47.012,29.6875
