feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-10.1947298572579,-40.0,-2.97321406370257,0.343503997027874,0.23456993699073792,0.45199719071388245,-913.7416394702059,-1230.4794412716735,-631.8660506838078,4.0
Temperate_N,none,0_1,none,0.94,-5.002912497033041,-19.79480817710239,3.002276237269018,0.729430112093687,0.29519230127334595,1.1466320753097534,-1136.6644357107525,-1944.4604721764135,-377.6291021046188,3.0
Tropical,none,0_1,none,1.0,-18.60543681818482,-40.0,-4.300293286518045,0.7427674371004105,0.38275986909866333,1.1436208486557007,-2083.3836094813846,-3763.148409876872,-809.8292935693164,2.0
Temperate_S,none,0_1,none,1.0,-24.385938969802254,-40.0,-4.839739880248672,0.7715710404515267,0.398708701133728,1.200421690940857,-2244.3655824605025,-4084.752940949769,-882.191160277911,1.0
Antarctic,none,0_1,none,0.74,-2.3743663217359563,-40.0,3.2268078094139883,0.07421705804765225,0.05807178467512131,0.10024439543485641,-29.13509720695537,-96.46108689584275,5.8983125928666595,8.0
mean_pt_1myr_z_trans,none,none,none,0.98,-4.323582233198602,-29.79584841942034,6.1322376313189,0.28894297264516355,0.12521633505821228,0.4250168800354004,-682.6104967003398,-1192.4509713945765,-256.5040327645179,5.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.69,-2.018161326522188,-10.80097077253596,8.076960889906406,0.19654128573834895,0.11509626358747482,0.2784947156906128,-616.2204473535926,-1102.374661129666,-199.75317796433887,6.0
time,none,none,none,0.92,-4.8004301514901,-30.84362590680924,5.6223435236655845,0.1272350763902068,0.05819135531783104,0.1932862401008606,-608.8210615510365,-1300.207052515314,-76.43586349082625,7.0
