id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,locality
31,146084,146084,6.739012,Icarosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Jersey,Hudson,Lockatong,,Granton Quarry,"Belmont-Gurnee Quarry, North Bergen",New Jersey
32,146085,146085,6.739012,Rutiodon,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Jersey,Hudson,Lockatong,,Granton Quarry,"Belmont-Gurnee Quarry, North Bergen",New Jersey
33,149845,149845,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Crosby,Tecovas,,"NMMNH L-1430, Upper Kalgary",Dockum Formation,Texas
34,149917,149917,-1.470099,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624",Texas
35,149917,149917,-1.470099,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624",Texas
36,149918,149918,-1.470099,Desmatosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624",Texas
37,149919,149919,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624",Texas
38,149988,149988,32.59323,Efraasia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Stuttgart,Löwenstein,,"Goessel Quarry 375, Ochsenbach",Goesel,Baden-Württemberg
39,220070,220070,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller",Aargau
40,220071,220071,30.98263,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller",Aargau
41,220072,220072,30.98263,Saltoposuchus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller",Aargau
42,220073,220073,30.98263,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller",Aargau
