Time	Mod_R_deltaTMyr_scaled
27.0	0.1553161732057887
28.0	-1.015368406021189
29.0	-0.6321676687074131
30.0	-0.4048549564327159
31.0	-0.5220302755285569
32.0	-0.9532418933600832
33.0	-0.5708398289672241
34.0	-1.1131932854629325
35.0	-0.7434797986353205
36.0	-0.6347871891715813
37.0	-0.6811170847177921
38.0	0.8919316077296167
39.0	-0.5301148366668154
40.0	2.144833208630812
41.0	-0.7630838993406389
42.0	0.7642394012632303
47.0	-0.9228468133005512
51.0	0.9997227630057856
52.0	-0.8378756768124475
54.0	1.1676979474806397
56.0	-1.103213767900192
57.0	1.1752785107296455
58.0	-1.138091373605315
59.0	-0.6385162334720734
60.0	-1.011535254676323
61.0	-1.0448227365392992
62.0	-1.014398882218793
63.0	-0.713689691882884
64.0	0.5234483093508732
65.0	0.4380448974548507
66.0	1.961768834357048
67.0	1.5054011739054374
68.0	-0.9646740467309332
69.0	1.3144315938900808
70.0	-0.7965389385741259
71.0	-0.7842463317383721
72.0	0.2071750858766484
73.0	-1.0491518362093226
74.0	-0.6703432065006147
75.0	-1.022197667782779
76.0	1.7963094980175247
77.0	3.4369011219489054
78.0	0.0361209522064405
79.0	-0.7386338194010479
80.0	-0.1464531124841437
81.0	-0.0119614923970949
82.0	-0.8592163467668947
83.0	-0.8855944689606436
84.0	0.251364994062338
85.0	0.5455263496600073
86.0	2.493327156929834
87.0	1.5248565411905397
88.0	0.4051870233954643
89.0	-0.688532227889528
90.0	-0.2291298336273127
91.0	0.8816940463736234
92.0	-0.6219262800404748
93.0	1.139176894002053
94.0	0.8420667526700514
95.0	-0.5259052419027204
96.0	-0.0532519428507572
97.0	-0.6047872473926899
98.0	-0.8391671308453255
99.0	-0.4723595687539049
100.0	0.2284856620724008
101.0	-0.7178204412503985
102.0	0.1860085672924259
104.0	-0.4524596472658608
105.0	-0.7695682293260777
106.0	1.147213535253501
108.0	0.5088180640253925
110.0	1.638931884954161
112.0	0.9962012252474048
113.0	-0.6924326478003654
115.0	-0.2258452939875421
116.0	0.3360403969899347
117.0	0.2791008242860916
118.0	-0.7410547313849409
119.0	2.5320313297489974
120.0	-0.4143504911631133
121.0	-0.1304571632934495
122.0	-0.4497476998590343
123.0	0.4441724180913202
124.0	-0.4864959883941365
125.0	-0.8652521173051212
