Time	mean_scaled
27.0	-0.4931045403671729
28.0	0.1241569587564989
29.0	0.0355329087373647
30.0	-0.2261302860853488
31.0	0.1381788430036876
32.0	0.4495759726660826
33.0	0.3328979105643292
34.0	0.0435413529566096
35.0	-0.0009086328002239
36.0	0.2104901599250971
37.0	0.470970477104569
38.0	0.7105299431569164
39.0	1.660419472003658
40.0	1.3526730267431395
41.0	-0.1629800864626334
42.0	0.0395662262926416
47.0	-0.8526622672275789
51.0	-0.7222589217547838
52.0	0.2763050662846735
54.0	0.445078205589434
56.0	1.519493516305431
57.0	1.5684498774080826
58.0	0.4906114689205094
59.0	0.5238184060534182
60.0	0.2650219854280188
61.0	0.3553769434858662
62.0	0.4307005149837657
63.0	0.5197623641799632
64.0	0.7446132569171914
65.0	1.5281094831347233
66.0	2.273040717030111
67.0	0.8400526393767992
68.0	2.06696212138491
69.0	1.9554463929321837
70.0	0.8147716463490351
71.0	1.0022109098915064
72.0	1.195201060784633
73.0	1.8358801052800693
74.0	1.9092488182519385
75.0	2.153673364840078
76.0	2.0681331579316864
77.0	0.7098603382893699
78.0	-1.3892424043400375
79.0	-0.8258050188212296
80.0	-1.039392073271288
81.0	-0.5583983187478905
82.0	-0.0166731716554784
83.0	0.1424633191005625
84.0	-0.0047617942800461
85.0	-0.6653953549718592
86.0	0.1280704915530573
87.0	-1.5449494797623886
88.0	-0.3092546824495507
89.0	-1.0393485277808234
90.0	-1.275559591386986
91.0	-1.7192196259628896
92.0	-0.7739529991861616
93.0	-1.0402408227741686
94.0	0.0212954459542449
95.0	-0.9060769744494868
96.0	-1.215724315857621
97.0	-0.6926443930580395
98.0	-0.4186172218876984
99.0	-0.5868071856160424
100.0	-0.9206337529742208
101.0	-1.5709358593212068
102.0	-1.3479502606696
104.0	-0.7168292213150323
105.0	-0.3740165945712713
106.0	-0.5736348259940685
108.0	-1.6388001387170863
110.0	-0.8619103872818943
112.0	0.4252965763334524
113.0	-0.5716772167290234
115.0	-0.806126997583877
116.0	-1.2512702066893229
117.0	-0.552400396921142
118.0	-1.225558422094539
119.0	-1.438052283076108
120.0	0.2524450457946114
121.0	-0.1075762546359111
122.0	-0.5957931819835496
123.0	-0.9398304232422384
124.0	-0.192132232630895
125.0	0.1353108557084112
