,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
281,3136,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
282,3137,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
283,3138,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
284,3139,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
285,3140,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
286,3141,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
287,3142,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
288,3143,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
289,3144,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
290,3145,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
291,3146,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
292,3147,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
293,3148,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
294,3149,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
295,3150,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
296,3151,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
297,3152,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
298,3153,Endothiodon,Adilabad,Andhra Pradesh,787279,259.51,254.14,IN,-42.2372,55.9053
299,3118,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
300,3119,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
301,3120,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
302,3121,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
303,3122,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
304,3123,Endothiodon,Adilabad,Andhra Pradesh,787280,259.51,254.14,IN,-42.2372,55.9053
308,3111,Sauroscaptor,Adilabad,Andhra Pradesh,787284,259.51,254.14,IN,-42.2372,55.9053
309,3112,Sauroscaptor,Adilabad,Andhra Pradesh,787284,259.51,254.14,IN,-42.2372,55.9053
310,3113,Sauroscaptor,Adilabad,Andhra Pradesh,787284,259.51,254.14,IN,-42.2372,55.9053
311,3114,Sauroscaptor,Adilabad,Andhra Pradesh,787284,259.51,254.14,IN,-42.2372,55.9053
312,3106,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14,IN,-42.2372,55.9053
313,3107,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14,IN,-42.2372,55.9053
314,3108,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14,IN,-42.2372,55.9053
315,3109,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14,IN,-42.2372,55.9053
316,3110,Pristerodon,Adilabad,Andhra Pradesh,787285,259.51,254.14,IN,-42.2372,55.9053
323,3098,Mycterosaurus,Baylor,Texas,787993,290.1,273.01,US,-2.9808,-38.7628
324,3099,Mycterosaurus,Baylor,Texas,787993,290.1,273.01,US,-2.9808,-38.7628
325,3083,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
326,3084,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
327,3085,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
328,3086,Cotylorhynchus,Knox,Texas,788180,283.5,266.9,US,0.2573,-40.5036
