Species	Status
Lystrosaurus_Temperate_S	extinct
Macromerion	extinct
Madysaurus	extinct
Malasaurus	extinct
Mandagomphodon	extinct
Martensius	extinct
Massetognathus	extinct
Mastersonia	extinct
Maubeugia	extinct
Megawhaitsia	extinct
Melanedaphodon	extinct
Menadon	extinct
Mesenosaurus_Temperate_N	extinct
Mesenosaurus_Tropical_S	extinct
Meurthodon	extinct
Microconodon	extinct
Microgomphodon	extinct
Microhelodon	extinct
Microscalenodon	extinct
Microsyodon	extinct
Microurania	extinct
Microvaranops	extinct
Microwhaitsia	extinct
Milosaurus	extinct
Minicynodon	extinct
Mirotenthes	extinct
Mitredon	extinct
Mobaceras	extinct
Moghreberia	extinct
Mojo	extinct
Molybdopygus	extinct
Morganucodon	extinct
Mormosaurus	extinct
Moschops	extinct
Moschorhinus	extinct
Moschowhaitsia	extinct
Muchia	extinct
Mucrotherium	extinct
Mupashi	extinct
Mycterosaurus	extinct
Myosauroides	extinct
Myosaurus	extinct
Nanictidops	extinct
Nanictocephalus	extinct
Nanictosaurus	extinct
Nanocynodon	extinct
Nanogomphodon	extinct
Neosaurus	extinct
Niaftasuchus	extinct
Niassodon	extinct
Nikkasaurus	extinct
Nitosaurus	extinct
Niuksenitia	extinct
Nochnitsa	extinct
Notaelurodon	extinct
Nothogomphodon	extinct
Notosyodon	extinct
Nshimbodon	extinct
Nythosaurus	extinct
Odontocyclops	extinct
Oedaleops	extinct
Oligokyphus	extinct
Olivierosuchus	extinct
Ophiacodon	extinct
Ophidostoma	extinct
Ordosiodon	extinct
Oromycter	extinct
Otsheria	extinct
Oudenodon_Temperate_S	extinct
Pachydectes	extinct
Palemydops	extinct
Pampaphoneus	extinct
Panchetocynodon	extinct
Parabradysaurus	extinct
Paraburnetia	extinct
Paragalerhinus	extinct
Parakannemeyeria_Temperate_N	extinct
Parasuminia	extinct
Paratraversodon	extinct
Pardosuchus	extinct
Pascualgnathus	extinct
Patranomodon	extinct
Pelanomodon	extinct
Pelictosuchus	extinct
Pentasauropus_Temperate_S	extinct
Pentasauropus_Tropical_N	extinct
Pentasaurus	extinct
Peramodon	extinct
