Species	Status	min_age	max_age
Edaphosaurus	extinct	298.9	303.7
Ophiacodon	extinct	283.5	290.1
Therioherpeton	extinct	208.5	237.0
Ophiacodon	extinct	290.1	298.9
Adelobasileus	extinct	208.5	227.0
Massetognathus	extinct	237.0	242.0
Ophiacodon	extinct	298.9	303.7
Edaphosaurus	extinct	286.1	298.9
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Diictodon_Temperate_S	extinct	254.14	259.51
Ischigualastia	extinct	227.0	237.0
Exaeretodon_Temperate_S	extinct	227.0	237.0
Dinodontosaurus	extinct	237.0	242.0
Jachaleria	extinct	237.0	242.0
Dinodontosaurus	extinct	237.0	242.0
Chiniquodon	extinct	237.0	242.0
Massetognathus	extinct	237.0	242.0
Probainognathus	extinct	237.0	242.0
Cotylorhynchus	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Angelosaurus	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Varanodon	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Angelosaurus	extinct	264.28	273.01
Ulemosaurus	extinct	259.51	266.9
Ulemica	extinct	259.51	266.9
Elph	extinct	256.8	264.28
Elph	extinct	256.8	264.28
Elph	extinct	256.8	264.28
Dimetrodon	extinct	290.1	293.52
Ophiacodon	extinct	290.1	293.52
Dimetrodon	extinct	290.1	293.52
Ophiacodon	extinct	290.1	293.52
Dimetrodon	extinct	290.1	293.52
Dimetrodon	extinct	290.1	293.52
Edaphosaurus	extinct	290.1	293.52
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Edaphosaurus	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Edaphosaurus	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Edaphosaurus	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Secodontosaurus	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Edaphosaurus	extinct	283.5	290.1
Varanosaurus	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Dimetrodon	extinct	283.5	290.1
Ophiacodon	extinct	283.5	290.1
Secodontosaurus	extinct	283.5	290.1
