id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
1,557171,Vancleavea,227.0,208.5,Arizona,4.0
2,812265,Vancleavea,227.0,208.5,New Mexico,4.0
3,837001,Vancleavea,227.0,208.5,Arizona,4.0
4,837005,Vancleavea,227.0,208.5,Utah,4.0
5,837007,Vancleavea,227.0,208.5,Arizona,4.0
6,837008,Vancleavea,227.0,208.5,Arizona,4.0
7,837009,Vancleavea,227.0,208.5,Arizona,4.0
8,837011,Vancleavea,227.0,208.5,Arizona,4.0
9,837012,Vancleavea,227.0,208.5,Arizona,4.0
10,837089,Vancleavea,227.0,208.5,Arizona,4.0
11,837171,Vancleavea,227.0,208.5,Arizona,4.0
12,837226,Vancleavea,227.0,208.5,Arizona,4.0
13,837372,Vancleavea,227.0,208.5,Arizona,4.0
14,837398,Vancleavea,227.0,208.5,Arizona,4.0
15,843204,Vancleavea,227.0,208.5,New Mexico,4.0
16,843218,Vancleavea,227.0,208.5,New Mexico,4.0
17,1578941,Vancleavea,227.0,208.5,Arizona,4.0
18,1579640,Vancleavea,227.0,208.5,New Mexico,4.0
19,1581452,Vancleavea,227.0,208.5,Arizona,4.0
20,1589319,Vancleavea,227.0,208.5,New Mexico,4.0
21,1418484,Vancleavea,237.0,227.0,Texas,4.0
22,521673,Vancleavea,208.5,201.4,New Mexico,4.0
23,521673,Vancleavea,208.5,201.4,New Mexico,4.0
24,521673,Vancleavea,208.5,201.4,New Mexico,4.0
25,837010,Vancleavea,208.5,201.4,Arizona,4.0
26,830855,Hypuronector,227.0,208.5,New Jersey,4.0
27,830859,Hypuronector,227.0,208.5,New Jersey,4.0
28,283819,Arcticodactylus,227.0,208.5,East Greenland,4.0
29,777702,Preondactylus,216.7,208.5,Friuli-Venezia Giulia,3.0
30,841811,Austriadactylus,216.7,208.5,Friuli-Venezia Giulia,3.0
31,146084,Icarosaurus,227.0,208.5,New Jersey,4.0
32,146085,Rutiodon,227.0,208.5,New Jersey,4.0
33,149845,Trilophosaurus,227.0,208.5,Texas,4.0
34,149917,Postosuchus,227.0,208.5,Texas,4.0
35,149917,Postosuchus,227.0,208.5,Texas,4.0
36,149918,Desmatosuchus,227.0,208.5,Texas,4.0
37,149919,Trilophosaurus,227.0,208.5,Texas,4.0
38,149988,Efraasia,227.0,208.5,Baden-Württemberg,3.0
39,220070,Plateosaurus,227.0,208.5,Aargau,3.0
40,220071,Aetosaurus,227.0,208.5,Aargau,3.0
41,220072,Saltoposuchus,227.0,208.5,Aargau,3.0
42,220073,Liliensternus,227.0,208.5,Aargau,3.0
43,220082,Plateosaurus,227.0,208.5,Baden-Württemberg,3.0
44,220082,Plateosaurus,227.0,208.5,Baden-Württemberg,3.0
45,220083,Proganochelys,227.0,208.5,Baden-Württemberg,3.0
46,220083,Proganochelys,227.0,208.5,Baden-Württemberg,3.0
47,220083,Proganochelys,227.0,208.5,Baden-Württemberg,3.0
48,220084,Liliensternus,227.0,208.5,Baden-Württemberg,3.0
49,283826,Aetosaurus,227.0,208.5,,4.0
50,283826,Aetosaurus,227.0,208.5,,4.0
51,283828,Plateosaurus,227.0,208.5,,4.0
52,283860,Issi,227.0,208.5,,4.0
53,360364,Zupaysaurus,227.0,208.5,La Rioja,1.0
54,385301,Melanorosaurus,227.0,208.5,Eastern Cape,1.0
55,385607,Plateosauravus,227.0,208.5,Eastern Cape,1.0
56,385607,Plateosauravus,227.0,208.5,Eastern Cape,1.0
57,385607,Plateosauravus,227.0,208.5,Eastern Cape,1.0
58,385607,Plateosauravus,227.0,208.5,Eastern Cape,1.0
59,406864,Desmatosuchus,227.0,208.5,Arizona,4.0
60,406867,Smilosuchus,227.0,208.5,Arizona,4.0
61,406869,Postosuchus,227.0,208.5,Arizona,4.0
62,406872,Camposaurus,227.0,208.5,Arizona,4.0
63,406876,Calyptosuchus,227.0,208.5,Arizona,4.0
64,407766,Tanytrachelos,227.0,208.5,Arizona,4.0
65,407767,Smilosuchus,227.0,208.5,Arizona,4.0
66,407768,Parasuchus,227.0,208.5,Arizona,4.0
67,407776,Acaenasuchus,227.0,208.5,Arizona,4.0
68,423245,Poposaurus,227.0,208.5,Arizona,4.0
69,423280,Shuvosaurus,227.0,208.5,Arizona,4.0
70,423281,Poposaurus,227.0,208.5,Arizona,4.0
71,423285,Trilophosaurus,227.0,208.5,Arizona,4.0
72,423286,Trilophosaurus,227.0,208.5,Arizona,4.0
73,423288,Tanytrachelos,227.0,208.5,Arizona,4.0
74,461293,Unaysaurus,227.0,208.5,Rio Grande do Sul,1.0
75,475078,Machaeroprosopus,227.0,208.5,New Mexico,4.0
76,475079,Machaeroprosopus,227.0,208.5,New Mexico,4.0
77,475081,Typothorax,227.0,208.5,New Mexico,4.0
78,479381,Teratosaurus,227.0,208.5,Baden-Wurttemberg,3.0
79,479563,Plateosaurus,227.0,208.5,Schaffhausen,3.0
80,483859,Typothorax,227.0,208.5,Arizona,4.0
81,483884,Trilophosaurus,227.0,208.5,Texas,4.0
82,484673,Revueltosaurus,227.0,208.5,New Mexico,4.0
83,484986,Chindesaurus,227.0,208.5,Arizona,4.0
84,484986,Chindesaurus,227.0,208.5,Arizona,4.0
85,484987,Shuvosaurus,227.0,208.5,Arizona,4.0
86,486103,Plateosaurus,227.0,208.5,Jura,3.0
87,486104,Plateosaurus,227.0,208.5,Jura,3.0
88,486145,Plateosaurus,227.0,208.5,Jura,3.0
89,486146,Gresslyosaurus,227.0,208.5,Jura,3.0
90,486393,Plateosaurus,227.0,208.5,Bayern,3.0
91,486395,Liliensternus,227.0,208.5,Bayern,3.0
92,486405,Plateosaurus,227.0,208.5,Baden-Württemberg,3.0
93,486408,Gresslyosaurus,227.0,208.5,Baden-Württemberg,3.0
94,486412,Ruehleia,227.0,208.5,Thuringia,3.0
95,486412,Ruehleia,227.0,208.5,Thuringia,3.0
96,486413,Liliensternus,227.0,208.5,Thuringia,3.0
97,486413,Liliensternus,227.0,208.5,Thuringia,3.0
98,490747,Gojirasaurus,227.0,208.5,New Mexico,4.0
99,490749,Machaeroprosopus,227.0,208.5,New Mexico,4.0
100,490750,Rutiodon,227.0,208.5,New Mexico,4.0
101,490751,Rioarribasuchus,227.0,208.5,New Mexico,4.0
102,490752,Shuvosaurus,227.0,208.5,New Mexico,4.0
103,490754,Shuvosaurus,227.0,208.5,New Mexico,4.0
104,490757,Typothorax,227.0,208.5,Arizona,4.0
105,490758,Hesperosuchus,227.0,208.5,Arizona,4.0
106,490763,Machaeroprosopus,227.0,208.5,Arizona,4.0
107,490769,Revueltosaurus,227.0,208.5,Arizona,4.0
108,504257,Eudimorphodon,227.0,208.5,Schaffhausen,3.0
109,513572,Coloradisaurus,227.0,208.5,La Rioja,1.0
110,513603,Riojasaurus,227.0,208.5,La Rioja,1.0
111,517573,Coelophysis,227.0,208.5,New Mexico,4.0
112,517577,Revueltosaurus,227.0,208.5,Arizona,4.0
113,517578,Typothorax,227.0,208.5,Arizona,4.0
114,517585,Smilosuchus,227.0,208.5,Arizona,4.0
115,517592,Krzyzanowskisaurus,227.0,208.5,Arizona,4.0
116,517595,Calyptosuchus,227.0,208.5,Arizona,4.0
117,517597,Leptosuchus,227.0,208.5,Arizona,4.0
118,517601,Scutarx,227.0,208.5,Arizona,4.0
119,517603,Leptosuchus,227.0,208.5,Arizona,4.0
120,517609,Acaenasuchus,227.0,208.5,Arizona,4.0
121,517610,Leptosuchus,227.0,208.5,Arizona,4.0
122,517611,Revueltosaurus,227.0,208.5,Arizona,4.0
123,517612,Typothorax,227.0,208.5,New Mexico,4.0
124,517613,Paratypothorax,227.0,208.5,New Mexico,4.0
125,517621,Coelophysis,227.0,208.5,New Mexico,4.0
126,517622,Coelophysis,227.0,208.5,New Mexico,4.0
127,521669,Revueltosaurus,227.0,208.5,Arizona,4.0
128,521669,Revueltosaurus,227.0,208.5,Arizona,4.0
