id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
3141,146084,146084,6.739012,Icarosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Jersey,Hudson,Lockatong,,Granton Quarry,"Belmont-Gurnee Quarry, North Bergen"
3142,146085,146085,6.739012,Rutiodon,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Jersey,Hudson,Lockatong,,Granton Quarry,"Belmont-Gurnee Quarry, North Bergen"
3143,149845,149845,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Crosby,Tecovas,,"NMMNH L-1430, Upper Kalgary",Dockum Formation
3144,149917,149917,-1.470099,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624"
3145,149917,149917,-1.470099,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624"
3146,149918,149918,-1.470099,Desmatosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624"
3147,149919,149919,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Garza,Cooper Canyon,,Miller's Ranch Quarry,"Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624"
3148,149988,149988,32.59323,Efraasia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Stuttgart,Löwenstein,,"Goessel Quarry 375, Ochsenbach",Goesel
3149,220070,220070,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller"
3150,220071,220071,30.98263,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller"
3151,220072,220072,30.98263,Saltoposuchus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller"
3152,220073,220073,30.98263,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Aargau,Aargau,Klettgau,,"""Gruhalde"" clay quarry, Frick (Bed 65)","ETE Locality 1555, Frick bonebed, Tonwerke Keller"
3153,220082,220082,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3154,220082,220082,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3155,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3156,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3157,220083,220083,30.98263,Proganochelys,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3158,220084,220084,30.98263,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Freiburg,Löwenstein,,Trossingen - Obere Mühle (lower),"ETE Locality 1558, Plateosaurus bonebed"
3159,283819,283819,40.08932,Arcticodactylus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,East Greenland,East Greenland,Fleming Fjord,,Macknight Bjerg Quarry,"area V,  Jameson Land"
3160,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
3161,283826,283826,40.08932,Aetosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
3162,283828,283828,40.08932,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Ørsted Dal,,western Sydkronen,"area VIII, Jameson Land"
3163,283860,283860,40.08932,Issi,227,208.5,Late Triassic,"(227.0, 208.5)",GL,,,Malmros Klint,,"Iron Cake site, northern flank of Macknight Bjerg",area V
3164,360364,360364,-50.49719,Zupaysaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,La Rioja,Los Colorados,,Quebrada de los Jachaleros,"Zupaysaurus type, La Esquina/El Salto"
3165,385301,385301,-56.03159,Melanorosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"Thaba 'Nyama, Herschel (zone A/6)","Melanorosaurus type, Black Mountain, Thabanyama-Bensonvale"
3166,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit"
3167,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit"
3168,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit"
3169,385607,385607,-56.03159,Plateosauravus,227,208.5,Late Triassic,"(227.0, 208.5)",ZA,Eastern Cape,Herschel,Elliot,,"kopje, Kromme Spruit (zone A/5)","Krommspruit, Krommespruit"
3170,404182,404182,34.92545,Placochelys,227,208.5,Late Triassic,"(227.0, 208.5)",AT,Niederösterreich,Niederösterreich,Hauptdolomit,,Mödling,"Moedling, Modling"
3171,406864,406864,1.353064,Desmatosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3172,406867,406867,1.353064,Smilosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3173,406869,406869,1.353064,Postosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3174,406872,406872,1.353064,Camposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3175,406876,406876,1.353064,Calyptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3176,407766,407766,1.353064,Tanytrachelos,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",
3177,407767,407767,1.353064,Smilosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",
3178,407768,407768,1.353064,Parasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",
3179,407776,407776,1.353064,Acaenasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",
3180,423245,423245,1.353064,Poposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Downs Quarry, MNA 207-10",
3181,423280,423280,1.353064,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3182,423281,423281,1.353064,Poposaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3183,423285,423285,1.353064,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3184,423286,423286,1.353064,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3185,423288,423288,1.353064,Tanytrachelos,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",
3186,461293,461293,-46.11636,Unaysaurus,227,208.5,Late Triassic,"(227.0, 208.5)",BR,Rio Grande do Sul,Rio Grande do Sul,Caturrita,Ictidosauria,Água Negra,Unaysaurus type site
3187,475078,475078,3.836582,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",
3188,475079,475079,3.836582,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",
3189,475081,475081,3.836582,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",
3190,479381,479381,32.59323,Teratosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Wurttemberg,Stuttgart,Löwenstein,,"Heslach quarries, Stuttgart, ""Heslacher Wand""",
3191,479563,479563,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Schaffhausen,Schaffhausen,Klettgau,,"Santierge, Schleitheim",Schleitheim-Santierge
3192,483859,483859,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Lacey Point SW1, SMU 229, PFV 27","""Dinosaur Hill"", Mesa Mound, UCMP V82242, PEFO 85106"
3193,483884,483884,-1.470099,Trilophosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Texas,Crosby,Tecovas,,"NMMNH L-1312, Lower Kalgary","Home Creek, SMU Loc. 120, Holmes Creek"
3194,484673,484673,1.357201,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"NMMNH Loc. 001, Revuelto Creek",
3195,484986,484986,1.353064,Chindesaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie"
3196,484986,484986,1.353064,Chindesaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie"
3197,484987,484987,1.353064,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie"
3198,486103,486103,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes irisées supérieures,,"Villette railroad cutting, Poligny","Arbois, Vilette"
3199,486104,486104,30.98263,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes irisées supérieures,,"Bois de Cassagne, Poligny","Dimodosaurus type, Bois de Chassagne"
3200,486145,486145,29.0864,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes de Châlins,,Le Fechaux,"Lons-le-Saunier, Le Feschaux"
3201,486146,486146,29.0864,Gresslyosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",FR,Jura,Franche-Comte,Marnes de Châlins,,Le Fechaux,"Lons-le-Saunier, Le Feschaux"
3202,486393,486393,34.47747,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Bayern,Bayern,Trossingen,,"Heroldsberg, Feuerletten","Plateosaurus type site, Nürnberg"
3203,486395,486395,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Bayern,Bayern,Trossingen,,"Heroldsberg, Feuerletten","Plateosaurus type site, Nürnberg"
3204,486405,486405,32.59323,Plateosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Baden-Württemberg,Trossingen,,"Bl. 7220, Degerloch",
3205,486408,486408,32.59323,Gresslyosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Baden-Württemberg,Baden-Württemberg,Trossingen,,"Degerloch, Stuttgart",
3206,486412,486412,34.47747,Ruehleia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg
3207,486412,486412,34.47747,Ruehleia,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg
3208,486413,486413,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg
3209,486413,486413,34.47747,Liliensternus,227,208.5,Late Triassic,"(227.0, 208.5)",DE,Thuringia,Thuringia,Trossingen,,"Grossen Gleichberg, Römhild",Grossen-Gleichberg
3210,490747,490747,1.357201,Gojirasaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3211,490749,490749,1.357201,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3212,490750,490750,1.357201,Rutiodon,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3213,490751,490751,1.357201,Rioarribasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3214,490752,490752,1.357201,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3215,490754,490754,1.357201,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",
3216,490757,490757,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119"
3217,490758,490758,1.353064,Hesperosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119"
3218,490763,490763,1.353064,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119"
3219,490769,490769,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119"
3220,504257,504257,30.98263,Eudimorphodon,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Schaffhausen,Schaffhausen,Klettgau,,"Breitelen, Hallau layers d & e","Unter-Hallau, Hallau-Bratelen; Hallau Bratelen"
3221,513572,513572,-50.49719,Coloradisaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,General Lavalle,Los Colorados,,E of Cerro Rajado,Coloradisaurus holotype
3222,513603,513603,-50.49719,Riojasaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,General Lavalle,Los Colorados,,"ruta 26, Los Colorados",La Esquina
3223,517573,517573,1.357201,Coelophysis,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,Arroyo Seco 1,"Coelophysis type site, Cope"
3224,517577,517577,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119"
3225,517578,517578,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie"
