id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
4546,1572197,Incertovenator,237.0,227.0,San Juan,1
4550,1583925,Taytalura,237.0,227.0,San Juan,1
6091,149866,Lewisuchus,242.0,237.0,La Rioja,1
6092,149867,Lagerpeton,242.0,237.0,La Rioja,1
6093,272321,Luperosuchus,242.0,237.0,La Rioja,1
6094,272322,Lagerpeton,242.0,237.0,La Rioja,1
6095,272323,Chanaresuchus,242.0,237.0,La Rioja,1
6096,272324,Gualosuchus,242.0,237.0,La Rioja,1
6097,272325,Gracilisuchus,242.0,237.0,La Rioja,1
6098,272327,Marasuchus,242.0,237.0,La Rioja,1
6099,272328,Lewisuchus,242.0,237.0,La Rioja,1
6100,272329,Tropidosuchus,242.0,237.0,La Rioja,1
6101,272330,Tarjadia,242.0,237.0,La Rioja,1
6104,573788,Gracilisuchus,242.0,237.0,La Rioja,1
6105,573792,Luperosuchus,242.0,237.0,La Rioja,1
6106,573793,Lagerpeton,242.0,237.0,La Rioja,1
6107,573794,Chanaresuchus,242.0,237.0,La Rioja,1
6108,573795,Gualosuchus,242.0,237.0,La Rioja,1
6136,922174,Tropidosuchus,242.0,237.0,La Rioja,1
6137,922175,Marasuchus,242.0,237.0,La Rioja,1
6138,922176,Luperosuchus,242.0,237.0,La Rioja,1
6139,922177,Tarjadia,242.0,237.0,La Rioja,1
6140,922178,Tarjadia,242.0,237.0,La Rioja,1
6141,922179,Tarjadia,242.0,237.0,La Rioja,1
6143,923804,Lewisuchus,242.0,237.0,La Rioja,1
6144,923804,Lewisuchus,242.0,237.0,La Rioja,1
6145,923804,Lewisuchus,242.0,237.0,La Rioja,1
6146,923807,Lagerpeton,242.0,237.0,La Rioja,1
6147,923807,Lagerpeton,242.0,237.0,La Rioja,1
6148,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6149,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6150,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6151,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6152,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6153,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6154,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6299,1565299,Chanaresuchus,242.0,237.0,La Rioja,1
6313,N522,Elorhynchus,242.0,237.0,Cordoba,1
6314,N524,Koilamasuchus,242.0,237.0,Mendoza,1
3170,404182,Placochelys,227.0,208.5,Niederösterreich,3
3742,882293,Mystriosuchus,227.0,208.5,Styria,3
3743,882293,Mystriosuchus,227.0,208.5,Styria,3
3744,882293,Mystriosuchus,227.0,208.5,Styria,3
5276,1419207,Psephoderma,208.5,201.4,Kössen,3
5652,882303,Dolerosaurus,233.4,227.0,Niederösterreich,3
5986,1094707,Cymatosaurus,246.7,242.0,Arlberg,3
6294,1432005,Partanosaurus,242.0,237.0,Vorarlberg,3
6475,635142,Austriadactylus,213.2,208.5,Tyrol,3
6476,777000,Austriadraco,213.2,208.5,Tirol,3
6479,1418498,Langobardisaurus,213.2,208.5,Tirol,3
6702,1415012,Lariosaurus,239.7,237.0,Karnten,3
6703,1415013,Neusticosaurus,239.7,237.0,Karnten,3
7097,790404,Kadimakara,251.902,251.2,Queensland,1
7098,790404,Kadimakara,251.902,251.2,Queensland,1
7099,790405,Kudnu,251.902,251.2,Queensland,1
7100,790405,Kudnu,251.902,251.2,Queensland,1
7117,979958,Tasmaniosaurus,251.902,251.2,Tasmania,1
7118,979962,Tasmaniosaurus,251.902,251.2,Queensland,1
7119,979963,Kalisuchus,251.902,251.2,Queensland,1
7122,1087072,Eomurruna,251.902,251.2,Queensland,1
7127,1534873,Eomurruna,251.902,251.2,Queensland,1
4278,1134406,Tholodus,246.7,237.0,Vares,1
5230,1101333,Ichthyosaurus,208.5,201.4,Gaume,3
5231,1101354,Plesiosaurus,208.5,201.4,Gaume,3
5232,1101373,Ichthyosaurus,208.5,201.4,Gaume,3
5233,1101374,Plesiosaurus,208.5,201.4,Gaume,3
5257,1313178,Diphydontosaurus,208.5,201.4,Gaume,3
5268,1391294,Clevosaurus,208.5,201.4,Gaume,3
4274,1094847,Nothosaurus,246.7,237.0,Belgium,3
3186,461293,Unaysaurus,227.0,208.5,Rio Grande do Sul,1
3257,536062,Sacisaurus,227.0,208.5,Rio Grande do Sul,1
3258,536068,Guaibasaurus,227.0,208.5,Rio Grande do Sul,1
3259,536068,Guaibasaurus,227.0,208.5,Rio Grande do Sul,1
3348,668537,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3405,811795,Soturnia,227.0,208.5,Rio Grande do Sul,1
3406,811795,Soturnia,227.0,208.5,Rio Grande do Sul,1
3407,811795,Soturnia,227.0,208.5,Rio Grande do Sul,1
3408,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3409,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3410,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3411,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3412,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3413,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3414,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3415,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3416,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3417,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3418,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3419,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3420,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3421,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3422,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3423,811801,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3748,897618,Guaibasaurus,227.0,208.5,Rio Grande do Sul,1
3751,908524,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3752,908524,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3753,908525,Hyperodapedon,227.0,208.5,Rio Grande do Sul,1
3754,908533,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3755,908533,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3756,908533,Teyumbaita,227.0,208.5,Rio Grande do Sul,1
3758,923080,Clevosaurus,227.0,208.5,Rio Grande do Sul,1
3784,930806,Faxinalipterus,227.0,208.5,Rio Grande do Sul,1
3785,930806,Faxinalipterus,227.0,208.5,Rio Grande do Sul,1
3786,930809,Cargninia,227.0,208.5,Rio Grande do Sul,1
3889,1423604,Macrocollum,227.0,208.5,Rio Grande do Sul,1
3893,1456852,Nhandumirim,227.0,208.5,Rio Grande do Sul,1
3898,1499983,Lanceirosphenodon,227.0,208.5,Rio Grande do Sul,1
3934,1578530,Guaibasaurus,227.0,208.5,Rio Grande do Sul,1
3935,1578530,Guaibasaurus,227.0,208.5,Rio Grande do Sul,1
3988,1593261,Maehary,227.0,208.5,Rio Grande do Sul,1
3990,1598305,Microsphenodon,227.0,208.5,Rio Grande do Sul,1
4000,1637389,Macrocollum,227.0,208.5,Rio Grande do Sul,1
4003,N1,Aetosauroides,227.0,208.5,RS,1
4004,N2,Aetosauroides,227.0,208.5,RS,1
4005,N3,Aetosauroides,227.0,208.5,RS,1
4006,N4,Aetosauroides,227.0,208.5,RS,1
4007,N9,Amanasaurus,227.0,208.5,RS,1
4008,N10,Amanasaurus,227.0,208.5,RS,1
4009,N31,Buriolestes,227.0,208.5,RS,1
4010,N32,Buriolestes,227.0,208.5,RS,1
4011,N33,Buriolestes,227.0,208.5,RS,1
4012,N34,Buriolestes,227.0,208.5,RS,1
4013,N38,Clevosaurus,227.0,208.5,RS,1
4014,N39,Clevosaurus,227.0,208.5,RS,1
4015,N40,Clevosaurus,227.0,208.5,RS,1
4016,N41,Clevosaurus,227.0,208.5,RS,1
4017,N42,Clevosaurus,227.0,208.5,RS,1
4018,N43,Clevosaurus,227.0,208.5,RS,1
4019,N44,Clevosaurus,227.0,208.5,RS,1
4020,N45,Clevosaurus,227.0,208.5,RS,1
4022,N246,Gnathovorax,227.0,208.5,RS,1
4023,N247,Guaibasaurus,227.0,208.5,RS,1
4024,N248,Guaibasaurus,227.0,208.5,RS,1
4025,N249,Hyperodapedon,227.0,208.5,RS,1
4026,N250,Hyperodapedon,227.0,208.5,RS,1
4027,N251,Hyperodapedon,227.0,208.5,RS,1
4028,N252,Hyperodapedon,227.0,208.5,RS,1
4029,N253,Hyperodapedon,227.0,208.5,RS,1
4030,N254,Hyperodapedon,227.0,208.5,RS,1
4031,N255,Hyperodapedon,227.0,208.5,RS,1
4032,N256,Hyperodapedon,227.0,208.5,RS,1
4033,N257,Hyperodapedon,227.0,208.5,RS,1
4034,N258,Hyperodapedon,227.0,208.5,RS,1
4035,N259,Hyperodapedon,227.0,208.5,RS,1
4036,N260,Hyperodapedon,227.0,208.5,RS,1
4037,N261,Hyperodapedon,227.0,208.5,RS,1
4038,N262,Hyperodapedon,227.0,208.5,RS,1
4039,N263,Hyperodapedon,227.0,208.5,RS,1
4040,N264,Hyperodapedon,227.0,208.5,RS,1
4041,N265,Hyperodapedon,227.0,208.5,RS,1
4042,N266,Hyperodapedon,227.0,208.5,RS,1
4043,N267,Hyperodapedon,227.0,208.5,RS,1
4044,N268,Hyperodapedon,227.0,208.5,RS,1
4045,N269,Hyperodapedon,227.0,208.5,RS,1
4046,N270,Hyperodapedon,227.0,208.5,RS,1
4047,N271,Hyperodapedon,227.0,208.5,RS,1
4048,N272,Hyperodapedon,227.0,208.5,RS,1
4049,N273,Hyperodapedon,227.0,208.5,RS,1
4050,N274,Hyperodapedon,227.0,208.5,RS,1
4051,N275,Hyperodapedon,227.0,208.5,RS,1
4052,N276,Hyperodapedon,227.0,208.5,RS,1
4053,N277,Hyperodapedon,227.0,208.5,RS,1
4054,N278,Hyperodapedon,227.0,208.5,RS,1
4055,N279,Hyperodapedon,227.0,208.5,RS,1
4056,N280,Hyperodapedon,227.0,208.5,RS,1
4057,N281,Hyperodapedon,227.0,208.5,RS,1
4058,N282,Hyperodapedon,227.0,208.5,RS,1
4059,N283,Hyperodapedon,227.0,208.5,RS,1
4060,N284,Hyperodapedon,227.0,208.5,RS,1
4061,N285,Hyperodapedon,227.0,208.5,RS,1
4062,N286,Hyperodapedon,227.0,208.5,RS,1
4063,N287,Hyperodapedon,227.0,208.5,RS,1
4064,N288,Hyperodapedon,227.0,208.5,RS,1
4065,N289,Hyperodapedon,227.0,208.5,RS,1
4066,N290,Hyperodapedon,227.0,208.5,RS,1
4067,N291,Hyperodapedon,227.0,208.5,RS,1
4068,N292,Hyperodapedon,227.0,208.5,RS,1
4069,N293,Hyperodapedon,227.0,208.5,RS,1
4070,N294,Hyperodapedon,227.0,208.5,RS,1
4071,N295,Hyperodapedon,227.0,208.5,RS,1
4072,N296,Hyperodapedon,227.0,208.5,RS,1
4073,N297,Hyperodapedon,227.0,208.5,RS,1
4074,N298,Hyperodapedon,227.0,208.5,RS,1
4075,N299,Hyperodapedon,227.0,208.5,RS,1
4076,N300,Hyperodapedon,227.0,208.5,RS,1
4077,N301,Hyperodapedon,227.0,208.5,RS,1
4078,N302,Hyperodapedon,227.0,208.5,RS,1
4079,N303,Hyperodapedon,227.0,208.5,RS,1
4080,N304,Hyperodapedon,227.0,208.5,RS,1
4081,N305,Hyperodapedon,227.0,208.5,RS,1
4082,N306,Hyperodapedon,227.0,208.5,RS,1
4083,N307,Hyperodapedon,227.0,208.5,RS,1
4084,N308,Hyperodapedon,227.0,208.5,RS,1
4085,N309,Hyperodapedon,227.0,208.5,RS,1
4086,N310,Hyperodapedon,227.0,208.5,RS,1
4087,N311,Hyperodapedon,227.0,208.5,RS,1
4088,N312,Hyperodapedon,227.0,208.5,RS,1
4089,N313,Hyperodapedon,227.0,208.5,RS,1
4090,N314,Hyperodapedon,227.0,208.5,RS,1
4092,N318,Ixalerpeton,227.0,208.5,RS,1
4112,N350,Macrocollum,227.0,208.5,RS,1
4113,N351,Maehary,227.0,208.5,RS,1
4114,N362,Microsphenodon,227.0,208.5,RS,1
