genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Abyssomedon	-0.298764409	0	1	0	0
Acadiella	-0.298764409	0	1	0	0
Acaenasuchus	-0.298764409	0	1	0	0
Acallosuchus	-0.298764409	0	1	0	0
Acerosodontosaurus	-0.298764409	0	0	1	0
Acleistorhinus	-0.298764409	0	1	0	0
Acrodenta	-0.298764409	0	1	0	0
Actiosaurus	-0.298764409	1	0	0	0
Adamanasuchus	-0.298764409	0	1	0	0
Adelosaurus	-0.298764409	1	0	0	0
Aenigmasaurus	-0.298764409	0	0	1	0
Aenigmaspina	-0.298764409	1	0	0	0
Aenigmastropheus	-0.298764409	0	0	1	0
Aetobarbakinoides	-0.298764409	0	0	1	0
Aetosauroides	0.136824844	0	0	1	0
Aetosaurus	1.162510882	1	1	0	0
Agnosphitys	-0.298764409	1	0	0	0
Ahvaytum	-0.298764409	0	0	1	0
Alwalkeria	-0.298764409	0	0	1	0
Amanasaurus	-0.050003139	0	0	1	0
Ammorhynchus	-0.228876805	0	1	0	0
Ammosaurus	-0.298764409	1	0	0	0
Amotosaurus	0.003783601	1	1	0	0
Ancistronychus	-0.298764409	0	1	0	0
Angistorhinus	0.319827667	0	1	0	0
Anisodontosaurus	-0.228876805	0	1	0	0
Anomoepus	-0.298764409	1	0	0	0
Anomoiodon	0.777378248	1	1	0	0
Antarctanax	-0.298764409	0	0	0	1
Anthodon	0.839307093	0	0	1	0
Apachesuchus	-0.298764409	0	1	0	0
Apatopus	1.609237497	1	1	0	0
Apatosuchus	-0.298764409	1	0	0	0
Aphelosaurus	-0.298764409	0	1	0	0
Araeoscelis	-0.16587831	0	1	0	0
Archeopelta	-0.298764409	0	0	1	0
Archosaurus	-0.05317856	1	0	0	0
Arcticodactylus	-0.298764409	1	0	0	0
Arganaceras	-0.298764409	0	1	0	0
Arganasuchus	-0.298764409	0	1	0	0
Arizonasaurus	-0.180407969	0	1	0	0
Asilisaurus	-0.298764409	0	0	1	0
Asperoris	-0.298764409	0	0	1	0
Asylosaurus	-0.298764409	1	0	0	0
Augustaburiania	0.901034606	1	0	0	0
Australothyris	-0.298764409	0	0	1	0
Austriadactylus	-0.298764409	1	0	0	0
Avicranium	-0.298764409	0	1	0	0
Azendohsaurus	-0.298764409	0	1	0	0
Baeotherates	-0.298764409	0	1	0	0
Baisesaurus	-0.298764409	0	1	0	0
Barasaurus	0.463365415	0	0	1	0
Barberenasuchus	-0.298764409	0	0	1	0
Bashkyroleter	-0.245830369	1	0	0	0
Batrachopus	-0.298764409	0	1	0	0
Batrachotomus	-0.298764409	1	0	0	0
Beesiiwo	-0.298764409	0	1	0	0
Belebey	-0.07999347	1	0	0	0
Benggwigwishingasuchus	-0.298764409	0	1	0	0
Bentonyx	-0.298764409	0	1	0	0
Bergamodactylus	-0.298764409	0	1	0	0
Blikanasaurus	-0.298764409	0	0	1	0
Blomosaurus	-0.298764409	1	0	0	0
Bolosaurus	-0.132159747	0	1	0	0
Boreopricea	-0.298764409	1	0	0	0
Bradysaurus	-0.298764409	0	0	1	0
Brasinorhynchus	-0.298764409	0	0	1	0
Bromsgroveia	-0.21337224	1	1	0	0
Broomia	-0.118837969	0	0	1	0
Bunostegos	-0.298764409	0	1	0	0
Buriolestes	-0.050003139	0	0	1	0
Bystrowisuchus	-0.298764409	1	0	0	0
Calyptosuchus	-0.069635381	0	1	0	0
Camelotia	-0.157373068	1	0	0	0
Camposaurus	-0.298764409	0	1	0	0
Candelaria	-0.298764409	0	0	1	0
Captorhinikos	-0.135630711	0	1	0	0
Captorhinoides	-0.298764409	0	1	0	0
Captorhinus	3.350764608	0	1	1	0
Cargninia	-0.298764409	0	0	1	0
Carnufex	-0.298764409	0	1	0	0
Cartorhynchus	-0.298764409	1	0	0	0
Caseosaurus	-0.298764409	0	1	0	0
Chalishevia	-0.298764409	1	0	0	0
Chanaresuchus	-0.298764409	0	0	1	0
Chasmatosuchus	-0.009348873	1	0	0	0
Chindesaurus	-0.114936569	0	1	0	0
Chinshakiangosaurus	-0.298764409	1	0	0	0
Chirotherium	-0.298764409	1	0	0	0
Chromogisaurus	-0.298764409	0	0	1	0
Cladeiodon	-0.298764409	1	0	0	0
Claudiosaurus	-0.298764409	0	0	1	0
Clevosaurus	7.222935173	1	0	1	0
Coahomasuchus	-0.228172802	0	1	0	0
Coartaredens	-0.298764409	0	1	0	0
Coburgosuchus	-0.298764409	1	0	0	0
Coelodontognathus	-0.298764409	1	0	0	0
Coelophysis	1.291275225	0	1	0	0
Coelurosauravus	5.4545027	1	0	1	0
Coletta	-0.298764409	0	0	1	0
Collilongus	-0.298764409	1	0	0	0
Colobomycter	-0.298764409	0	1	0	0
Colobops	-0.298764409	0	1	0	0
Coloradisaurus	-0.298764409	0	0	1	0
Coloradisuchus	-0.298764409	0	0	1	0
Cornualbus	-0.298764409	0	0	1	0
Cosesaurus	-0.298764409	0	1	0	0
Crosbysaurus	-0.089409962	0	1	0	0
Ctenosauriscus	-0.298764409	1	0	0	0
Czatkowiella	-0.298764409	1	0	0	0
Daemonosaurus	-0.298764409	0	1	0	0
Dagasuchus	-0.298764409	0	0	1	0
Decuriasuchus	-0.178720185	0	0	1	0
Delorhynchus	-0.298764409	0	1	0	0
Deltadectes	0.192921722	1	0	0	0
Deltavjatia	-0.298764409	1	0	0	0
Desmatosuchus	0.529101952	0	1	0	0
Diandongosuchus	-0.298764409	0	1	0	0
Dimetropus	-0.298764409	0	1	0	0
Dimorphodon	-0.298764409	1	0	0	0
Diphydontosaurus	2.588478974	1	1	0	0
Dolabrosaurus	-0.298764409	0	1	0	0
Dolerosaurus	-0.298764409	1	0	0	0
Dolichobrachium	-0.298764409	0	1	0	0
Dongusuchus	-0.155217631	1	0	0	0
Dorosuchus	-0.298764409	1	0	0	0
Doswellia	0.094788566	0	1	0	0
Dracoraptor	-0.298764409	1	0	0	0
Drepanosaurus	1.854701363	1	1	0	0
Dromomeron	4.064151651	0	1	1	0
Dynamosuchus	-0.298764409	0	0	1	0
Dyoplax	-0.298764409	1	0	0	0
Ebrachosuchus	-0.298764409	1	0	0	0
Effigia	-0.298764409	0	1	0	0
Efraasia	-0.298764409	1	0	0	0
Eifelosaurus	-0.298764409	1	0	0	0
Elachistosuchus	-0.298764409	1	0	0	0
Elessaurus	-0.298764409	0	0	1	0
Elginia	0.494886461	1	0	0	0
Elorhynchus	-0.298764409	0	0	1	0
Embrithosaurus	-0.298764409	0	0	1	0
Emeroleter	-0.298764409	1	0	0	0
Energosuchus	-0.298764409	1	0	0	0
Eodromaeus	-0.298764409	0	0	1	0
Eohupehsuchus	-0.298764409	0	1	0	0
Eohyosaurus	-0.298764409	0	0	1	0
Eomurruna	-0.160884535	0	0	1	0
Eoraptor	-0.298764409	0	0	1	0
Eorasaurus	-0.298764409	1	0	0	0
Eorhynchochelys	-0.298764409	1	0	0	0
Eretmorhipis	-0.298764409	0	1	0	0
Erpetosuchus	-0.298764409	0	1	0	0
Erythrosuchus	-0.153717263	0	0	1	0
Erythrovenator	-0.298764409	0	0	1	0
Eshanosaurus	-0.298764409	1	0	0	0
Eucoelophysis	0.070924947	0	1	0	0
Eudibamus	-0.298764409	0	1	0	0
Eudimorphodon	1.103946946	1	1	0	0
Eumetabolodon	-0.081946835	1	0	0	0
Eunotosaurus	0.001503812	0	0	1	0
Euparkeria	-0.298764409	0	0	1	0
Eusaurosphargis	0.154978036	1	1	0	0
Euscolosuchus	-0.298764409	0	1	0	0
Fasolasuchus	-0.298764409	0	0	1	0
Faxinalipterus	-0.298764409	0	0	1	0
Feeserpeton	-0.298764409	0	1	0	0
Feralisaurus	-0.298764409	0	1	0	0
Fodonyx	-0.298764409	0	1	0	0
Fraserosphenodon	1.657277615	1	1	0	0
Fraxinisaura	-0.298764409	1	0	0	0
Fugusuchus	-0.298764409	1	0	0	0
Fuyuansaurus	-0.298764409	0	1	0	0
Galesphyrus	-0.084876512	0	0	1	0
Gamatavus	-0.298764409	0	0	1	0
Gansurhinus	-0.206084317	1	0	0	0
Garjainia	7.769211892	1	0	1	0
Garzapelta	-0.298764409	0	1	0	0
Gecatogomphius	-0.298764409	1	0	0	0
