genus	lat_range	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Molybdopygus	0.0	0	1	0	0	0
Morganucodon	0.0	0	1	0	0	0
Mormosaurus	0.0	0	0	0	1	0
Moschops	1.9008499999999984	0	0	0	1	0
Moschorhinus	5.417139999999996	0	0	0	1	0
Moschowhaitsia	3.317869999999999	0	1	0	0	0
Muchia	0.0	0	1	0	0	0
Mucrotherium	0.0	0	1	0	0	0
Mupashi	0.0	0	0	0	1	0
Mycterosaurus	2.2508325	0	0	1	0	0
Myosauroides	0.0	0	0	0	1	0
Myosaurus	16.70373	0	0	0	1	1
Nanictidops	0.0	0	0	0	1	0
Nanictocephalus	0.0	0	0	0	1	0
Nanictosaurus	2.3086899999999986	0	0	0	1	0
Nanocynodon	0.0	0	1	0	0	0
Nanogomphodon	0.0	0	1	0	0	0
Niaftasuchus	0.0	0	1	0	0	0
Niassodon	0.0	0	0	0	1	0
Nikkasaurus	0.0	0	1	0	0	0
Niuksenitia	0.0	0	1	0	0	0
Nochnitsa	0.0	0	1	0	0	0
Notaelurodon	0.0	0	0	0	1	0
Nothogomphodon	8.00683	0	1	0	0	0
Notictoides	0.0	0	0	0	0	1
Notosyodon	0.0	0	1	0	0	0
Nshimbodon	0.0	0	0	0	1	0
Nythosaurus	0.0	0	0	0	1	0
Odontocyclops	15.375370000000004	0	0	0	1	0
Oligokyphus	0.0	0	1	0	0	0
Olivierosuchus	1.8406500000000037	0	0	0	1	0
Ophiacodon	15.775874	0	0	1	0	0
Ophidostoma	0.0	0	0	0	1	0
Ordosiodon	0.0	0	1	0	0	0
Oromycter	0.0	0	0	1	0	0
Otsheria	0.0	0	1	0	0	0
Oudenodon	21.24566	0	0	0	1	0
Pachydectes	0.0	0	0	0	1	0
Palemydops	2.3086899999999986	0	0	0	1	0
Pampaphoneus	0.0	0	0	0	1	0
Panchetocynodon	0.0	0	0	0	1	0
Parabradysaurus	0.49587999999999965	0	1	0	0	0
Paraburnetia	0.0	0	0	0	1	0
Paragalerhinus	0.0	0	0	0	1	0
Parakannemeyeria	22.00774	0	1	0	0	0
Parasuminia	0.0	0	1	0	0	0
Paratraversodon	0.0	0	0	0	1	0
Pardosuchus	0.0	0	0	0	1	0
Pascualgnathus	0.0	0	0	0	1	0
Patranomodon	0.0	0	0	0	1	0
Pelanomodon	2.3086899999999986	0	0	0	1	0
Pelictosuchus	0.0	0	0	0	1	0
Peramodon	0.5187799999999996	0	1	0	0	0
Perplexisaurus	3.695520000000002	0	1	0	0	0
Phocosaurus	0.0	0	0	0	1	0
Phreatophasma	0.0	0	1	0	0	0
Phthinosaurus	0.5151800000000009	0	1	0	0	0
Placerias	2.1418439	0	0	1	0	0
Planitorostris	0.0	0	1	0	0	0
Platycraniellus	0.0	0	0	0	1	0
Platycyclops	0.0	0	0	0	1	0
Platypodosaurus	2.319659999999999	0	0	0	1	0
Polonodon	0.0	0	1	0	0	0
Polycynodon	0.0	0	0	0	1	0
Porosteognathus	0.5649700000000024	0	1	0	0	0
Pravoslavlevia	0.0	0	1	0	0	0
Pristerodon	20.922310000000003	0	0	0	1	0
Pristerognathoides	0.0	0	0	0	1	0
Pristerognathus	0.0	0	0	0	1	0
Pristerosaurus	0.0	0	0	0	1	0
Probainognathus	0.503619999999998	0	0	0	1	0
Proburnetia	0.0	0	1	0	0	0
Procynosuchus	102.70084	0	1	0	1	0
Prodicynodon	2.3086899999999986	0	0	0	1	0
Progalesaurus	0.0	0	0	0	1	0
Promoschorhynchus	1.794470000000004	0	0	0	1	0
Protheriodon	0.0	0	0	0	1	0
Protuberum	0.0	0	0	0	1	0
Prozostrodon	0.0	0	0	0	1	0
Pseudotherium	0.0	0	0	0	1	0
Pseudotriconodon	37.940918999999994	0	1	1	0	0
Ptomalestes	0.0	0	0	0	1	0
Purlovia	3.317869999999999	0	1	0	0	0
Putillosaurus	0.0	0	1	0	0	0
Pyozia	0.0	0	1	0	0	0
Rabidosaurus	1.9393200000000022	0	1	0	0	0
Raranimus	0.0	0	1	0	0	0
Rastodon	0.0	0	0	0	1	0
Rechnisaurus	6.733229999999999	0	0	0	1	0
Redondagnathus	0.0	0	0	1	0	0
