genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Claudiosaurus	-0.3368251980293161	0	0	0	1	0
Clevosaurus	7.312826904844529	0	1	0	1	0
Coahomasuchus	-0.26503274881776273	0	0	1	0	0
Coartaredens	-0.3368251980293161	0	0	1	0	0
Coburgosuchus	-0.3368251980293161	0	1	0	0	0
Coelodontognathus	-0.3368251980293161	0	1	0	0	0
Coelophysis	1.2802627887497342	0	0	1	0	0
Coelurosauravus	5.514311418710368	0	1	0	1	0
Coletta	-0.3368251980293161	0	0	0	1	0
Collilongus	-0.3368251980293161	0	1	0	0	0
Colobomycter	-0.3368251980293161	0	0	1	0	0
Colobops	-0.3368251980293161	0	0	1	0	0
Coloradisaurus	-0.3368251980293161	0	0	0	1	0
Coloradisuchus	-0.3368251980293161	0	0	0	1	0
Concavispina	-0.3368251980293161	0	1	0	0	0
Contectopalatus	-0.3368251980293161	0	0	1	0	0
Cornualbus	-0.3368251980293161	0	0	0	1	0
Corosaurus	-0.3368251980293161	0	0	1	0	0
Cosesaurus	-0.3368251980293161	0	0	1	0	0
Crosbysaurus	-0.12390939737759665	0	0	1	0	0
Ctenosauriscus	-0.3368251980293161	0	1	0	0	0
Cyamodus	0.9376548614194123	0	1	1	0	0
Cymatosaurus	0.18015439569605113	0	1	1	0	0
Cymbospondylus	2.016869843801668	0	1	1	0	0
Czatkowiella	-0.3368251980293161	0	1	0	0	0
Dactylosaurus	-0.14912935177618453	0	1	0	0	0
Daemonosaurus	-0.3368251980293161	0	0	1	0	0
Dagasuchus	-0.3368251980293161	0	0	0	1	0
Dawazisaurus	-0.3368251980293161	0	0	1	0	0
Decuriasuchus	-0.21473888740697156	0	0	0	1	0
Delorhynchus	-0.3368251980293161	0	0	1	0	0
Deltadectes	0.16322506384510843	0	1	0	0	0
Deltavjatia	-0.3368251980293161	0	1	0	0	0
Desmatosuchus	0.505124095635209	0	0	1	0	0
Diandongosaurus	-0.3368251980293161	0	0	1	0	0
Diandongosuchus	-0.3368251980293161	0	0	1	0	0
Dianmeisaurus	-0.3368251980293161	0	0	1	0	0
Dianopachysaurus	-0.3368251980293161	0	0	1	0	0
Dimetropus	-0.3368251980293161	0	0	1	0	0
Dimorphodon	-0.3368251980293161	0	1	0	0	0
Dinocephalosaurus	-0.3368251980293161	0	0	1	0	0
Diphydontosaurus	2.5995334233743748	0	1	1	0	0
Dolabrosaurus	-0.3368251980293161	0	0	1	0	0
Dolerosaurus	-0.3368251980293161	0	1	0	0	0
Dolichobrachium	-0.3368251980293161	0	0	1	0	0
Doliovertebra	-0.3368251980293161	0	1	0	0	0
Dongusuchus	-0.19083652870133153	0	1	0	0	0
Dorosuchus	-0.3368251980293161	0	1	0	0	0
Doswellia	0.06342255368158475	0	0	1	0	0
Dracoraptor	-0.3368251980293161	0	1	0	0	0
Drepanosaurus	1.85327343478495	0	1	1	0	0
Dromomeron	4.100308943423505	0	0	1	1	0
Dynamosuchus	-0.3368251980293161	0	0	0	1	0
Dyoplax	-0.3368251980293161	0	1	0	0	0
Ebrachosuchus	-0.3368251980293161	0	1	0	0	0
Effigia	-0.3368251980293161	0	0	1	0	0
Efraasia	-0.3368251980293161	0	1	0	0	0
Eifelosaurus	-0.3368251980293161	0	1	0	0	0
Elachistosuchus	-0.3368251980293161	0	1	0	0	0
Elessaurus	-0.3368251980293161	0	0	0	1	0
Elginia	0.4703265612550142	0	1	0	0	0
Elorhynchus	-0.3368251980293161	0	0	0	1	0
Embrithosaurus	-0.3368251980293161	0	0	0	1	0
Emeroleter	-0.3368251980293161	0	1	0	0	0
Endennasaurus	-0.3368251980293161	0	0	1	0	0
Energosuchus	-0.3368251980293161	0	1	0	0	0
Eodromaeus	-0.3368251980293161	0	0	0	1	0
Eohupehsuchus	-0.3368251980293161	0	0	1	0	0
