genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Czatkowiella,0.0,0,1,0,0,0
Dactylosaurus,2.493359999999999,0,1,0,0,0
Daemonosaurus,0.0,0,0,1,0,0
Dagasuchus,0.0,0,0,0,1,0
Dawazisaurus,0.0,0,0,1,0,0
Decuriasuchus,1.6218000000000004,0,0,0,1,0
Delorhynchus,0.0,0,0,1,0,0
Deltadectes,6.642690000000002,0,1,0,0,0
Deltavjatia,0.0,0,1,0,0,0
Desmatosuchus,11.184491999999999,0,0,1,0,0
Diandongosaurus,0.0,0,0,1,0,0
Diandongosuchus,0.0,0,0,1,0,0
Dianmeisaurus,0.0,0,0,1,0,0
Dianopachysaurus,0.0,0,0,1,0,0
Dimetropus,0.0,0,0,1,0,0
Dimorphodon,0.0,0,1,0,0,0
Dinocephalosaurus,0.0,0,0,1,0,0
Diphydontosaurus,39.006719,0,1,1,0,0
Dolabrosaurus,0.0,0,0,1,0,0
Dolerosaurus,0.0,0,1,0,0,0
Dolichobrachium,0.0,0,0,1,0,0
Doliovertebra,0.0,0,1,0,0,0
Dongusuchus,1.9393200000000022,0,1,0,0,0
Dorosuchus,0.0,0,1,0,0,0
Doswellia,5.316909,0,0,1,0,0
Dracoraptor,0.0,0,1,0,0,0
Drepanosaurus,29.093367999999998,0,1,1,0,0
Dromomeron,58.943087999999996,0,0,1,1,0
Dynamosuchus,0.0,0,0,0,1,0
Dyoplax,0.0,0,1,0,0,0
Ebrachosuchus,0.0,0,1,0,0,0
Effigia,0.0,0,0,1,0,0
Efraasia,0.0,0,1,0,0,0
Eifelosaurus,0.0,0,1,0,0,0
Elachistosuchus,0.0,0,1,0,0,0
Elessaurus,0.0,0,0,0,1,0
Elginia,10.72224,0,1,0,0,0
Elorhynchus,0.0,0,0,0,1,0
Embrithosaurus,0.0,0,0,0,1,0
Emeroleter,0.0,0,1,0,0,0
Endennasaurus,0.0,0,0,1,0,0
Energosuchus,0.0,0,1,0,0,0
Eodromaeus,0.0,0,0,0,1,0
Eohupehsuchus,0.0,0,0,1,0,0
Eohyosaurus,0.0,0,0,0,1,0
Eomurruna,1.8627600000000015,0,0,0,1,0
Eoplesiosaurus,0.0,0,1,0,0,0
Eoraptor,0.0,0,0,0,1,0
Eorasaurus,0.0,0,1,0,0,0
Eorhynchochelys,0.0,0,1,0,0,0
Eretmorhipis,0.0,0,0,1,0,0
Erpetosuchus,0.0,0,0,1,0,0
Erythrosuchus,1.9595900000000057,0,0,0,1,0
Erythrovenator,0.0,0,0,0,1,0
Eshanosaurus,0.0,0,1,0,0,0
Eucoelophysis,4.994510999999999,0,0,1,0,0
Eudibamus,0.0,0,0,1,0,0
Eudimorphodon,18.950659999999996,0,1,1,0,0
Eumetabolodon,2.9292100000000048,0,1,0,0,0
Eunotosaurus,4.0566300000000055,0,0,0,1,0
Euparkeria,0.0,0,0,0,1,0
Eurhinosaurus,0.0,0,1,0,0,0
Eurycleidus,0.0,0,1,0,0,0
Eusaurosphargis,6.13007,0,1,1,0,0
Euscolosuchus,0.0,0,0,1,0,0
Fasolasuchus,0.0,0,0,0,1,0
