genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Tanytrachelos,5.385948,0,0,1,0,0
Tarjadia,0.0,0,0,0,1,0
Tasmaniosaurus,18.692999999999998,0,0,0,1,1
Tawa,0.0,0,0,1,0,0
Taytalura,0.0,0,0,0,1,0
Technosaurus,0.0,0,0,1,0,0
Tecovasaurus,2.823163,0,0,1,0,0
Tecovasuchus,0.0,0,0,1,0,0
Teleocrater,0.0,0,0,0,1,0
Temnodontosaurus,4.94455,0,1,0,0,0
Teraterpeton,0.0,0,0,1,0,0
Teratophon,0.0,0,0,0,1,0
Teratosaurus,78.08780999999999,0,1,0,1,0
Termatosaurus,5.347680000000004,0,1,0,0,0
Terrestrisuchus,0.0,0,1,0,0,0
Teyujagua,0.0,0,0,0,1,0
Teyumbaita,0.0,0,0,0,1,0
Thadeosaurus,0.0,0,0,0,1,0
Thaisaurus,0.0,0,0,1,0,0
Thalassiodracon,4.238639999999997,0,1,0,0,0
Thalattoarchon,0.0,0,0,1,0,0
Thalattosaurus,0.0,0,1,0,0,0
Thecodontosaurus,11.755419999999997,0,1,0,0,0
Theledectes,0.0,0,0,0,1,0
Thelephon,0.0,0,0,0,1,0
Thelerpeton,0.0,0,0,0,1,0
Tholodus,28.99326,0,1,1,0,0
Threordatoth,0.0,0,1,0,0,0
Thuringothyris,0.0,0,0,1,0,0
Tichvinskia,2.2120200000000025,0,1,0,0,0
Ticinosuchus,0.0,0,0,1,0,0
Tikisuchus,0.0,0,0,0,1,0
Timanophon,1.4599600000000024,0,1,0,0,0
Toretocnemus,0.0,0,0,1,0,0
Trachelosaurus,0.0,0,1,0,0,0
Tramuntanasaurus,0.0,0,0,0,1,0
Trialestes,0.0,0,0,0,1,0
Tricuspisaurus,0.0,0,1,0,0,0
Trilophosaurus,2.823163,0,0,1,0,0
Tropidosuchus,0.0,0,0,0,1,0
Tuebingosaurus,0.0,0,1,0,0,0
Turfanosuchus,0.0,0,1,0,0,0
Typothorax,7.5587670000000005,0,0,1,0,0
Uatchitodon,0.629581,0,0,1,0,0
Unaysaurus,0.0,0,0,0,1,0
Unguinychus,0.0,0,0,1,0,0
Uralosaurus,1.9393200000000022,0,1,0,0,0
Utatsusaurus,14.748650000000001,0,1,1,0,0
Vallesaurus,0.0,0,0,1,0,0
Vancleavea,7.767745,0,0,1,0,0
Variodens,3.5667299999999997,0,1,0,0,0
Vellbergia,0.0,0,1,0,0,0
Velocipes,0.0,0,1,0,0,0
Venaticosuchus,0.0,0,0,0,1,0
Venetoraptor,3.3607700000000023,0,0,0,1,0
Vinitasaura,0.0,0,0,1,0,0
Vivaron,0.0,0,0,1,0,0
Vjushkovisaurus,1.9393200000000022,0,1,0,0,0
Volcanosuchus,0.0,0,0,0,1,0
Vonhuenia,0.0,0,1,0,0,0
Vritramimosaurus,0.0,0,1,0,0,0
Vytshegdosuchus,0.0,0,1,0,0,0
Wahlisaurus,0.0,0,1,0,0,0
Waluchelys,0.0,0,0,0,1,0
Wangosaurus,0.0,0,0,1,0,0
Wannia,0.0,0,0,1,0,0
Wapitisaurus,0.0,0,1,0,0,0
Weigeltisaurus,2.021469999999997,0,1,0,0,0
Whitakersaurus,0.0,0,0,1,0,0
Wimanius,0.0,0,0,1,0,0
Wumengosaurus,0.0,0,0,1,0,0
Xenodiphyodon,0.0,0,0,1,0,0
Xilousuchus,0.0,0,1,0,0,0
Xingxiulong,0.0,0,1,0,0,0
Xinminosaurus,0.0,0,0,1,0,0
Xinpusaurus,8.228819999999999,0,1,1,0,0
Yarasuchus,0.0,0,0,0,1,0
Yelaphomte,0.0,0,0,0,1,0
Yimenosaurus,0.0,0,1,0,0,0
Youngetta,0.0,0,1,0,0,0
Youngina,2.3086899999999986,0,0,0,1,0
Youngosuchus,0.0,0,1,0,0,0
Yunguisaurus,0.0,0,0,1,0,0
Yunnanosaurus,0.0,0,1,0,0,0
Zanclodon,9.851849999999999,0,1,0,0,0
Zhongjiania,0.0,0,1,0,0,0
Zupaysaurus,0.0,0,0,0,1,0
new Neotheropoda,0.0,0,0,0,1,0
new Rhynchocephalia,0.0,0,0,0,1,0
