genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Benggwigwishingasuchus	-0.336825198	0	1	0	0
Bentonyx	-0.336825198	0	1	0	0
Bergamodactylus	-0.336825198	0	1	0	0
Besanosaurus	-0.336825198	0	1	0	0
Blezingeria	-0.336825198	1	0	0	0
Blikanasaurus	-0.336825198	0	0	1	0
Blomosaurus	-0.336825198	1	0	0	0
Bobosaurus	-0.336825198	1	0	0	0
Bolosaurus	-0.167386404	0	1	0	0
Boreopricea	-0.336825198	1	0	0	0
Bradysaurus	-0.336825198	0	0	1	0
Brasinorhynchus	-0.336825198	0	0	1	0
Brazilosaurus	0.213766899	0	0	1	0
Bromsgroveia	-0.249980413	1	1	0	0
Broomia	-0.153838008	0	0	1	0
Bunostegos	-0.336825198	0	1	0	0
Buriolestes	-0.083832221	0	0	1	0
Bystrowisuchus	-0.336825198	1	0	0	0
Callawayia	0.185025653	1	1	0	0
Calyptosuchus	-0.103798429	0	1	0	0
Camelotia	-0.193028632	1	0	0	0
Camposaurus	-0.336825198	0	1	0	0
Candelaria	-0.336825198	0	0	1	0
Captorhinikos	-0.170916413	0	1	0	0
Captorhinoides	-0.336825198	0	1	0	0
Captorhinus	3.374786389	0	1	1	0
Cargninia	-0.336825198	0	0	1	0
Carnufex	-0.336825198	0	1	0	0
Cartorhynchus	-0.336825198	1	0	0	0
Caseosaurus	-0.336825198	0	1	0	0
Ceresiosaurus	0.391815082	0	1	0	0
Chalishevia	-0.336825198	1	0	0	0
Chanaresuchus	-0.336825198	0	0	1	0
Chaohusaurus	0.890538187	1	1	0	0
Chasmatosuchus	-0.04248638	1	0	0	0
Chelyoposuchus	-0.336825198	1	0	0	0
Chinchenia	-0.336825198	0	1	0	0
Chindesaurus	-0.149870241	0	1	0	0
Chinshakiangosaurus	-0.336825198	1	0	0	0
Chirotherium	-0.336825198	1	0	0	0
Chromogisaurus	-0.336825198	0	0	1	0
Cladeiodon	-0.336825198	1	0	0	0
Clarazia	-0.336825198	0	1	0	0
Claudiosaurus	-0.336825198	0	0	1	0
Clevosaurus	7.312826905	1	0	1	0
Coahomasuchus	-0.265032749	0	1	0	0
Coartaredens	-0.336825198	0	1	0	0
Coburgosuchus	-0.336825198	1	0	0	0
Coelodontognathus	-0.336825198	1	0	0	0
Coelophysis	1.280262789	0	1	0	0
Coelurosauravus	5.514311419	1	0	1	0
Coletta	-0.336825198	0	0	1	0
Collilongus	-0.336825198	1	0	0	0
Colobomycter	-0.336825198	0	1	0	0
Colobops	-0.336825198	0	1	0	0
Coloradisaurus	-0.336825198	0	0	1	0
Coloradisuchus	-0.336825198	0	0	1	0
Concavispina	-0.336825198	1	0	0	0
Contectopalatus	-0.336825198	0	1	0	0
Cornualbus	-0.336825198	0	0	1	0
Corosaurus	-0.336825198	0	1	0	0
Cosesaurus	-0.336825198	0	1	0	0
Crosbysaurus	-0.123909397	0	1	0	0
Ctenosauriscus	-0.336825198	1	0	0	0
Cyamodus	0.937654861	1	1	0	0
Cymatosaurus	0.180154396	1	1	0	0
Cymbospondylus	2.016869844	1	1	0	0
Czatkowiella	-0.336825198	1	0	0	0
Dactylosaurus	-0.149129352	1	0	0	0
Daemonosaurus	-0.336825198	0	1	0	0
Dagasuchus	-0.336825198	0	0	1	0
Dawazisaurus	-0.336825198	0	1	0	0
Decuriasuchus	-0.214738887	0	0	1	0
Delorhynchus	-0.336825198	0	1	0	0
Deltadectes	0.163225064	1	0	0	0
Deltavjatia	-0.336825198	1	0	0	0
Desmatosuchus	0.505124096	0	1	0	0
Diandongosaurus	-0.336825198	0	1	0	0
Diandongosuchus	-0.336825198	0	1	0	0
Dianmeisaurus	-0.336825198	0	1	0	0
Dianopachysaurus	-0.336825198	0	1	0	0
Dimetropus	-0.336825198	0	1	0	0
Dimorphodon	-0.336825198	1	0	0	0
Dinocephalosaurus	-0.336825198	0	1	0	0
Diphydontosaurus	2.599533423	1	1	0	0
Dolabrosaurus	-0.336825198	0	1	0	0
Dolerosaurus	-0.336825198	1	0	0	0
Dolichobrachium	-0.336825198	0	1	0	0
Doliovertebra	-0.336825198	1	0	0	0
Dongusuchus	-0.190836529	1	0	0	0
Dorosuchus	-0.336825198	1	0	0	0
Doswellia	0.063422554	0	1	0	0
Dracoraptor	-0.336825198	1	0	0	0
Drepanosaurus	1.853273435	1	1	0	0
Dromomeron	4.100308943	0	1	1	0
Dynamosuchus	-0.336825198	0	0	1	0
Dyoplax	-0.336825198	1	0	0	0
Ebrachosuchus	-0.336825198	1	0	0	0
Effigia	-0.336825198	0	1	0	0
Efraasia	-0.336825198	1	0	0	0
Eifelosaurus	-0.336825198	1	0	0	0
Elachistosuchus	-0.336825198	1	0	0	0
Elessaurus	-0.336825198	0	0	1	0
Elginia	0.470326561	1	0	0	0
Elorhynchus	-0.336825198	0	0	1	0
Embrithosaurus	-0.336825198	0	0	1	0
Emeroleter	-0.336825198	1	0	0	0
Endennasaurus	-0.336825198	0	1	0	0
Energosuchus	-0.336825198	1	0	0	0
Eodromaeus	-0.336825198	0	0	1	0
Eohupehsuchus	-0.336825198	0	1	0	0
Eohyosaurus	-0.336825198	0	0	1	0
Eomurruna	-0.196599834	0	0	1	0
Eoplesiosaurus	-0.336825198	1	0	0	0
Eoraptor	-0.336825198	0	0	1	0
Eorasaurus	-0.336825198	1	0	0	0
Eorhynchochelys	-0.336825198	1	0	0	0
Eretmorhipis	-0.336825198	0	1	0	0
Erpetosuchus	-0.336825198	0	1	0	0
Erythrosuchus	-0.189310638	0	0	1	0
Erythrovenator	-0.336825198	0	0	1	0
Eshanosaurus	-0.336825198	1	0	0	0
Eucoelophysis	0.039152988	0	1	0	0
Eudibamus	-0.336825198	0	1	0	0
Eudimorphodon	1.089747846	1	1	0	0
Eumetabolodon	-0.116319314	1	0	0	0
Eunotosaurus	-0.031449079	0	0	1	0
Euparkeria	-0.336825198	0	0	1	0
Eurhinosaurus	-0.336825198	1	0	0	0
Eurycleidus	-0.336825198	1	0	0	0
Eusaurosphargis	0.124635913	1	1	0	0
Euscolosuchus	-0.336825198	0	1	0	0
Fasolasuchus	-0.336825198	0	0	1	0
Faxinalipterus	-0.336825198	0	0	1	0
Feeserpeton	-0.336825198	0	1	0	0
Feralisaurus	-0.336825198	0	1	0	0
Fodonyx	-0.336825198	0	1	0	0
Fraserosphenodon	1.652491288	1	1	0	0
Fraxinisaura	-0.336825198	1	0	0	0
