genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Technosaurus	-0.336825198	0	1	0	0
Tecovasaurus	-0.12430235	0	1	0	0
Tecovasuchus	-0.336825198	0	1	0	0
Teleocrater	-0.336825198	0	0	1	0
Temnodontosaurus	0.03539201	1	0	0	0
Teraterpeton	-0.336825198	0	1	0	0
Teratophon	-0.336825198	0	0	1	0
Teratosaurus	5.541490641	1	0	1	0
Termatosaurus	0.065738942	1	0	0	0
Terrestrisuchus	-0.336825198	1	0	0	0
Teyujagua	-0.336825198	0	0	1	0
Teyumbaita	-0.336825198	0	0	1	0
Thadeosaurus	-0.336825198	0	0	1	0
Thaisaurus	-0.336825198	0	1	0	0
Thalassiodracon	-0.017747679	1	0	0	0
Thalattoarchon	-0.336825198	0	1	0	0
Thalattosaurus	-0.336825198	1	0	0	0
Thecodontosaurus	0.548102572	1	0	0	0
Theledectes	-0.336825198	0	0	1	0
Thelephon	-0.336825198	0	0	1	0
Thelerpeton	-0.336825198	0	0	1	0
Tholodus	1.845737477	1	1	0	0
Threordatoth	-0.336825198	1	0	0	0
Thuringothyris	-0.336825198	0	1	0	0
Tichvinskia	-0.170308142	1	0	0	0
Ticinosuchus	-0.336825198	0	1	0	0
Tikisuchus	-0.336825198	0	0	1	0
Timanophon	-0.226921924	1	0	0	0
Toretocnemus	-0.336825198	0	1	0	0
Trachelosaurus	-0.336825198	1	0	0	0
Tramuntanasaurus	-0.336825198	0	0	1	0
Trialestes	-0.336825198	0	0	1	0
Tricuspisaurus	-0.336825198	1	0	0	0
Trilophosaurus	-0.12430235	0	1	0	0
Tropidosuchus	-0.336825198	0	0	1	0
Tuebingosaurus	-0.336825198	1	0	0	0
Turfanosuchus	-0.336825198	1	0	0	0
Typothorax	0.232185763	0	1	0	0
Uatchitodon	-0.289431425	0	1	0	0
Unaysaurus	-0.336825198	0	0	1	0
Unguinychus	-0.336825198	0	1	0	0
Uralosaurus	-0.190836529	1	0	0	0
Utatsusaurus	0.773427771	1	1	0	0
Vallesaurus	-0.336825198	0	1	0	0
Vancleavea	0.247917266	0	1	0	0
Variodens	-0.068327907	1	0	0	0
Vellbergia	-0.336825198	1	0	0	0
Velocipes	-0.336825198	1	0	0	0
Venaticosuchus	-0.336825198	0	0	1	0
Venetoraptor	-0.083832221	0	0	1	0
Vinitasaura	-0.336825198	0	1	0	0
Vivaron	-0.336825198	0	1	0	0
Vjushkovisaurus	-0.190836529	1	0	0	0
Volcanosuchus	-0.336825198	0	0	1	0
Vonhuenia	-0.336825198	1	0	0	0
Vritramimosaurus	-0.336825198	1	0	0	0
Vytshegdosuchus	-0.336825198	1	0	0	0
Wahlisaurus	-0.336825198	1	0	0	0
Waluchelys	-0.336825198	0	0	1	0
Wangosaurus	-0.336825198	0	1	0	0
Wannia	-0.336825198	0	1	0	0
Wapitisaurus	-0.336825198	1	0	0	0
Weigeltisaurus	-0.184652418	1	0	0	0
Whitakersaurus	-0.336825198	0	1	0	0
Wimanius	-0.336825198	0	1	0	0
Wumengosaurus	-0.336825198	0	1	0	0
Xenodiphyodon	-0.336825198	0	1	0	0
Xilousuchus	-0.336825198	1	0	0	0
Xingxiulong	-0.336825198	1	0	0	0
Xinminosaurus	-0.336825198	0	1	0	0
Xinpusaurus	0.282626198	1	1	0	0
Yarasuchus	-0.336825198	0	0	1	0
Yelaphomte	-0.336825198	0	0	1	0
Yimenosaurus	-0.336825198	1	0	0	0
Youngetta	-0.336825198	1	0	0	0
Youngina	-0.163030991	0	0	1	0
Youngosuchus	-0.336825198	1	0	0	0
Yunguisaurus	-0.336825198	0	1	0	0
Yunnanosaurus	-0.336825198	1	0	0	0
Zanclodon	0.404805101	1	0	0	0
Zhongjiania	-0.336825198	1	0	0	0
Zupaysaurus	-0.336825198	0	0	1	0
new_Neotheropoda	-0.336825198	0	0	1	0
new_Rhynchocephalia	-0.336825198	0	0	1	0
