genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Edaphosaurus,0.93558060474518,0,0,1,0,0
Elephantosaurus,-0.297424559041348,0,1,0,0,0
Elliotsmithia,-0.297424559041348,0,0,0,1,0
Elph,-0.297424559041348,0,1,0,0,0
Emydochampsa,-0.297424559041348,0,0,0,1,0
Emydops,0.6687695277866947,0,0,0,1,0
Emydorhinus,-0.297424559041348,0,0,0,1,0
Emydorhynchus,-0.297424559041348,0,0,0,1,0
Emyduranus,-0.297424559041348,0,0,0,1,0
Endothiodon,2.4360031294722853,0,0,1,1,0
Ennatosaurus,2.0091582173936984,0,1,1,0,0
Eodicynodon,-0.297424559041348,0,0,0,1,0
Eoraetia,-0.297424559041348,0,1,0,0,0
Eosimops,-0.2514763019036145,0,0,0,1,0
Eothyris,-0.297424559041348,0,0,1,0,0
Eozostrodon,-0.297424559041348,0,1,0,0,0
Ericiolacerta,0.9279584437456256,0,0,0,1,1
Eriphostoma,-0.1779744235358556,0,0,0,1,0
Estemmenosuchus,-0.1230525601955366,0,1,0,0,0
Etjoia,-0.297424559041348,0,0,0,1,0
Eubrachiosaurus,-0.297424559041348,0,0,1,0,0
Euchambersia,-0.297424559041348,0,0,0,1,0
Euptychognathus,-0.297424559041348,0,0,0,1,0
Euromycter,-0.297424559041348,0,0,1,0,0
Exaeretodon,3.7196492185813104,0,0,1,1,0
Fluctuodon,-0.297424559041348,0,1,0,0,0
Galechirus,-0.297424559041348,0,0,0,1,0
Galeops,-0.1779744235358556,0,0,0,1,0
Galepus,-0.297424559041348,0,0,0,1,0
Galesaurus,-0.1671061798892365,0,0,0,1,0
Gaumia,0.0187938865886776,0,1,0,0,0
Geikia,4.4474991717575625,0,1,0,1,0
Glanosuchus,-0.1407773176570294,0,0,0,1,0
Glaucosaurus,-0.297424559041348,0,0,1,0,0
Gondwanadon,-0.297424559041348,0,0,0,1,0
Gordonia,-0.297424559041348,0,1,0,0,0
Gorgonops,0.6687695277866947,0,0,0,1,0
Gorochovetzia,-0.297424559041348,0,1,0,0,0
Gorynychus,-0.101648498510224,0,1,0,0,0
Habayia,-0.297424559041348,0,1,0,0,0
Hahnia,-0.297424559041348,0,1,0,0,0
Hallautherium,-0.297424559041348,0,1,0,0,0
Haptodus,0.0813332607404628,0,0,1,0,0
Haramiyavia,-0.297424559041348,0,1,0,0,0
Hazhenia,-0.297424559041348,0,1,0,0,0
Heleosaurus,-0.297424559041348,0,0,0,1,0
Helvetiodon,-0.297424559041348,0,1,0,0,0
Herpetoskylax,-0.297424559041348,0,0,0,1,0
Hipposaurus,-0.297424559041348,0,0,0,1,0
Hofmeyria,-0.1523456031320572,0,0,0,1,0
Homodontosaurus,-0.1523456031320572,0,0,0,1,0
Hwanghocynodon,-0.297424559041348,0,1,0,0,0
Hyaenasuchus,-0.297424559041348,0,0,0,1,0
Hypselohaptodus,-0.297424559041348,0,0,1,0,0
Hypsiprymnopsis,-0.297424559041348,0,1,0,0,0
Ichibengops,-0.297424559041348,0,0,0,1,0
Icticephalus,-0.297424559041348,0,0,0,1,0
Ictidochampsa,-0.297424559041348,0,0,0,1,0
Ictidognathus,-0.1779744235358556,0,0,0,1,0
Ictidorhinus,-0.297424559041348,0,0,0,1,0
Ictidosaurus,-0.1407773176570294,0,0,0,1,0
Ictidosuchops,-0.1523456031320572,0,0,0,1,0
Ictidosuchus,-0.297424559041348,0,0,0,1,0
Idelesaurus,-0.297424559041348,0,1,0,0,0
Impidens,-0.297424559041348,0,0,0,1,0
Inostrancevia,5.6780124631326245,0,1,0,1,0
Interpresosaurus,-0.297424559041348,0,1,0,0,0
Irajatherium,-0.297424559041348,0,0,0,1,0
Ischigualastia,-0.297424559041348,0,0,0,1,0
Isengops,-0.297424559041348,0,0,0,1,0
Jachaleria,-0.0221315390100319,0,0,0,1,0
Jimusaria,1.026928271145484,0,1,0,0,0
Jiufengia,-0.297424559041348,0,1,0,0,0
Jonkeria,-0.1406623197624165,0,0,0,1,0
Julognathus,-0.297424559041348,0,1,0,0,0
Kamagorgon,-0.2662632716202135,0,1,0,0,0
Kannemeyeria,0.7568088995641599,0,0,0,1,0
Karenites,-0.297424559041348,0,1,0,0,0
Kataigidodon,-0.297424559041348,0,0,1,0,0
Katumbia,-0.297424559041348,0,0,0,1,0
Kawingasaurus,-0.297424559041348,0,0,0,1,0
Kembawacela,-0.297424559041348,0,0,0,1,0
Keratocephalus,-0.297424559041348,0,0,0,1,0
Keyseria,-0.297424559041348,0,0,0,1,0
