age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_terr_L_mean,rep_terr_L_hpd_m95,rep_terr_L_hpd_M95,rep_terr_M_mean,rep_terr_M_hpd_m95,rep_terr_M_hpd_M95,rep_terr_R_mean,rep_terr_R_hpd_m95,rep_terr_R_hpd_M95
-198.4516354,,,,,,,,,,0.007164077,0.000100077,0.018119131,0.343153685,0.199384321,0.461849219,-0.335989608,-0.474865373,-0.210474162
-199.0086555,0.017646323,4.89E-06,0.065595635,0.362642931,0.151510425,0.590733356,-0.344996608,-0.564331068,-0.124437104,,,,,,,,,
-208,0.017646323,4.89E-06,0.065595635,0.362642931,0.151510425,0.590733356,-0.344996608,-0.564331068,-0.124437104,0.007164077,0.000100077,0.018119131,0.343153685,0.199384321,0.461849219,-0.335989608,-0.474865373,-0.210474162
-208.00001,0.028422158,0.000417374,0.069917367,0.029526714,0.000311789,0.086927442,-0.001104556,-0.068269341,0.061958165,0.004878457,4.55E-05,0.011385073,0.007622387,0.000256982,0.017186308,-0.002743929,-0.01611146,0.010055079
-217,0.028422158,0.000417374,0.069917367,0.029526714,0.000311789,0.086927442,-0.001104556,-0.068269341,0.061958165,0.004878457,4.55E-05,0.011385073,0.007622387,0.000256982,0.017186308,-0.002743929,-0.01611146,0.010055079
-217.00001,0.01316841,5.78E-05,0.036008158,0.03358302,0.000308218,0.07720525,-0.02041461,-0.076074189,0.021358778,0.007676406,0.000352152,0.01693641,0.005338851,0.00036433,0.012171439,0.002337555,-0.009784954,0.014376939
-227,0.01316841,5.78E-05,0.036008158,0.03358302,0.000308218,0.07720525,-0.02041461,-0.076074189,0.021358778,0.007676406,0.000352152,0.01693641,0.005338851,0.00036433,0.012171439,0.002337555,-0.009784954,0.014376939
-227.00001,0.025878643,0.000104294,0.066262745,0.079206541,0.002631381,0.152164534,-0.053327898,-0.142485569,0.020948473,0.091597612,0.014289271,0.17518817,0.011453209,0.001144676,0.026209473,0.080144404,0.000134764,0.165685916
-237,0.025878643,0.000104294,0.066262745,0.079206541,0.002631381,0.152164534,-0.053327898,-0.142485569,0.020948473,0.091597612,0.014289271,0.17518817,0.011453209,0.001144676,0.026209473,0.080144404,0.000134764,0.165685916
-237.00001,0.026205972,0.000522239,0.068810205,0.123617989,0.019822224,0.238743497,-0.097412017,-0.212393736,0.02427315,0.201245717,0.069857224,0.30468256,0.106159617,0.010408868,0.221684313,0.0950861,-0.065284278,0.262381938
-242,0.026205972,0.000522239,0.068810205,0.123617989,0.019822224,0.238743497,-0.097412017,-0.212393736,0.02427315,0.201245717,0.069857224,0.30468256,0.106159617,0.010408868,0.221684313,0.0950861,-0.065284278,0.262381938
-242.00001,0.113162468,0.00575569,0.219508736,0.141853868,0.031799433,0.246225722,-0.0286914,-0.190407743,0.116390761,0.111350501,0.003633268,0.243541169,0.116696548,0.006526953,0.224091571,-0.005346047,-0.163435816,0.177628593
-246.7,0.113162468,0.00575569,0.219508736,0.141853868,0.031799433,0.246225722,-0.0286914,-0.190407743,0.116390761,0.111350501,0.003633268,0.243541169,0.116696548,0.006526953,0.224091571,-0.005346047,-0.163435816,0.177628593
-246.70001,0.172760931,0.033161092,0.311215439,0.256268806,0.086604877,0.417216233,-0.083507876,-0.312118512,0.124788095,0.470557306,0.216040009,0.711159038,0.242340995,0.038810731,0.409822521,0.228216311,-0.07755542,0.540266018
-252,0.172760931,0.033161092,0.311215439,0.256268806,0.086604877,0.417216233,-0.083507876,-0.312118512,0.124788095,0.470557306,0.216040009,0.711159038,0.242340995,0.038810731,0.409822521,0.228216311,-0.07755542,0.540266018
-252.00001,0.029294906,0.000988229,0.064638263,0.201349526,0.117802042,0.283317044,-0.172054621,-0.25432503,-0.083607514,0.109760407,0.002770119,0.217017244,0.170653208,0.04237573,0.303245584,-0.060892801,-0.233423229,0.110200098
-259.5,0.029294906,0.000988229,0.064638263,0.201349526,0.117802042,0.283317044,-0.172054621,-0.25432503,-0.083607514,0.109760407,0.002770119,0.217017244,0.170653208,0.04237573,0.303245584,-0.060892801,-0.233423229,0.110200098
-259.50001,0.1507442,0.014225373,0.273886615,0.053482916,0.00516951,0.110484393,0.097261284,-0.031876864,0.250935504,0.165659436,0.053520167,0.278170553,0.072475195,0.00086072,0.153951864,0.093184241,-0.046418416,0.253766305
-264.3,0.1507442,0.014225373,0.273886615,0.053482916,0.00516951,0.110484393,0.097261284,-0.031876864,0.250935504,0.165659436,0.053520167,0.278170553,0.072475195,0.00086072,0.153951864,0.093184241,-0.046418416,0.253766305
-264.30001,0.231774005,0.016532759,0.469579731,0.036785959,0.000117098,0.096357146,0.194988046,-0.036423841,0.440327351,0.105870158,0.000798922,0.211106179,0.031019274,0.000655844,0.085197224,0.074850884,-0.040417768,0.202548691
-274.4,0.231774005,0.016532759,0.469579731,0.036785959,0.000117098,0.096357146,0.194988046,-0.036423841,0.440327351,0.105870158,0.000798922,0.211106179,0.031019274,0.000655844,0.085197224,0.074850884,-0.040417768,0.202548691
-274.40001,0.028227071,0.000143291,0.075401803,0.034894898,6.66E-05,0.093368977,-0.006667827,-0.083974412,0.060448435,0.08175991,0.000719402,0.185925725,0.05698137,0.000981516,0.154257466,0.02477854,-0.115275749,0.182061708
-283.5,0.028227071,0.000143291,0.075401803,0.034894898,6.66E-05,0.093368977,-0.006667827,-0.083974412,0.060448435,0.08175991,0.000719402,0.185925725,0.05698137,0.000981516,0.154257466,0.02477854,-0.115275749,0.182061708
-283.50001,0.052663376,0.000249737,0.132871925,0.035264398,0.000260777,0.088109729,0.017398977,-0.074921427,0.114901661,0.079868364,0.000628668,0.172688704,0.068365869,0.002450283,0.164564857,0.011502495,-0.135049517,0.139538051
-290.1,0.052663376,0.000249737,0.132871925,0.035264398,0.000260777,0.088109729,0.017398977,-0.074921427,0.114901661,0.079868364,0.000628668,0.172688704,0.068365869,0.002450283,0.164564857,0.011502495,-0.135049517,0.139538051
-290.10001,0.238156793,0.09860242,0.382051964,0.025798595,0.000509615,0.076105537,0.212358199,0.067649488,0.371102439,0.482595511,0.053083984,0.966821902,0.055420097,0.000282962,0.196221242,0.427175414,-0.016598132,0.944500557
-298.9446716,,,,,,,,,,0.482595511,0.053083984,0.966821902,0.055420097,0.000282962,0.196221242,0.427175414,-0.016598132,0.944500557
-299.7373352,0.238156793,0.09860242,0.382051964,0.025798595,0.000509615,0.076105537,0.212358199,0.067649488,0.371102439,,,,,,,,,
