Species,Status,min_age,max_age
Plateosaurus_Temperate_N,extinct,208.5,227.0
Plateosaurus_Temperate_N,extinct,208.5,227.0
Proganochelys_Temperate_N,extinct,208.5,227.0
Proganochelys_Temperate_N,extinct,208.5,227.0
Proganochelys_Temperate_N,extinct,208.5,227.0
Liliensternus,extinct,208.5,227.0
Proganochelys_Temperate_N,extinct,201.4,208.5
Liliensternus,extinct,201.4,208.5
Elachistosuchus,extinct,201.4,208.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Eoraptor,extinct,227.0,237.0
Eoraptor,extinct,227.0,237.0
Herrerasaurus,extinct,227.0,237.0
Saurosuchus,extinct,227.0,237.0
Aetosauroides,extinct,227.0,237.0
Herrerasaurus,extinct,227.0,237.0
Terrestrisuchus,extinct,227.0,237.0
Agnosphitys,extinct,227.0,237.0
Luperosuchus,extinct,237.0,242.0
Lagerpeton,extinct,237.0,242.0
Chanaresuchus,extinct,237.0,242.0
Gualosuchus,extinct,237.0,242.0
Gracilisuchus,extinct,237.0,242.0
Marasuchus,extinct,237.0,242.0
Lewisuchus,extinct,237.0,242.0
Tropidosuchus,extinct,237.0,242.0
Tarjadia,extinct,237.0,242.0
Pisanosaurus,extinct,227.0,237.0
Bradysaurus,extinct,259.51,264.28
Arcticodactylus,extinct,208.5,227.0
Pantydraco,extinct,227.0,237.0
Eumetabolodon,extinct,242.0,251.2
Eumetabolodon,extinct,242.0,251.2
Youngetta,extinct,247.2,251.902
Belebey,extinct,264.28,266.9
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Rothianiscus,extinct,264.28,273.01
Captorhinoides,extinct,273.01,283.5
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Bolosaurus,extinct,283.5,290.1
Labidosaurus,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Captorhinus_Tropical_N,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Bolosaurus,extinct,273.01,283.5
Araeoscelis,extinct,273.01,283.5
Araeoscelis,extinct,273.01,283.5
Araeoscelis,extinct,273.01,283.5
Araeoscelis,extinct,273.01,283.5
Araeoscelis,extinct,273.01,283.5
Captorhinus_Tropical_S,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Labidosaurus,extinct,273.01,283.5
Captorhinus_Tropical_S,extinct,273.01,283.5
Mesosaurus_Temperate_S,extinct,283.5,290.1
Mesosaurus_Temperate_S,extinct,283.5,290.1
Mesosaurus_Temperate_S,extinct,283.5,290.1
Mesosaurus_Temperate_S,extinct,283.5,290.1
Grallator_Temperate_S,extinct,208.5,227.0
Deltavjatia,extinct,259.51,264.28
Scutosaurus,extinct,254.14,264.28
Bolosaurus,extinct,290.1,298.9
Zupaysaurus,extinct,208.5,227.0
Omphalosaurus_Tropical_N,extinct,237.0,247.2
Omphalosaurus_Tropical_N,extinct,237.0,247.2
Grippia,extinct,247.2,251.2
Coelurosaurichnus_Temperate_N,extinct,227.0,237.0
Rutiodon,extinct,208.5,227.0
Captorhinus_Tropical_S,extinct,273.01,283.5
Pareiasuchus,extinct,254.14,259.51
Arizonasaurus,extinct,244.7,247.2
Anisodontosaurus,extinct,244.7,247.2
Placochelys,extinct,227.0,237.0
Psephoderma_Tropical_N,extinct,213.2,216.7
Psephoderma_Tropical_N,extinct,213.2,216.7
Psephoderma_Tropical_N,extinct,213.2,216.7
Vonhuenia,extinct,251.2,251.902
Melanorosaurus,extinct,208.5,227.0
Plateosauravus,extinct,208.5,227.0
Plateosauravus,extinct,208.5,227.0
Plateosauravus,extinct,208.5,227.0
