id,Rotated Lat,Rotated Lon,genus,locality
4411,6.739,-20.6269,Icarosaurus,New Jersey
4410,6.739,-20.6269,Rutiodon,New Jersey
4409,35.9688,2.1884,Kuehneosuchus,England
4408,35.9688,2.1884,Kuehneosaurus,England
4407,-62.6208,-11.8191,Procolophon,Eastern Cape
4405,-2.9808,-38.7628,Araeoscelis,Texas
4406,-2.9808,-38.7628,Araeoscelis,Texas
4404,24.9561,4.3648,Clevosaurus,England
4403,24.9561,4.3648,Diphydontosaurus,England
4402,24.9561,4.3648,Diphydontosaurus,England
4401,24.9561,4.3648,Terrestrisuchus,England
4400,24.9561,4.3648,Planocephalosaurus,England
4399,24.9561,4.3648,Sigmala,England
4398,24.9561,4.3648,Kuehneosaurus,England
4397,24.9561,4.3648,Clevosaurus,England
4396,24.9561,4.3648,Planocephalosaurus,England
4395,24.9561,4.3648,Terrestrisuchus,England
4394,24.9561,4.3648,Diphydontosaurus,England
4393,24.9561,4.3648,Sigmala,England
4392,24.9561,4.3648,Planocephalosaurus,England
4391,24.9561,4.3648,Clevosaurus,England
4390,24.9561,4.3648,Terrestrisuchus,England
4389,24.9561,4.3648,Diphydontosaurus,England
4388,24.9561,4.3648,Sigmala,England
4387,24.9561,4.3648,Kuehneosaurus,England
4386,24.9561,4.3648,Sigmala,England
4385,24.9561,4.3648,Pelecymala,England
4384,24.9561,4.3648,Planocephalosaurus,England
4383,24.9561,4.3648,Planocephalosaurus,England
4382,24.9561,4.3648,Clevosaurus,England
4381,24.9561,4.3648,Sigmala,England
4380,24.9561,4.3648,Kuehneosaurus,England
4379,24.9561,4.3648,Planocephalosaurus,England
4378,24.9561,4.3648,Clevosaurus,England
4377,24.9561,4.3648,Sigmala,England
4376,24.9561,4.3648,Kuehneosaurus,England
4375,24.9561,4.3648,Planocephalosaurus,England
4374,24.9561,4.3648,Clevosaurus,England
4373,24.9561,4.3648,Sigmala,England
4372,24.9561,4.3648,Kuehneosaurus,England
4371,24.9561,4.3648,Planocephalosaurus,England
4370,24.9561,4.3648,Clevosaurus,England
4369,24.9561,4.3648,Sigmala,England
4368,24.9561,4.3648,Planocephalosaurus,England
4367,24.9561,4.3648,Planocephalosaurus,England
4366,24.9561,4.3648,Clevosaurus,England
4365,24.9561,4.3648,Terrestrisuchus,England
4364,24.9561,4.3648,Diphydontosaurus,England
4363,-1.4701,-41.4649,Trilophosaurus,Texas
4362,-49.9808,-33.9335,Lewisuchus,La Rioja
4361,-49.9808,-33.9335,Lagerpeton,La Rioja
4359,-1.4701,-41.4649,Postosuchus,Texas
4360,-1.4701,-41.4649,Postosuchus,Texas
4358,-1.4701,-41.4649,Desmatosuchus,Texas
4357,-1.4701,-41.4649,Trilophosaurus,Texas
4356,32.5932,9.3339,Efraasia,Baden-Wurttemberg
4355,20.9379,22.0121,Neusticosaurus,Switzerland
4354,20.9379,22.0121,Mixosaurus,Switzerland
4352,30.9826,11.6474,Plateosaurus,Switzerland
4351,30.9826,11.6474,Aetosaurus,Switzerland
4350,30.9826,11.6474,Saltoposuchus,Switzerland
4349,30.9826,11.6474,Liliensternus,Switzerland
4347,30.9826,11.6474,Plateosaurus,Baden-Wurttemberg
4348,30.9826,11.6474,Plateosaurus,Baden-Wurttemberg
4344,30.9826,11.6474,Proganochelys,Baden-Wurttemberg
4345,30.9826,11.6474,Proganochelys,Baden-Wurttemberg
4346,30.9826,11.6474,Proganochelys,Baden-Wurttemberg
4343,30.9826,11.6474,Liliensternus,Baden-Wurttemberg
4342,42.7067,10.1418,Proganochelys,Sachsen-Anhalt
4341,42.7067,10.1418,Liliensternus,Sachsen-Anhalt
4340,42.7067,10.1418,Elachistosuchus,Sachsen-Anhalt
4338,1.0593,-36.5887,Captorhinus,Texas
4339,1.0593,-36.5887,Captorhinus,Texas
4336,-52.0012,-29.5316,Eoraptor,San Juan
