genus	rotated_lat_scaled
Grallator_Temperate_S	0.3719811320754717
Graoullyodon	1.13
Gregaripus	0.16
Gresslyosaurus	0.9349999999999999
Grippia	1.2
Guaibasaurus	-1.28
Gualosuchus	-1.39
Guanlingsaurus	0.82
Guchengosuchus	1.28
Guizhouichthyosaurus	0.7337499999999999
Gulosaurus	0.96
Gunakadeit	0.3
Gwyneddichnium	0.2525
Gyposaurus	1.55
Halazhaisuchus	1.28
Haligonia_Temperate_N	0.8366666666666668
Hanosaurus	0.43
Helcura	0.62
Helveticosaurus	0.69
Hemilopas	0.8966666666666666
Hemiprotosuchus	-1.4
Heptasuchus	0.33
Herrerasaurus	-1.45
Hescheleria	0.65
Hesperosuchus	0.1425
Heterodontichnites	0.095
Heteropelta	0.8
Himalayasaurus	-0.54
Hispaniasaurus	0.35
Honghesaurus	0.41
Horaffia	0.8275
Hovasaurus	-1.3887375415282392
Howesia	-1.72
Hudsonelpidia	0.6
Hupehsuchus	0.618
Hwiccewyrm	0.7700000000000001
Hyloidichnus	-0.015
Hyperodapedon_Temperate_S	-1.2254545454545454
Hypselorhachis	-1.29
Hypsognathus_Tropical_N	0.5925
Hypuronector	0.24
Icarosaurus	0.24
Ichthyosaurus_Temperate_N	1.02
Ichthyotitan	1.03
Idiosaura	0.1
Ignotosaurus	-1.45
Incertovenator	-1.45
Ingentia	-1.47
Isfjordosaurus	1.42
Ixalerpeton	-1.3466666666666667
Jaklapallisaurus	-0.69
Jaxtasuchus	0.84
Jesairosaurus	-0.06
Jingshanosaurus	1.55
Jushatyria	1.4
Kadimakara	-1.51
Kalisuchus	-1.51
Kapes_Temperate_N	1.251111111111111
Kayentapus_Tropical_N	0.405
Keichousaurus	0.5852380952380952
Kholumolumo	-1.56
Kinelia	1.35
Kintneria	0.2375
Kitchingnathus	-1.75
Kocurypelta	1.15
Koiloskiosaurus	0.81
Komlosaurus	0.89
Krzyzanowskisaurus	0.095
Kudnu	-1.51
Kuehneosaurus	0.8172727272727273
Kuehneosuchus	1.08
Kuruxuchampsa	-1.38
Kwangsisaurus	0.26
Labidosaurikos	0.06
Labidosauriscus	0.03
Labidosaurus	0.06333333333333334
Lagerpeton	-1.39
Lanceirosphenodon	-1.28
Langeronyx	0.7399999999999999
Langobardisaurus	0.9
Lanthaniscus	1.28
Lanthanolania	1.28
Lanthanosuchus	1.29
Laquintasaura	-0.16
Largocephalosaurus	0.41
Lariosaurus	0.66
Lasasaurus	-1.01
Lavinipes	0.84
Lepidus	0.01
Leptonectes	1.1400000000000001
Leptosuchus	0.09216666666666667
Lessemsaurus_Temperate_S	-1.4190476190476191
Lewisuchus	-1.3999999999999997
Libognathus	0.01
Liliensternus	1.0466666666666666
Lindwurmia	1.33
Litorosuchus	0.59
Lophostropheus	1.08
Lotosaurus	0.560909090909091
Lucasuchus	0.03
Lucianosaurus	0.09
Lucianovenator	-1.47
Lufengosaurus	1.55
Lukousaurus	1.55
Luopingosaurus	0.41
Luperosuchus	-1.39
Macgowania	0.7
Machaeroprosopus	0.13691176470588237
Macrocnemus	0.6657142857142857
Macrocollum	-1.28
Macroleter_Temperate_N	1.085
Macroplacus	1.18
Macroplata	1.19
Maehary	-1.28
Majiashanosaurus	0.97
Malerisaurus	0.01
Malutinisuchus	1.605
Mambawakale	-1.29
Mandaphon	-1.29
Mandasuchus	-1.29
Marasuchus	-1.39
Marcianosuchus	0.71
Massospondylus	-1.38
Mbiresaurus	-1.31
Megachirella	0.75
Megalancosaurus	0.8460000000000001
Megalosauripus	1.43
Megalosaurus	1.13
Megapnosaurus	0.4
Mehliella	0.47
Melanorosaurus	-1.56
Merriamosaurus	1.42
Mesodapedon	-1.1
Mesosaurus_Temperate_S	-1.5092592592592593
Mesosuchus	-1.52
Metamosaurus	0.03
Metashastasaurus	0.8
Microcnemus_Temperate_N	1.3175
Microleter	0.03
Micromenodon	0.1
Microsphenodon	-1.28
Mikadocephalus_Tropical_N	1.02
Milleretta	-1.7245454545454544
Millerinoides	-1.77
Milleropsis	-1.7077777777777776
Millerosaurus	-1.7349999999999999
Miodentosaurus	0.82
Mixosaurus	0.5463636363636364
Moradisaurus	-0.282
Mystriosuchus_Temperate_N	0.9450000000000001
Nambalia	-0.69
Nanchangosaurus	0.5700000000000001
Nanoparia	-1.7349999999999999
Neoaetosauroides	-1.4
Neoprocolophon	1.22
Neusticosaurus	0.7369999999999999
Nhandumirim	-1.28
Nicrosaurus_Temperate_N	0.9175
Nochelesaurus	-1.76
Notatesseraeraptor	0.94
Noteosuchus	-1.75
Nothosaurus_Temperate_N	0.6919444444444445
Nundasuchus	-1.29
Nyasasaurus	-1.29
Nycteroleter	1.28
Nyctiboetus	1.24
Nyctiphruretus	1.2816666666666667
Obirkovia	1.28
Odontochelys	0.82
Omphalosaurus_Tropical_N	0.8042857142857143
Opisthodontosaurus	0.03
Orenburgia	1.55625
Orovenator	0.03
Oryctorhynchus	0.35
Oryporan	-1.29
Osmolskina	0.89
Otozoum	0.23
Owenetta	-1.731111111111111
Ozimek	1.01
Pachypes	-0.23
Pachypleurosaurus	0.6966666666666667
Pachystropheus	1.1133333333333333
Palacrodon_Temperate_S	-0.7949999999999999
Palaeagama	-1.77
Palaeochersis	-1.3999999999999997
Palaeosaurus	0.85
Palatodonta	0.83
Paleollanosaurus_Tropical_S	0.57
Paliguana	-1.75
Pamelaria	-1.1
Pamelina	0.89
Pampadromaeus	-1.33
Panguraptor	1.55
Panphagia	-1.45
Pantydraco	0.77
Panzhousaurus	0.41
Pappochelys	0.84
Parabrontopodus_Temperate_N	1.135
Parahupehsuchus	0.49
Paralonectes	0.9466666666666667
Paraplacodus	0.6642857142857144
Pararcus	0.83
Parasaurus	0.8014285714285715
Parasuchus_Tropical_N	0.23461538461538464
Paratypothorax_Tropical_N	0.24909090909090906
Pareiasaurus	-1.7076470588235295
Pareiasuchus	-1.6640000000000001
Parringtonia	-1.29
Partanosaurus	0.79
Parvinatator	0.92
Parvosuchus	-1.36
Pectodens	0.41
Pelecymala	0.77
Pendraig	0.77
Pentaedrusaurus	1.28
Permotriturus	1.29
Pessopteryx	1.415
Peteinosaurus	0.63
Phaanthosaurus	1.3557142857142856
Phalarodon_Tropical_N	0.7928571428571428
Phantomosaurus	0.81
Phonodus	-1.7
Pisanosaurus	-1.45
Pistosaurus	0.75
Placochelys	0.7250000000000001
Placodus_Tropical_S	0.6525
Planocephalosaurus_Temperate_N	0.76
Plateosauravus	-1.56
Plateosaurus_Temperate_N	0.9397938144329897
Platypterna	0.5566666666666666
Plectropterna	0.62
Plesiornis	0.62
Plesiosaurus	1.1158823529411763
Polesinesuchus	-1.38
Polonosuchus	1.01
Polymorphodon	0.84
Poposaurus	0.15071428571428572
Postosuchus	0.09807692307692308
Powellvenator	-1.4
Pravusuchus	0.09
Preondactylus	0.99
Prestosuchus	-1.3436363636363637
Procerosuchus	-1.36
Procolina	0.89
Procolophon	-1.4617948717948717
Procolophonichnium_Temperate_N	0.010000000000000009
