Species	Status
Abyssomedon	extinct
Acadiella	extinct
Acaenasuchus	extinct
Acallosuchus	extinct
Acerosodontosaurus	extinct
Acleistorhinus	extinct
Acrodenta	extinct
Actiosaurus	extinct
Adamanasuchus	extinct
Adelosaurus	extinct
Aenigmasaurus	extinct
Aenigmaspina	extinct
Aenigmastropheus	extinct
Aetosauroides	extinct
Aetosaurus	extinct
Agkistrognathus	extinct
Agnosphitys	extinct
Alexeyisaurus	extinct
Alwalkeria	extinct
Amanasaurus	extinct
Ammorhynchus	extinct
Ammosaurus	extinct
Amotosaurus	extinct
Anarosaurus	extinct
Anchisauripus_Tropical_N	extinct
Ancistronychus	extinct
Angistorhinus	extinct
Anisodontosaurus	extinct
Anomoepus_Tropical_N	extinct
Anomoiodon	extinct
Anshunsaurus	extinct
Anthodon	extinct
Anticheiropus	extinct
Apachesuchus	extinct
Apatopus_Tropical_N	extinct
Apatosuchus	extinct
Aphelosaurus	extinct
Araeoscelis	extinct
Archeopelta	extinct
Archosaurus	extinct
Arcticodactylus	extinct
Arganaceras	extinct
Arganasuchus	extinct
Argoides	extinct
Arizonasaurus	extinct
Asilisaurus	extinct
Askeptosaurus	extinct
Asperoris	extinct
Asylosaurus	extinct
Atopodentatus	extinct
Atreipus_Tropical_N	extinct
Augustaburiania	extinct
Augustasaurus	extinct
Australothyris	extinct
Austriadactylus	extinct
Austriadraco	extinct
Avalonnectes	extinct
Avicranium	extinct
Azendohsaurus	extinct
Baeotherates	extinct
Baisesaurus	extinct
Barasaurus	extinct
Barberenasuchus	extinct
Barracudasauroides	extinct
Barracudasaurus	extinct
Barrancapus	extinct
Bashkyroleter	extinct
Batrachopus_Tropical_N	extinct
Batrachotomus	extinct
Belebey	extinct
Benggwigwishingasuchus	extinct
Bentonyx	extinct
Bergamodactylus	extinct
Besanosaurus	extinct
Blezingeria	extinct
Blomosaurus	extinct
Bobosaurus	extinct
Bolosaurus	extinct
Boreopricea	extinct
Brachychirotherium_Tropical_N	extinct
Bradysaurus	extinct
Brasinorhynchus	extinct
Brazilosaurus	extinct
Bromsgroveia	extinct
Broomia	extinct
Bunostegos	extinct
Buriolestes	extinct
Bystrowisuchus	extinct
Callawayia	extinct
Calyptosuchus	extinct
Camelotia	extinct
Camposaurus	extinct
Candelaria	extinct
Captorhinikos	extinct
Captorhinoides	extinct
Captorhinus_Tropical_N	extinct
Cargninia	extinct
Carnufex	extinct
Cartorhynchus	extinct
Caseosaurus	extinct
Caviramus	extinct
Ceresiosaurus	extinct
Chalishevia	extinct
Chanaresuchus	extinct
Chaohusaurus	extinct
Chasmatosuchus	extinct
Chelyoposuchus	extinct
Chinchenia	extinct
Chindesaurus	extinct
Chinshakiangosaurus	extinct
Chirotherium_Tropical_N	extinct
Chromogisaurus	extinct
Clarazia	extinct
Claudiosaurus	extinct
Clevosaurus_Temperate_N	extinct
Coahomasuchus	extinct
Coartaredens	extinct
Coburgosuchus	extinct
Coelodontognathus	extinct
Coelophysis_Tropical_N	extinct
Coelurosauravus_Temperate_S	extinct
Coelurosaurichnus_Temperate_N	extinct
Coletta	extinct
Collilongus	extinct
Colobomycter	extinct
Colobops	extinct
Coloradisaurus	extinct
Coloradisuchus	extinct
Concavispina	extinct
Contectopalatus	extinct
Corosaurus	extinct
Cosesaurus	extinct
Crosbysaurus	extinct
Ctenosauriscus	extinct
Cyamodus	extinct
Cymatosaurus	extinct
Cymbospondylus_Tropical_N	extinct
Czatkowiella	extinct
Dactylosaurus	extinct
Daemonosaurus	extinct
Dagasuchus	extinct
Dawazisaurus	extinct
Decuriasuchus	extinct
Delatorrichnus	extinct
Delorhynchus	extinct
Deltadectes	extinct
Deltavjatia	extinct
Desmatosuchus	extinct
Diandongosaurus	extinct
Diandongosuchus	extinct
Dianmeisaurus	extinct
Dianopachysaurus	extinct
Dimetropus	extinct
Dimorphodon	extinct
Dinocephalosaurus	extinct
Diphydontosaurus_Temperate_N	extinct
Dolabrosaurus	extinct
Dolerosaurus	extinct
Dolichobrachium	extinct
Doliovertebra	extinct
Dongusuchus	extinct
Dorosuchus	extinct
Doswellia	extinct
Dracoraptor	extinct
Drepanosaurus_Tropical_N	extinct
Dromomeron_Tropical_N	extinct
Dyoplax	extinct
Ebrachosuchus	extinct
Effigia	extinct
Efraasia	extinct
Eifelosaurus	extinct
Elachistosuchus	extinct
Elessaurus	extinct
Elginia	extinct
Embrithosaurus	extinct
Emeroleter	extinct
Endennasaurus	extinct
Energosuchus	extinct
Eodromaeus	extinct
Eohupehsuchus	extinct
Eohyosaurus	extinct
Eomurruna	extinct
Eoplesiosaurus	extinct
Eoraptor	extinct
Eorasaurus	extinct
Eorhynchochelys	extinct
Eosauropus_Temperate_N	extinct
Eretmorhipis	extinct
Erpetosuchus	extinct
Erythrosuchus	extinct
Erythrovenator	extinct
Eshanosaurus	extinct
Eubrontes_Tropical_N	extinct
Eucoelophysis	extinct
Eudibamus	extinct
Eudimorphodon	extinct
Eumetabolodon	extinct
Eunotosaurus	extinct
Euparkeria	extinct
Eurhinosaurus	extinct
Eurycleidus	extinct
Eusaurosphargis	extinct
Euscolosuchus	extinct
Evazoum	extinct
Fasolasuchus	extinct
Faxinalipterus	extinct
Feeserpeton	extinct
Feralisaurus	extinct
Fodonyx	extinct
Fraserosphenodon_Tropical_S	extinct
Fraxinisaura	extinct
Fugusuchus	extinct
Fuyuansaurus	extinct
Galesphyrus	extinct
Gamatavus	extinct
Gansurhinus	extinct
Garjainia_Temperate_N	extinct
Garzapelta	extinct
Gecatogomphius	extinct
Gephyrosaurus	extinct
Glaurung	extinct
Glyphoderma	extinct
