,id,occurrence_no,genus,Locality,county_original,state,cc
0,4411,146084,Icarosaurus,Hudson,Hudson,New Jersey,US
1,4410,146085,Rutiodon,Hudson,Hudson,New Jersey,US
2,4409,146086,Kuehneosuchus,Somerset,Somerset,England,UK
3,4408,146087,Kuehneosaurus,Somerset,Somerset,England,UK
4,4407,147521,Procolophon,Chris Hani,Chris Hani,Eastern Cape,ZA
5,4405,147523,Araeoscelis,Archer,Archer,Texas,US
6,4406,147523,Araeoscelis,Archer,Archer,Texas,US
7,4404,149237,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
8,4403,149239,Diphydontosaurus,Gloucestershire,Gloucestershire,England,UK
9,4402,149241,Diphydontosaurus,Gloucestershire,Gloucestershire,England,UK
10,4401,149242,Terrestrisuchus,Gloucestershire,Gloucestershire,England,UK
11,4400,149243,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
12,4399,149244,Sigmala,Gloucestershire,Gloucestershire,England,UK
13,4398,149246,Kuehneosaurus,Gloucestershire,Gloucestershire,England,UK
14,4397,149247,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
15,4396,149249,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
16,4395,149250,Terrestrisuchus,Gloucestershire,Gloucestershire,England,UK
17,4394,149251,Diphydontosaurus,Gloucestershire,Gloucestershire,England,UK
18,4393,149253,Sigmala,Gloucestershire,Gloucestershire,England,UK
19,4392,149254,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
20,4391,149255,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
21,4390,149257,Terrestrisuchus,Gloucestershire,Gloucestershire,England,UK
22,4389,149258,Diphydontosaurus,Gloucestershire,Gloucestershire,England,UK
23,4388,149260,Sigmala,Gloucestershire,Gloucestershire,England,UK
24,4387,149261,Kuehneosaurus,Gloucestershire,Gloucestershire,England,UK
25,4386,149262,Sigmala,Gloucestershire,Gloucestershire,England,UK
26,4385,149263,Pelecymala,Gloucestershire,Gloucestershire,England,UK
27,4384,149264,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
28,4383,149267,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
29,4382,149268,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
30,4381,149271,Sigmala,Gloucestershire,Gloucestershire,England,UK
31,4380,149272,Kuehneosaurus,Gloucestershire,Gloucestershire,England,UK
32,4379,149273,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
33,4378,149274,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
34,4377,149276,Sigmala,Gloucestershire,Gloucestershire,England,UK
35,4376,149277,Kuehneosaurus,Gloucestershire,Gloucestershire,England,UK
36,4375,149278,Planocephalosaurus,Gloucestershire,Gloucestershire,England,UK
37,4374,149279,Clevosaurus,Gloucestershire,Gloucestershire,England,UK
38,4373,149283,Sigmala,Gloucestershire,Gloucestershire,England,UK
39,4372,149284,Kuehneosaurus,Gloucestershire,Gloucestershire,England,UK
