id	Species	min_age	max_age	Status
4411	Icarosaurus	208.5	227.0	extant
4410	Rutiodon	208.5	227.0	extant
4409	Kuehneosuchus	201.4	208.5	extant
4408	Kuehneosaurus	201.4	208.5	extant
4407	Procolophon	247.2	251.902	extant
4405	Araeoscelis	283.5	290.1	extant
4406	Araeoscelis	283.5	290.1	extant
4404	Clevosaurus_Temperate_N	227.0	237.0	extant
4403	Diphydontosaurus_Temperate_N	227.0	237.0	extant
4402	Diphydontosaurus_Temperate_N	227.0	237.0	extant
4401	Terrestrisuchus	227.0	237.0	extant
4400	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4399	Sigmala	227.0	237.0	extant
4398	Kuehneosaurus	227.0	237.0	extant
4397	Clevosaurus_Temperate_N	227.0	237.0	extant
4396	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4395	Terrestrisuchus	227.0	237.0	extant
4394	Diphydontosaurus_Temperate_N	227.0	237.0	extant
4393	Sigmala	227.0	237.0	extant
4392	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4391	Clevosaurus_Temperate_N	227.0	237.0	extant
4390	Terrestrisuchus	227.0	237.0	extant
4389	Diphydontosaurus_Temperate_N	227.0	237.0	extant
4388	Sigmala	227.0	237.0	extant
4387	Kuehneosaurus	227.0	237.0	extant
4386	Sigmala	227.0	237.0	extant
4385	Pelecymala	227.0	237.0	extant
4384	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4383	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4382	Clevosaurus_Temperate_N	227.0	237.0	extant
4381	Sigmala	227.0	237.0	extant
4380	Kuehneosaurus	227.0	237.0	extant
4379	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4378	Clevosaurus_Temperate_N	227.0	237.0	extant
4377	Sigmala	227.0	237.0	extant
4376	Kuehneosaurus	227.0	237.0	extant
4375	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4374	Clevosaurus_Temperate_N	227.0	237.0	extant
4373	Sigmala	227.0	237.0	extant
4372	Kuehneosaurus	227.0	237.0	extant
4371	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4370	Clevosaurus_Temperate_N	227.0	237.0	extant
4369	Sigmala	227.0	237.0	extant
4368	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4367	Planocephalosaurus_Temperate_N	227.0	237.0	extant
4366	Clevosaurus_Temperate_N	227.0	237.0	extant
4365	Terrestrisuchus	227.0	237.0	extant
4364	Diphydontosaurus_Temperate_N	227.0	237.0	extant
4363	Trilophosaurus	208.5	227.0	extant
4362	Lewisuchus	237.0	242.0	extant
4361	Lagerpeton	237.0	242.0	extant
4359	Postosuchus	208.5	227.0	extant
4360	Postosuchus	208.5	227.0	extant
4358	Desmatosuchus	208.5	227.0	extant
4357	Trilophosaurus	208.5	227.0	extant
4356	Efraasia	208.5	227.0	extant
4355	Neusticosaurus	237.0	247.2	extant
4354	Mixosaurus	237.0	247.2	extant
4352	Plateosaurus_Temperate_N	208.5	227.0	extant
4351	Aetosaurus	208.5	227.0	extant
4350	Saltoposuchus	208.5	227.0	extant
4349	Liliensternus	208.5	227.0	extant
4347	Plateosaurus_Temperate_N	208.5	227.0	extant
4348	Plateosaurus_Temperate_N	208.5	227.0	extant
4344	Proganochelys_Temperate_N	208.5	227.0	extant
4345	Proganochelys_Temperate_N	208.5	227.0	extant
4346	Proganochelys_Temperate_N	208.5	227.0	extant
4343	Liliensternus	208.5	227.0	extant
4342	Proganochelys_Temperate_N	201.4	208.5	extant
4341	Liliensternus	201.4	208.5	extant
4340	Elachistosuchus	201.4	208.5	extant
4338	Captorhinus_Tropical_N	273.01	283.5	extant
4339	Captorhinus_Tropical_N	273.01	283.5	extant
4336	Eoraptor	227.0	237.0	extant
4337	Eoraptor	227.0	237.0	extant
4335	Herrerasaurus	227.0	237.0	extant
4334	Saurosuchus	227.0	237.0	extant
4333	Aetosauroides	227.0	237.0	extant
4332	Herrerasaurus	227.0	237.0	extant
4331	Terrestrisuchus	227.0	237.0	extant
4330	Agnosphitys	227.0	237.0	extant
4329	Luperosuchus	237.0	242.0	extant
4328	Lagerpeton	237.0	242.0	extant
4327	Chanaresuchus	237.0	242.0	extant
4326	Gualosuchus	237.0	242.0	extant
4325	Gracilisuchus	237.0	242.0	extant
4324	Marasuchus	237.0	242.0	extant
4323	Lewisuchus	237.0	242.0	extant
4322	Tropidosuchus	237.0	242.0	extant
4321	Tarjadia	237.0	242.0	extant
4320	Pisanosaurus	227.0	237.0	extant
4319	Bradysaurus	259.51	264.28	extant
4318	Arcticodactylus	208.5	227.0	extant
4312	Pantydraco	227.0	237.0	extant
4311	Eumetabolodon	242.0	251.2	extant
4310	Eumetabolodon	242.0	251.2	extant
4309	Youngetta	247.2	251.902	extant
4308	Belebey	264.28	266.9	extant
4307	Rothianiscus	264.28	273.01	extant
4304	Rothianiscus	264.28	273.01	extant
4305	Rothianiscus	264.28	273.01	extant
4306	Rothianiscus	264.28	273.01	extant
4303	Rothianiscus	264.28	273.01	extant
4302	Rothianiscus	264.28	273.01	extant
4301	Rothianiscus	264.28	273.01	extant
4300	Rothianiscus	264.28	273.01	extant
4299	Rothianiscus	264.28	273.01	extant
4298	Rothianiscus	264.28	273.01	extant
4297	Rothianiscus	264.28	273.01	extant
4296	Captorhinoides	273.01	283.5	extant
4289	Bolosaurus	283.5	290.1	extant
4290	Bolosaurus	283.5	290.1	extant
4291	Bolosaurus	283.5	290.1	extant
4292	Bolosaurus	283.5	290.1	extant
4293	Bolosaurus	283.5	290.1	extant
4294	Bolosaurus	283.5	290.1	extant
4295	Bolosaurus	283.5	290.1	extant
4288	Bolosaurus	283.5	290.1	extant
4287	Bolosaurus	283.5	290.1	extant
4286	Labidosaurus	273.01	283.5	extant
4285	Captorhinus_Tropical_N	273.01	283.5	extant
4284	Captorhinus_Tropical_N	273.01	283.5	extant
4283	Captorhinus_Tropical_N	273.01	283.5	extant
4281	Captorhinus_Tropical_N	273.01	283.5	extant
4282	Captorhinus_Tropical_N	273.01	283.5	extant
4280	Labidosaurus	273.01	283.5	extant
