age	mean_minmax	Mod_R_deltaTMyr_cbrt_minmax
202	0.307123028123085	0.552696901311279
203	0.46173756878225225	0.12974535810647359
204	0.43953860318255566	0.3317982486141276
205	0.37399598513111254	0.4095868693739901
206	0.4652498357795185	0.3716290113861332
207	0.5432500419055897	0.17437987373187064
208	0.514023976449578	0.3545436040152595
209	0.44154459566080195	0.03421545455562691
210	0.43041055580920506	0.2860207194568029
211	0.48336271187196234	0.33079169068723263
212	0.5486090372116039	0.31246254110789534
213	0.6086150101368943	0.6898902239938374
214	0.8465477718401573	0.3688560648986688
215	0.7694620061784421	0.8626507113996114
216	0.38981414181359275	0.27722580334865693
217	0.4405488873846761	0.6687143468144305
222	0.21705933087661622	0.19362414834740377
226	0.24972336935839312	0.7071082404333902
227	0.4998483367323474	0.241098733818835
229	0.5421234202200722	0.732857576820819
231	0.811247980846924	0.04629885427402547
232	0.8235107986234693	0.7339906271207446
233	0.5535288044934181	0.0
234	0.5618466330616858	0.32935352485724473
235	0.4970220979885598	0.13275262462262094
236	0.5196546295108173	0.10521599528184405
237	0.5385220291858168	0.13050966330336827
238	0.5608306567663086	0.29892701575016106
239	0.6171523576122651	0.6261557174765233
240	0.8134061484234487	0.6101168744322543
241	1.0	0.8404655664999461
242	0.6410584594843831	0.7811686672354394
243	0.9483804717277771	0.16675130345978056
244	0.9204474916934333	0.7543763377987374
245	0.6347259583808076	0.2616053695453478
246	0.6816766197702773	0.267439214443097
247	0.7300176933257263	0.563785781572995
248	0.8904979700240934	0.10137277139296291
249	0.9088757076134373	0.31681735233389346
250	0.9701003086135049	0.12428900109951069
251	0.9486737984264808	0.819667396645424
252	0.6084472843850599	1.0
253	0.08265423426155305	0.5261012986401266
254	0.22378665978278	0.2881567650780213
255	0.17028637771201405	0.48185964026371936
256	0.2907679378306103	0.5148929067740691
257	0.42646178055387285	0.22991505780489968
258	0.46632303134513187	0.21544892464101234
259	0.42944539794153647	0.573023486298011
260	0.26396682091152845	0.630216029353613
261	0.4627178487390511	0.9027491817015978
262	0.0436519994259319	0.7838268644204041
263	0.3531745984422163	0.6037987066943318
264	0.17029728518966447	0.3094309660762133
265	0.11113003573391511	0.46014905692546965
266	0.0	0.6882246005742461
267	0.2367747956206836	0.33570466998426646
268	0.17007377897596987	0.7285729068666111
269	0.4359723370676445	0.6817256655205666
270	0.20367976575991253	0.3703026457343361
271	0.12611785476089388	0.5050262346116869
272	0.25714135469813204	0.342142131077296
273	0.32578095923977957	0.24043422494882177
274	0.2836519522917378	0.38820707707656926
275	0.20003351594800245	0.5682642503283193
276	0.03714280981247686	0.2971687126480595
277	0.09299728309175048	0.5592929731769072
279	0.25108342606142875	0.39464042842364405
280	0.3369527324921697	0.27426044847695047
281	0.28695142639670035	0.7297837287722626
283	0.020143848430864697	0.6234460987842749
285	0.2147428186104392	0.7991648473148953
287	0.537168425416013	0.706554675055749
288	0.2874417775003	0.3078248253286692
290	0.22871570236686178	0.4610343372254457
291	0.11721415415577452	0.5902174975603514
292	0.2922703252781811	0.5787268723494987
293	0.12365456194128166	0.28709149115721283
294	0.07042810807172728	0.9070449482685836
295	0.49387176746077177	0.4066534493849396
296	0.40369195214326314	0.4859291820344434
297	0.2814010979897934	0.3955084225651527
298	0.19522504440087252	0.6112858180072822
299	0.3825119762072271	0.38356651039661477
300	0.46453144893876264	0.2266703761376327
